contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokale Partij I.P.V.,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),LOKAAL BELANG
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Gemeentehuis,0213::SB1,6971BV,1508,1005,1,6,1,0,0,941,70,0,0,1,0,0,0,1011,181,220,142,173,154,135
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Woonzorgcentrum Tolzicht,0213::SB2,6971CC,1370,767,1,0,0,0,0,708,60,0,0,0,0,0,0,768,147,138,145,135,96,106
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Gebouw HOB,0213::SB3,6971EX,1366,648,8,2,0,0,0,610,48,0,0,0,0,0,0,658,136,86,121,93,85,127
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Basisschool De Dobbelsteen,0213::SB4,6971CN,1160,641,0,5,0,0,0,593,53,0,0,0,0,0,0,646,123,95,125,92,100,106
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Het Buurthuis Leuvenheim,0213::SB5,6974AH,543,339,0,0,0,0,0,298,41,0,0,0,0,0,0,339,59,96,45,59,52,28
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,"Stembureau Buitengewoon Kinderopvang, Oeken",0213::SB6,6971KC,435,305,1,0,0,0,0,283,23,0,0,0,0,0,0,306,66,87,36,46,49,21
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,"Stembureau Basisschool J.H. Isings, Empe",0213::SB7,7399AG,710,440,3,2,1,0,0,402,41,0,0,2,0,1,0,443,43,111,45,83,129,29
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Verenigingsgebouw De Wheme,0213::SB8,6964AA,743,432,4,2,0,0,0,406,32,0,0,0,0,0,0,438,48,88,58,122,29,87
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Woonzorgcentrum De Beekwal,0213::SB9,6961DZ,1521,755,3,2,0,0,0,697,63,0,0,0,0,0,0,760,56,164,176,154,57,148
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Kantine Mayr-Melnhof,0213::SB10,6961ED,1506,681,3,3,0,0,0,614,73,0,0,0,0,0,0,687,49,142,149,118,80,143
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,"Stembureau Schoolgebouw H.A. Lorentzstraat, Eerbeek",0213::SB11,6961XK,958,466,4,2,0,0,0,432,42,0,2,0,2,0,0,474,39,61,166,66,39,95
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Tjark Riks Centrum,0213::SB12,6961DL,1540,775,0,0,0,0,0,713,62,0,0,0,0,0,0,775,69,118,193,166,69,160
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Rode Kruis Gebouw,0213::SB13,6961AA,1635,820,3,1,0,0,0,744,80,0,0,0,0,0,0,824,90,158,207,161,78,126
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,"Stembureau Basisschool De Enk, Eerbeek",0213::SB14,6961XB,983,502,2,2,0,0,0,464,42,0,0,0,0,0,0,506,39,58,100,139,33,133
,Brummen,GR2014_Brummen,Gemeenteraad Brummen 2014,0213,Brummen,2014-03-19,Stembureau Verrij Wonen,0213::SB15,6971GW,1010,455,2,0,1,0,0,437,21,0,0,0,1,0,0,458,116,81,93,70,46,49
