contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,LOKAAL ALTERNATIEF,VVD,Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,SP (Socialistische Partij),Pro Duiven,Democraten 66 (D66)
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Gemeentehuis,0226::SB1,6921,1913,1543,3,7,0,0,0,1378,175,0,0,0,0,1,0,1553,387,238,129,297,82,206,98,106
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Woonzorgcentrum Thuvine,0226::SB2,6921,1859,769,4,4,0,0,0,721,56,0,0,0,0,0,0,777,218,83,65,167,31,113,44,48
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Dorpshuis Groessen,0226::SB4,6923,1562,1079,6,1,0,0,0,972,114,0,0,0,0,0,0,1086,856,65,24,61,13,18,11,31
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Kantine Sportvereniging Loo,0226::SB5,6924,800,552,1,0,0,0,0,486,67,0,0,0,0,0,0,553,415,23,9,56,6,26,3,14
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Cultureel Centrum Onderling Genoegen,0226::SB6,6921,1795,824,5,2,0,0,0,766,65,0,0,0,0,0,0,831,251,108,61,112,43,118,60,71
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Kantine Tennis Centre Duiven,0226::SB7,6921,1877,755,0,5,0,0,0,688,72,0,0,0,0,0,0,760,208,134,80,93,43,90,46,61
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Seniorensoos Het Palet,0226::SB8,6921,1664,876,3,2,0,0,0,829,54,1,0,0,2,1,0,883,223,79,87,121,45,174,81,66
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau RK Basisschool De Kameleon,0226::SB9,6921,1580,597,1,1,0,0,0,547,52,0,0,0,0,0,0,599,150,77,65,85,20,101,39,60
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau RK Basisschool De Timp,0226::SB10,6922,1694,795,4,5,0,0,0,732,72,0,0,0,0,0,0,804,222,120,59,123,56,83,39,93
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Cultureel Centrum 't Eiland,0226::SB11,6922,1771,985,3,4,1,0,0,896,95,0,0,1,0,0,0,991,278,160,79,114,51,139,59,105
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Basisschool De Toermalijn,0226::SB12,6922,1917,811,3,1,0,1,0,734,82,0,0,0,1,0,0,816,231,110,68,83,49,124,55,91
,Duiven,GR2014_Duiven,Gemeenteraad Duiven 2014,0226,Duiven,2014-03-19,Stembureau Kantoor La Gare bij NS Station Duiven,0226::SB13,6922,1310,637,8,1,0,1,0,592,55,0,0,0,1,0,0,647,149,66,63,94,50,103,27,85
