contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen Groen Soest,Soest 2002,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,Leefbaar Soest,ChristenUnie-SGP,Democraten Soest Natuurlijk,Lokaal Anders Soest,Burgerbelangen Soest-Soesterberg,Partij voor Soest
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Gemeentehuis Soest,0342::SB1,3762 AV,1529,1021,1,7,0,0,0,881,149,0,0,0,1,0,0,1030,93,75,88,107,212,109,60,109,81,28,36,14,9
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Eerste van der Huchtschool,0342::SB2,3761 AT,1667,1154,3,5,0,2,0,989,175,0,0,0,2,0,0,1164,127,99,155,102,144,183,61,61,89,53,48,27,5
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Residence Souveraine,0342::SB3,3761 XD,1367,993,3,4,0,0,0,907,93,0,0,0,0,0,0,1000,170,89,172,160,23,179,49,1,51,35,36,21,7
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau R.K. Daltonschool de Driesprong,0342::SB4,3762 CZ,1434,803,3,1,0,1,0,704,104,0,0,0,1,0,0,808,87,61,153,102,28,165,54,8,58,40,28,12,7
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Emmakerk,0342::SB5,3762 DS,1548,701,1,3,0,1,0,627,80,0,1,0,2,0,0,707,56,66,94,76,51,105,43,3,70,75,31,18,13
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau OBS Prins Willem-Alexander,0342::SB6,3762 CG,1300,792,4,3,0,0,0,740,59,0,0,0,0,0,0,799,81,98,114,86,45,118,62,6,53,41,60,19,9
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Zorgcentrum Molenschot,0342::SB7,3762 BP,1706,995,4,9,0,1,0,894,115,0,0,0,1,0,0,1009,174,99,145,156,56,119,60,2,81,38,39,17,9
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Woonzorgcentr.  Mariënburg,0342::SB8,3761 CN,1170,689,1,2,0,0,0,627,65,0,0,0,0,0,0,692,75,54,144,108,11,137,42,3,38,36,18,15,8
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau De Rank,0342::SB9,3768 ED,1547,1085,3,4,0,0,0,971,121,0,0,0,0,0,0,1092,154,129,145,186,56,157,77,5,57,59,35,17,8
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau RK basisschool Ludgerus,0342::SB10,3768 GM,1740,1085,2,3,0,0,0,1004,86,0,0,0,0,0,0,1090,90,169,273,145,18,201,57,3,30,59,21,17,2
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Parochiesecretariaat,0342::SB11,3768 CP,1714,1129,3,0,0,0,0,1037,97,0,0,0,2,0,0,1134,122,158,183,210,36,154,82,10,49,76,25,17,7
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Derde Van der Huchtschool,0342::SB13,3765 EM,1653,985,2,6,0,1,0,887,107,0,0,0,1,0,0,994,83,114,139,96,70,165,92,5,65,43,74,29,10
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau BEC De Plantage,0342::SB14,3765 CJ,1792,866,3,10,0,0,0,770,110,0,1,0,1,0,0,880,69,63,42,66,294,72,59,57,77,15,24,13,15
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau De Open Hof,0342::SB15,3765 BA,1616,858,3,4,0,0,0,818,47,0,0,0,0,0,0,865,92,97,108,102,53,133,66,9,64,22,54,29,29
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Ontmoetingscentrum Klaarwater,0342::SB17,3762 GN,1546,998,2,1,0,1,0,932,70,0,0,0,1,0,0,1002,104,140,90,105,85,129,52,20,118,39,71,27,18
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Ontmoetingscentrum De Klarinet,0342::SB18,3766 GH,994,637,0,3,0,0,0,585,55,0,0,0,0,0,0,640,75,74,58,88,47,69,45,9,50,37,42,19,24
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau P.C. basisschool De Bron,0342::SB19,3766 ED,1538,749,3,2,0,0,0,687,68,0,0,0,1,0,0,755,92,106,54,90,43,80,41,5,80,42,69,33,14
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau OBS deBuut,0342::SB20,3766 CP,1428,958,3,0,0,0,0,829,132,0,0,0,0,0,0,961,96,93,87,88,131,145,85,11,106,37,56,18,5
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau P.C. basisschool  Insinger,0342::SB21,3766 MA,1640,886,0,1,0,1,0,783,105,0,0,0,1,0,0,888,101,152,118,115,31,101,53,4,69,44,55,26,17
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,"Stembureau Postduiven Vereniging ""Soest""",0342::SB22,3762 KJ,1662,939,3,0,0,0,0,837,105,0,0,0,0,0,0,942,95,143,137,93,82,128,59,20,71,20,59,19,13
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Wooncentrum De Drie Eiken,0342::SB25,3769 VA,1561,979,3,6,0,0,0,891,97,0,0,0,0,0,0,988,54,261,110,95,53,68,35,6,31,25,6,223,12
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau Vredekerk,0342::SB26,3769 EC,1685,652,3,0,0,0,0,593,62,0,0,0,0,0,0,655,35,156,64,49,35,65,43,1,23,7,10,161,3
,Soest,GR2014_Soest,Gemeenteraad Soest 2014,0342,Soest,2014-03-19,Stembureau OBS De Startbaan,0342::SB27,3769 JA,1664,773,4,1,0,0,0,699,79,0,0,0,0,0,0,778,46,192,75,62,31,89,47,6,31,35,10,142,7
