contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Maarssen 2000,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),ChristenUnie-SGP,GROENLINKS,Streekbelangen,Stichtse Vecht Beweegt,Het Vechtse Verbond,Groep Frank van Liempdt Lokaal Liberaal,Duurzaam Stichtse Vecht
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Gemeentekantoor,1904::SB1,3601 GR,1541,1027,4,3,0,0,0,915,119,0,0,0,0,0,0,1034,166,137,70,77,194,54,69,31,7,19,186,17
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Woonzorgcentrum Maria Dommer,1904::SB2,3601 EX,1386,761,3,3,0,0,0,710,57,0,0,0,0,0,0,767,86,117,112,74,110,45,25,20,2,11,148,11
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Basisschool 't Palet(Troelstrastr.),1904::SB3,3601 WD,1420,760,0,6,0,0,0,691,75,0,0,0,0,0,0,766,79,108,111,53,92,43,28,17,5,8,204,12
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau De Merenhoef,1904::SB4,3601 AC,1406,867,3,2,0,0,0,777,95,0,0,0,0,0,0,872,156,146,98,67,93,67,66,24,2,10,126,12
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Basisschool 't Palet(Buitenweg),1904::SB5,3602 ZK,1277,847,0,1,0,0,0,756,92,0,0,0,0,0,0,848,213,74,75,59,212,14,51,14,2,7,115,11
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Logement Swaenenvecht,1904::SB6,3611 AE,1217,746,2,2,0,0,0,638,112,0,0,0,0,0,0,750,272,53,53,50,161,14,44,13,4,8,57,17
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau CBS de Klaroen(Ds Ulferslaan),1904::SB7,3612 BH,1461,716,1,2,0,0,0,636,83,0,0,0,0,0,0,719,120,137,37,39,82,45,92,45,6,17,64,32
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau PCBS Het Kompas,1904::SB8,3603 AZ,1385,861,5,1,0,0,0,745,122,0,0,0,0,0,0,867,183,101,97,38,192,28,48,17,1,6,133,17
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Basisschool 't Palet(ingang Bolens),1904::SB9,3603 CN,1637,1020,6,1,0,0,0,901,126,0,0,0,0,0,0,1027,254,114,77,59,235,32,54,39,8,9,117,22
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,"Stembureau R.K.Basisschool ""De Wilde Wingerd""",1904::SB10,3608 TK,1377,663,3,5,0,2,0,620,53,0,0,0,2,0,0,673,60,55,116,64,105,34,36,60,3,1,123,6
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Scouting clubgebouw De Shelter,1904::SB11,3607 BX,1346,707,5,0,0,0,0,664,48,0,0,0,0,0,0,712,102,67,89,61,119,39,41,29,9,13,125,13
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Basisschool De Tweesprong,1904::SB12,3607 CH,1741,925,2,1,0,0,0,822,106,0,0,0,0,0,0,928,179,87,102,107,159,50,62,31,8,2,121,17
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Daltonschool Maarssen(Duivenkamp),1904::SB13,3607 BL,1774,747,5,0,0,0,0,668,84,0,0,0,0,0,0,752,68,57,142,103,90,39,43,74,2,12,105,12
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau RK Verrijzenis Parochie,1904::SB14,3607 JG,1767,919,6,4,2,0,0,849,82,0,0,0,2,0,0,931,113,60,137,98,144,38,58,51,13,8,174,25
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau De Werkspecht,1904::SB15,3607 KN,1331,588,1,2,0,0,0,538,53,0,0,0,0,0,0,591,62,29,89,63,107,17,20,58,5,10,117,11
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau De Valkenier,1904::SB16,3607 MJ,1681,806,4,2,0,0,0,728,84,0,0,0,0,0,0,812,123,77,118,71,146,34,39,44,6,4,124,20
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Ing.Gymzaal nst Schuurtje,1904::SB17,3607 NZ,1917,744,3,3,0,0,0,657,92,0,0,0,0,1,0,749,127,40,124,58,118,41,33,51,6,4,126,16
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Willem van Hoornhof,1904::SB18,3605 GP,1620,601,10,5,0,0,0,558,58,0,0,0,0,0,0,616,62,44,96,58,86,24,46,48,2,3,121,11
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau De Kameleon (Kamelenspoor),1904::SB19,3605 ED,1418,532,4,2,0,0,0,468,70,0,0,0,0,0,0,538,54,36,119,57,67,33,21,38,2,6,82,17
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Zwembad Safari,1904::SB20,3605 JM,2059,894,4,5,0,1,0,821,83,0,0,0,1,0,0,904,125,65,222,79,131,34,37,64,8,7,107,15
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau PCBS Het Kompas,1904::SB21,3602 ZK,1258,759,0,1,0,0,0,679,81,0,0,0,0,0,0,760,136,88,70,49,171,14,62,30,2,2,129,6
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Gemeentelijke Sporthal,1904::SB22,3621 LN,1737,997,0,1,0,0,0,917,81,0,0,0,0,0,0,998,187,91,4,39,255,37,42,133,128,4,47,30
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Gemeentehuis Boom en Bosch,1904::SB23,3621 AB,1858,1008,0,1,0,1,0,887,123,0,0,0,1,0,0,1010,212,112,9,47,143,74,45,196,99,6,30,35
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Woonzorgcentrum De Aa / Driestroom,1904::SB24,3621 VV,1670,877,2,2,0,0,0,804,77,0,0,0,0,0,0,881,83,113,5,84,119,60,36,183,107,16,47,24
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau OBS de Regenboog,1904::SB25,3621 WS,877,611,1,0,0,0,0,533,79,0,0,0,0,0,0,612,113,52,0,40,119,43,48,98,57,4,21,16
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Wijkcentrum Over-Noord,1904::SB26,3621 HH,1871,1266,2,4,0,1,0,1153,120,0,0,0,1,0,0,1273,163,129,1,71,240,97,94,237,128,34,50,22
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Dorpshuis Ons Genoegen,1904::SB27,3626 AV,667,488,1,1,0,0,0,422,68,0,0,0,0,0,0,490,38,92,4,7,26,240,6,43,16,6,4,6
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Brandweerkazerne,1904::SB28,3628 AZ,1117,786,0,0,0,0,0,684,102,0,0,0,0,0,0,786,48,166,1,9,49,213,25,211,19,3,8,34
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Verzorgingshuis Overdorp,1904::SB29,3628 BX,1455,990,2,2,0,0,0,886,108,0,0,0,0,1,0,994,52,175,2,31,65,213,40,370,17,4,12,9
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Verzorgingstehuis 't Kampje,1904::SB31,3632 BK,1868,1122,5,4,0,0,0,990,141,0,0,0,0,0,0,1131,272,189,1,46,185,83,34,44,54,183,14,17
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Dorpshuis Nigtevecht,1904::SB32,1393 NV,1188,744,1,2,0,0,0,680,67,0,0,0,0,0,0,747,89,91,0,28,183,34,45,21,9,224,12,8
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Dorpshuis Vreeland,1904::SB33,3633 CT,1403,949,0,4,0,0,0,862,91,0,0,0,0,0,0,953,200,133,4,46,158,30,36,57,40,221,8,16
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau Basisschool Loenersloot,1904::SB34,3634 AS,421,323,1,2,0,0,0,304,22,0,0,0,0,0,0,326,39,76,0,28,41,24,9,16,11,42,7,30
,Stichtse Vecht,GR2014_StichtseVecht,Gemeenteraad Stichtse Vecht 2014,1904,Stichtse Vecht,2014-03-19,Stembureau De Boomgaard,1904::SB35,3632 TC,1770,1062,8,5,0,0,0,980,96,0,0,0,1,0,0,1076,111,136,3,69,150,68,41,61,110,264,20,29
