contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Lokaal Belang,VVD,Partij van de Arbeid (P.v.d.A.),Partij Welzijn Maasgouw (PWM),OPA
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Gemeentehuis Maasbracht,1641::SB1,6051 DZ,1626,865,5,2,0,0,0,777,95,0,0,0,0,0,0,872,252,362,96,89,39,27
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Basisschool de Vlinder,1641::SB2,6051 EW,1408,610,5,7,0,0,0,566,56,0,0,0,0,0,0,622,163,261,72,55,32,27
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Zorgcentrum Dokter Engelsoord,1641::SB3,6051 LE,1763,746,9,1,0,0,0,681,75,0,0,0,0,0,0,756,183,345,92,47,43,36
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Gemeenschapshuis Baekerhoes,1641::SB4,6051 JG,1057,627,6,4,0,0,0,578,59,0,0,0,0,0,0,637,209,141,100,145,16,16
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Gemeenschapshuis de Pool,1641::SB5,6067 BS,1559,810,9,3,0,0,0,726,96,0,0,0,0,0,0,822,91,265,149,115,150,40
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Ontmoetingsruimte Linnerhof,1641::SB6,6067 GW,1488,672,6,3,0,0,0,609,72,0,0,0,0,0,0,681,79,202,143,77,116,55
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Gemeenschapshuis Stevensweert,1641::SB7,6107 BZ,1370,809,4,4,0,0,0,755,62,0,0,0,0,0,0,817,352,63,216,41,129,8
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Verenigingszaal Ohé en Laak,1641::SB8,6109 AR,698,491,3,0,0,0,0,440,54,0,0,0,0,0,0,494,220,231,17,14,6,3
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Voormalig gemeentehuis Heel,1641::SB9,6097 AS,2283,792,7,1,0,0,0,701,99,0,0,0,0,0,0,800,206,237,216,72,26,35
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Kantine Sporthal Reutsdael,1641::SB10,6097 BH,1422,865,5,1,0,0,0,801,70,0,0,0,0,0,0,871,250,255,220,79,9,52
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Ouderencentrum St. Jozef,1641::SB11,6019 AN,1692,861,11,2,0,0,0,769,105,0,0,0,0,0,0,874,89,536,151,34,38,13
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Gemeenschapshuis 't Leuke,1641::SB12,6099 AR,1458,795,3,3,0,0,0,725,76,0,0,0,0,0,0,801,90,331,277,62,14,21
,Maasgouw,GR2014_Maasgouw,Gemeenteraad Maasgouw 2014,1641,Maasgouw,2014-03-19,Stembureau Ouderencentrum Sterrebosch,1641::SB13,6017 AL,2039,1198,6,6,0,0,0,1065,145,0,0,0,0,0,0,1210,265,404,388,97,21,23
