contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,CDA,Gezond Verstand Haren,ChristenUnie,Liberaal Haren,9
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Gemeentehuis,0017::SB1,,742,889,7,1,0,0,0,829,69,0,1,0,1,0,0,898,112,306,75,102,90,114,53,30,7
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Woonzorgcentrum De Dilgt,0017::SB2,,1256,787,6,2,0,0,0,718,80,0,3,0,3,0,0,798,125,263,74,90,104,72,34,23,2
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Huize Maarwold,0017::SB3,,875,556,8,1,5,0,0,511,49,0,0,5,0,0,0,560,98,158,41,31,92,90,25,18,3
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Gemeentehuis,0017::SB4,,808,829,4,6,0,0,0,775,66,0,2,0,2,0,0,841,92,289,88,75,70,121,44,41,9
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau de Mellenshorst,0017::SB5,,1251,993,7,2,0,0,0,931,71,0,0,0,0,0,0,1002,42,288,124,102,90,242,78,18,9
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Huize Westerholm,0017::SB6,,921,721,2,2,0,0,0,657,68,0,0,0,0,0,0,725,131,268,54,40,75,90,19,43,1
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Dorpshuis de Tiehof,0017::SB8,,563,453,4,0,0,0,0,420,37,0,0,0,0,0,0,457,43,149,23,34,59,75,60,10,0
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Dorpshuis De Groenenberg,0017::SB9,,1068,906,7,3,0,0,0,836,83,0,3,0,3,0,0,919,124,251,84,77,117,193,19,35,6
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Dorpshuis de Hoeksteen,0017::SB10,,459,352,2,3,0,0,0,321,36,0,0,0,0,0,0,357,59,112,39,56,23,43,4,15,1
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Koepel de Middelhorst,0017::SB11,,1324,782,8,3,0,0,0,743,50,0,0,0,0,0,0,793,73,284,69,50,79,155,53,13,6
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau O.B.S. de Linde,0017::SB12,,1235,930,10,2,0,1,0,866,75,0,0,1,0,0,0,941,144,296,67,56,97,184,39,40,7
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Huize Zonnehof,0017::SB14,,990,527,3,3,0,0,0,489,45,0,1,0,1,0,0,534,71,142,44,29,116,75,37,12,1
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau O.B.S. de Wissel,0017::SB15,,1425,853,6,4,0,0,0,817,47,0,1,0,1,0,0,864,67,229,103,92,75,160,113,12,2
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Buurthuiskamer Sassenstate,0017::SB16,,722,488,3,2,0,0,0,447,46,0,0,0,0,0,0,493,90,155,49,30,66,56,19,22,1
,Haren,GR2014_Haren,Gemeenteraad Haren 2014,0017,Haren,2014-03-19,Stembureau Kerkboerderij,0017::SB17,,1189,1010,11,4,0,0,0,936,90,0,1,0,1,0,0,1026,60,316,103,100,113,190,108,12,8
