contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Dorpsbelangen,Ondernemend Platteland,Partij van de Arbeid (P.v.d.A.),Onafhankelijke Partij Zundert (OPZ)
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Gemeentehuis Zundert,0879::SB1,4881 CN,1313,958,7,0,0,0,0,858,107,0,0,0,0,0,0,965,333,235,169,69,54,98
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau St. Anna-school,0879::SB2,4881 XE,1379,520,10,3,0,0,0,477,56,0,0,0,0,0,0,533,137,98,101,30,65,89
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Onder de Mast (voorm. Bibliotheek),0879::SB3,4881 AN,1271,632,2,3,0,0,0,567,70,0,0,0,0,0,0,637,201,130,104,59,35,103
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau De Willaert,0879::SB4,4881 EH,1399,727,1,1,0,0,0,642,87,0,0,0,0,0,0,729,239,163,122,100,30,73
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau De Leeuwerik,0879::SB5,4881 WZ,1335,577,4,2,0,0,0,509,74,0,0,0,0,0,0,583,153,123,126,45,36,94
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Gemeenschapshuis Wierenbos,0879::SB6,4884 AB,2140,983,1,0,0,0,0,886,98,0,0,0,0,0,0,984,266,127,160,121,51,258
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Gemeenschapshuis de Nachtegaal,0879::SB7,4885 AH,1507,695,4,1,0,0,0,600,100,0,0,0,0,0,0,700,194,70,192,177,9,53
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Ouderencentrum Levenlust,0879::SB8,4882 BH,1642,852,2,1,0,0,0,766,89,0,0,0,0,0,0,855,312,184,140,116,35,65
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Dorpshuis Amarant,0879::SB9,4891 NS,1688,660,1,1,0,0,0,587,75,0,0,0,0,0,0,662,210,88,242,61,20,39
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,Stembureau Koutershof (Bibliotheek),0879::SB10,4891 CJ,1981,995,2,2,0,0,0,848,151,0,0,0,0,0,0,999,268,195,231,188,30,83
,Zundert,GR2014_Zundert,Gemeenteraad Zundert 2014,0879,Zundert,2014-03-19,"Stembureau Dienstencentrum ""de Rijserf""",0879::SB11,4891 XL,1775,1051,7,9,0,0,0,954,113,0,0,0,0,0,0,1067,273,247,329,70,46,86
