contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeente Belangen Voorst,PvdA-GROENLINKS,Liberaal 2000,VVD,Democraten 66 (D66),Staatkundig Gereformeerde Partij (SGP)
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Gemeentehuis, H.W. Iordensweg 17, Twello",0285::SB1,7391 KA,1400,997,5,1,0,0,0,903,100,0,0,0,0,0,0,1003,177,286,119,99,159,139,18
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Dorpshuis Voorst, Schoolstraat 14, Voorst",0285::SB2,7383 CG,594,317,2,0,0,0,0,293,26,0,0,0,0,0,0,319,45,129,31,18,47,40,7
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau ""De Benring"" Tuinstraat 51, Voorst",0285::SB3,7383 XC,1120,567,6,2,0,0,0,521,54,0,0,0,0,0,0,575,84,255,88,18,69,45,8
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Sportclub Klarenbeek, Bosweg 14, Klarenbeek",0285::SB4,7382 CC,1019,582,1,2,0,0,0,513,72,0,0,0,0,0,0,585,209,111,44,12,59,141,6
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau ""De Nieuwenhof"", Voorst",0285::SB5,7383 EW,374,216,0,0,0,0,0,197,19,0,0,0,0,0,0,216,36,70,34,22,18,32,4
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Openb basisschool Wilp-Achterhoek, Zwarte Kolkstraat 80, Wilp",0285::SB6,7384 DE,714,428,7,4,0,0,0,398,41,0,0,0,0,0,0,439,123,82,27,91,52,47,6
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau ""Bethel"" Grotenhuisweg 13, Wilp",0285::SB7,7384 CS,754,294,2,0,0,0,0,273,23,0,0,0,0,0,0,296,66,99,21,32,43,28,5
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Dorpshuis ""De Pompe"" Dorpsstraat 41, Wilp",0285::SB8,7384 BD,991,584,2,2,0,0,0,534,54,0,0,0,0,0,0,588,59,276,85,48,61,50,5
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Openbare basisschool, Vermeersweg 61, Twello",0285::SB9,7391 JM,566,392,0,0,0,0,0,351,41,0,0,0,0,0,0,392,58,70,91,80,39,49,5
,Voorst,GR2014_Voorst,Gemeenteraad Voorst 2014,0285,Voorst,2014-03-19,"Stembureau Bibliotheek, Marktplein 11, Twello",0285::SB10,7391 DH,1372,754,3,6,0,0,0,712,51,0,0,0,0,0,0,763,152,253,114,78,66,75,16
