contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,OoststellingwerfsBelang,Partij van de Arbeid (P.v.d.A.),CDA,VVD,GROENLINKS,ChristenUnie,Democraten 66 (D66),StellingwerfPlus
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""Rikkingahof"" Oosterwolde",0085::SB1,,1279,780,3,3,0,0,0,722,64,0,0,0,0,0,0,786,203,144,137,70,50,44,111,21
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau Openbare Bibliotheek,0085::SB2,8431 LN,1280,611,1,2,0,0,46,568,0,0,0,0,0,0,0,614,133,144,78,63,55,34,80,24
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau Dorpshuis Makkinga,0085::SB3,,822,478,0,0,0,0,0,430,48,0,0,0,0,0,0,478,160,93,63,73,33,10,37,9
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau Kantine dorpsbelang Nijeberkoop,0085::SB4,,213,136,0,0,0,0,0,111,25,0,0,10,0,0,0,136,29,15,38,23,15,3,12,1
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""'t Kamphuis"" Oldeberkoop",0085::SB5,,1215,755,1,0,0,0,0,703,53,0,0,0,0,0,0,756,138,272,70,142,45,21,45,22
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau Zaal ""'t Anker"" Elsloo",0085::SB6,,486,293,2,0,0,0,0,259,36,0,0,0,0,0,0,295,135,29,37,48,16,4,14,10
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau Dorpshuis Langedijke,0085::SB7,,314,220,0,0,0,0,0,206,14,0,0,0,0,0,0,220,76,28,33,30,11,13,19,10
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau De Verenigings Kamer,0085::SB8,8426 EC,1358,738,0,1,0,0,0,676,63,0,0,0,0,0,0,739,243,110,136,61,57,23,62,46
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""De Aanloop"" Appelscha",0085::SB9,,1073,732,1,0,0,0,0,672,61,0,0,0,0,0,0,733,257,96,151,70,40,27,31,60
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau Dorpshuis Fochteloo,0085::SB10,,339,242,1,1,0,0,0,222,22,0,0,0,0,0,0,244,54,23,44,46,30,18,22,5
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""Pro Rege"" Donkerbroek",0085::SB11,,1458,828,1,3,0,0,0,760,72,0,0,0,0,0,0,832,232,117,210,67,47,86,40,29
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""Het Anker"" Oosterwolde",0085::SB12,,1148,669,3,2,0,0,0,613,61,0,0,0,0,0,0,674,164,149,123,94,27,22,51,39
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau Dorpshuis Haule,0085::SB13,,465,284,0,0,0,0,0,254,30,0,0,0,0,0,0,284,49,39,45,33,21,70,19,8
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,Stembureau MFC Waskemeer,0085::SB14,,642,378,0,4,0,0,0,351,31,0,0,0,0,0,0,382,55,29,116,28,30,75,22,23
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""Sinnehiem"" Haulerwijk",0085::SB15,,1182,596,4,1,0,0,0,550,51,0,0,0,0,0,0,601,114,112,115,26,60,123,37,9
,Ooststellingwerf,GR2014_Ooststellingwerf,Gemeenteraad Ooststellingwerf 2014,0085,Ooststellingwerf,2014-03-19,"Stembureau ""De Enter"" Haulerwijk",0085::SB16,,1349,795,11,2,0,0,0,740,68,0,0,0,0,0,0,808,172,92,174,56,49,163,75,14
