contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,BurgerBelang,Gemeentebelangen,Partij van de Arbeid (P.v.d.A.),ChristenUnie,VVD,Democraten 66 (D66),Hellendoorns Onafhankelijke Partij,GROENLINKS
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Huis voor Cultuur & Bestuur,0163::SB1,7442 MA,1194,1152,5,5,0,0,0,1067,96,0,0,0,1,0,0,1163,357,161,89,106,89,99,95,87,69
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Gebouw OZO,0163::SB2,7441 DW,1616,925,3,1,0,0,0,869,60,0,0,0,0,0,0,929,323,152,49,85,76,59,69,68,44
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Prinses Marijkeschool,0163::SB3,7441 BH,1457,950,3,6,0,0,0,881,78,0,0,0,0,0,0,959,347,103,57,80,60,106,71,74,52
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Gebouw Beth Shalom,0163::SB4,7442 AE,1404,684,1,1,0,0,0,648,38,0,0,0,0,0,0,686,198,128,55,76,60,26,35,70,36
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Wijkgebouw Blokkendoos,0163::SB5,7442 TH,1226,683,0,1,0,0,0,633,51,0,0,0,0,0,0,684,188,112,71,57,55,31,43,90,36
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Wijkgebouw 't Diekhuus,0163::SB6,7442 ZL,1344,678,2,0,0,0,0,630,50,0,0,0,0,0,0,680,178,117,58,85,46,27,53,79,35
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Wijkcentrum Groot Lochter,0163::SB7,7442 JH,1686,1002,0,3,0,0,0,922,83,0,0,0,0,0,0,1005,209,144,109,123,94,49,76,132,66
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Prinses Margrietschool,0163::SB8,7442 BM,1200,631,0,0,0,0,0,592,39,0,0,0,0,0,0,631,168,108,59,49,58,53,34,65,37
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau Scholengemeenschap Reggesteyn,0163::SB9,7443 XG,1455,909,1,0,0,0,0,840,70,0,0,0,0,0,0,910,271,118,64,83,42,94,102,70,65
,Hellendoorn,GR2014_Hellendoorn,Gemeenteraad Hellendoorn 2014,0163,Hellendoorn,2014-03-19,Stembureau BSO 't Klepperhonk,0163::SB10,7447 AV,1167,549,3,0,0,0,0,498,54,0,0,0,0,0,0,552,100,86,112,38,24,22,73,43,51
