contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),VVD,GROENLINKS,Democraten 66 (D66),Zuid Centraal,CDA,ChristenUnie,TROTS,Arnhemse Ouderen Partij,Partij voor de Dieren,Verenigd Arnhem,OPA Arnhem,Gelderse Centrumdemocraten (Gelderse C.D.),Libertarische Partij (LP),Partij Rechten Kind (PRK),Nederlandse Volks-Unie (NVU),Sociaal Lokaal Arnhem
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Stadhuis Arnhem,0202::SB1,,1896,1261,5,4,0,0,0,1157,113,0,0,0,0,0,0,1270,149,226,167,133,282,23,91,56,13,20,47,18,9,3,4,3,7,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Huis der Provincie,0202::SB2,,1380,511,1,1,0,0,0,476,37,0,0,0,0,0,0,513,38,115,66,49,108,6,31,24,12,14,16,2,7,3,8,3,3,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Introdans (hoofdgebouw),0202::SB3,,1241,438,4,2,0,0,0,416,28,0,0,0,0,0,0,444,51,87,50,56,98,6,23,20,7,6,19,1,1,1,6,2,2,2
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Buurtcentrum 't Huukske,0202::SB4,,1215,721,2,1,0,0,0,655,70,0,1,0,1,0,0,725,59,181,81,118,141,10,27,26,9,17,29,0,2,2,0,2,6,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum Huis en Haard,0202::SB5,,909,520,0,2,0,0,0,474,48,0,0,0,0,0,0,522,53,61,54,62,146,7,45,43,5,14,19,1,3,1,2,0,3,1
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Kerkelijk Kultureel Centrum,0202::SB6,,1119,670,2,0,0,0,0,612,60,0,0,0,0,0,0,672,45,145,53,104,151,4,51,42,12,16,17,3,11,0,0,0,4,12
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau ROC Rijn IJsselcollege,0202::SB7,,1514,778,2,0,0,1,0,700,79,0,0,1,0,0,0,779,64,173,68,152,176,4,23,23,14,18,38,4,5,0,2,3,3,8
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Bezoekerscentrum Sonsbeek,0202::SB8,,1810,971,6,1,0,1,0,885,93,0,0,1,0,0,0,978,99,110,132,160,288,5,57,40,12,15,34,2,2,0,6,4,0,5
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Wijkcentrum de Bakermat,0202::SB9,,1678,1169,1,1,0,0,0,1017,154,0,0,0,0,0,0,1171,106,89,220,138,353,9,95,47,20,31,19,0,7,1,7,1,3,23
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Pieter Brueghelschool,0202::SB11,,1140,910,0,0,0,0,0,820,91,0,1,0,0,0,0,911,79,84,219,65,299,1,65,45,10,13,17,3,5,0,0,1,0,4
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Basisschool Het Palet,0202::SB12,,1230,990,3,1,0,0,0,886,108,0,0,0,0,0,0,994,86,93,271,90,260,4,74,46,5,23,29,1,1,1,4,0,0,2
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Siza Dorp Groep,0202::SB13,,1445,740,0,1,0,0,0,652,89,0,0,0,0,0,0,741,39,63,190,47,145,9,120,50,10,19,18,3,12,0,5,0,4,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Emmausschool,0202::SB14,,1262,771,1,0,0,0,0,707,65,0,0,0,0,0,0,772,77,122,103,76,188,6,56,49,4,51,22,3,2,1,4,1,2,4
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Rode Kruisgebouw,0202::SB15,,1314,1046,1,4,0,0,0,962,89,0,0,0,0,0,0,1051,88,160,144,135,229,6,79,55,18,65,25,1,27,1,2,2,3,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau ROC Rijn IJssel (Vaksch Wageningen),0202::SB16,,1408,879,1,1,0,0,0,792,89,0,0,0,0,0,0,881,68,126,135,131,205,3,75,54,8,14,36,2,3,0,11,2,0,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Jan Ligthartschool (dependance),0202::SB17,,1900,1025,0,7,0,0,0,936,96,0,0,0,0,0,0,1032,116,180,97,152,252,5,46,33,9,11,35,51,4,2,11,5,5,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Jan Ligthartschool,0202::SB18,,2168,947,4,4,0,0,0,875,80,0,0,0,0,0,0,955,86,211,84,156,232,9,28,24,4,4,36,35,4,2,10,6,3,13
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau MFC Klarendal,0202::SB21,,1647,708,0,3,0,0,0,639,72,0,0,0,0,0,0,711,85,137,31,96,128,1,27,17,4,10,25,112,2,4,2,13,4,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Productiehuis Plaatsmaken,0202::SB22,,1800,577,3,2,0,0,0,534,48,0,0,0,0,0,0,582,66,133,28,110,88,1,14,12,9,9,26,55,4,6,2,3,4,7
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Jongerencentrum De Mix,0202::SB24,,1918,800,1,4,0,0,0,708,97,0,0,0,0,0,0,805,81,178,47,113,170,9,27,24,5,12,24,69,3,0,3,25,4,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau ROC Rijn IJssel (sector Educatie),0202::SB25,,1313,789,2,1,0,0,0,721,71,0,0,0,0,0,0,792,75,127,133,113,175,7,69,21,6,15,17,10,1,0,3,0,11,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Jozef Sartoschool,0202::SB26,,1425,706,2,1,0,0,0,642,67,0,0,0,0,0,0,709,71,118,85,92,192,5,53,12,7,23,30,3,4,2,1,0,2,6
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum Drie Gasthuizen,0202::SB27,,1791,1246,1,0,0,0,0,1107,142,0,2,0,0,0,0,1249,117,126,221,124,366,8,131,61,4,27,27,6,9,0,4,5,0,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Opstandingskerk (hoofdingang),0202::SB29,,1249,726,1,1,0,0,0,657,71,0,0,0,0,0,0,728,80,145,79,83,149,11,47,36,5,23,26,7,7,2,0,5,14,7
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau De Vlindertuin,0202::SB30,,1995,702,7,2,1,0,0,654,58,0,0,0,1,0,0,712,62,183,32,75,88,3,34,40,7,48,35,27,16,1,2,3,35,11
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau GSG Guido de Brès,0202::SB31,,1027,216,1,0,0,0,0,199,18,0,0,0,0,0,0,217,20,44,18,15,39,1,19,16,3,12,7,4,0,3,1,5,7,2
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau MFC De Geitenkamp,0202::SB32,,1528,642,0,7,0,0,0,603,46,0,0,0,0,0,0,649,84,194,16,52,58,9,28,17,5,35,36,41,15,1,3,3,32,13
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum De Paasberg,0202::SB34,,1649,1075,2,1,0,2,0,972,104,0,0,2,0,0,0,1076,125,132,141,128,278,8,90,52,6,46,33,0,9,0,6,3,8,10
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Woonzorgcentrum Vreedenhoff,0202::SB35,,1132,608,3,5,0,0,0,568,48,0,0,0,0,0,0,616,60,69,75,38,87,6,129,53,4,50,19,3,9,1,2,2,0,1
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau John F. Kennedyschool,0202::SB37,,1890,830,2,5,0,1,0,773,63,0,0,1,0,0,0,836,110,161,68,28,106,5,86,56,16,59,24,57,22,4,4,4,6,14
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Kantine AV & AC Eendracht,0202::SB38,,2242,818,4,7,0,0,0,748,81,0,0,0,0,0,0,829,124,193,66,37,110,8,67,44,7,51,28,44,12,1,1,5,3,17
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Kantine Han,0202::SB39,,496,377,1,2,0,0,0,343,37,0,0,0,0,0,0,380,31,57,72,21,66,6,59,12,2,20,7,3,6,1,7,1,1,5
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau Dans- en Muziekschool El Ele,0202::SB42,,1655,412,0,1,0,0,0,352,61,0,0,0,0,0,0,413,73,96,16,10,23,2,15,11,6,19,5,98,10,0,2,4,4,18
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau MFC Presikhaven,0202::SB43,,2135,731,1,5,0,0,0,667,70,0,0,0,0,0,0,737,129,128,43,17,105,4,55,30,11,33,17,115,8,1,5,3,9,18
,Arnhem,GR2014_Arnhem,Gemeenteraad Arnhem 2014,0202,Arnhem,2014-03-19,Stembureau MFC Presikhaven,0202::SB45,,1165,568,3,2,0,0,0,507,66,0,0,0,0,0,0,573,114,81,31,27,42,11,30,42,7,27,17,106,10,1,4,3,5,10
