contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,ChristenUnie-SGP,Gemeentebelang Boerenpartij,Partij van de Arbeid (P.v.d.A.),VVD,D66/GroenLinks
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Hanzeheerd Brinkhoven,0246::SB1,8181 DB,1443,949,3,3,0,0,0,878,77,0,0,0,0,0,0,955,291,152,111,136,129,130
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Buurt-en clubshuis 't Honk,0246::SB2,8181 AB,1554,877,3,1,0,0,0,803,78,0,0,0,0,0,0,881,230,161,91,173,90,132
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Peuterpret,0246::SB3,8181 CH,1165,630,3,1,0,0,0,581,53,0,0,0,0,0,0,634,151,81,101,130,91,76
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau De Rhijnsberg,0246::SB4,8181 XW,1498,1008,7,1,0,0,0,913,103,0,0,0,0,0,0,1016,273,191,95,134,170,145
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Balders-Hoef,0246::SB5,8181 GM,1752,962,1,6,0,0,0,862,107,0,0,0,0,0,0,969,257,196,74,139,160,136
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau De Horsthoek,0246::SB6,8181 RE,871,551,0,1,0,0,0,479,73,0,0,0,0,0,0,552,104,94,79,52,126,96
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Jenaplanschool,0246::SB7,8181 LE,951,588,0,1,0,0,0,528,61,0,0,0,0,0,0,589,131,64,112,99,106,76
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau de Boerbrink,0246::SB8,8194 LT,681,451,0,0,0,0,0,409,42,0,0,0,0,0,0,451,93,57,47,58,101,95
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Hervormd Verenigingsgebouw,0246::SB9,8191 LS,1381,932,1,0,0,0,0,851,83,0,0,0,1,0,0,934,128,372,214,53,106,59
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Rehoboth,0246::SB10,8191 JE,988,583,4,3,0,0,0,548,42,0,0,0,0,0,0,590,78,168,110,45,102,80
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau 't Spyker,0246::SB11,8191 AZ,1191,587,0,1,0,0,0,524,64,0,0,0,0,0,0,588,60,196,191,59,43,38
,Heerde,GR2014_Heerde,Gemeenteraad Heerde 2014,0246,Heerde,2014-03-19,Stembureau Het Drieluik,0246::SB12,8191 XT,1201,724,1,4,0,0,0,645,83,0,0,1,0,0,0,728,81,240,223,76,47,57
