contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Burgerbelang,H.O.P. (Heerhugowaardse Onafhankelijke Partij),Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,Democraten 66 (D66),TROTS,ChristenUnie,Senioren HHW,SP (Socialistische Partij),Nederland Duurzaam
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Gemeentehuis,0398::SB1,1703 EZ,2241,1455,3,10,0,0,0,1351,117,0,0,0,0,0,0,1468,143,92,230,131,180,52,137,9,52,237,158,34
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau O.b.s. De Carrousel,0398::SB2,1703 GA,1435,722,2,0,0,0,0,657,67,0,0,0,0,0,0,724,46,53,140,73,52,19,70,8,50,62,117,32
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau O.b.s. De Fonkelsteen,0398::SB3,1703 RC,2361,1258,1,7,0,0,0,1139,132,0,5,5,0,0,0,1271,178,65,272,119,113,38,162,12,39,91,128,41
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Buurthuis De Hoeksteen,0398::SB4,1703 AP,1846,753,3,1,0,0,0,757,0,0,0,0,0,0,0,757,58,54,137,68,62,39,89,9,46,63,104,24
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau ICBS De Vaart Bakboord,0398::SB5,1703 NK,1702,682,2,2,0,0,0,630,56,0,0,0,0,0,0,686,66,83,100,77,38,21,58,13,25,45,130,26
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau ICBS De Vaart Stuurboord,0398::SB6,1703 NK,1840,524,1,0,0,0,0,482,43,0,0,0,0,0,0,525,40,53,91,62,43,15,45,12,20,42,91,10
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,"Stembureau Trinitas College, loc. J. Bosco",0398::SB7,1703 PS,1312,604,0,0,0,0,0,546,58,0,0,0,0,0,0,604,68,57,115,54,55,24,57,11,11,53,70,29
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau O.b.s. Atalanta,0398::SB8,1704 ZE,2078,641,0,0,0,0,0,562,79,0,0,0,0,0,0,641,169,46,99,46,61,21,91,6,11,32,35,24
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau ICBS De Boomladder,0398::SB9,1702 TG,1616,951,5,3,0,1,0,902,58,0,0,0,1,0,0,960,100,91,138,75,102,44,109,18,33,124,98,19
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Woonzorgcomplex Arboretum,0398::SB10,1702 JA,1680,756,0,4,0,0,0,705,55,0,0,0,0,0,0,760,71,62,77,75,87,26,37,13,50,139,109,10
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Huizen Hugo-Oord,0398::SB11,1701 HA,1748,959,4,2,0,0,0,882,83,0,0,0,0,0,0,965,122,113,152,48,184,23,82,8,26,112,75,14
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Buurthuis de Ezel,0398::SB12,1701 VP,1165,730,2,0,0,0,0,653,79,0,0,0,0,0,0,732,64,60,129,50,97,21,67,2,31,104,90,15
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau BS De Zevensprong,0398::SB13,1701 MD,1475,630,1,3,0,0,0,583,51,0,0,0,0,0,0,634,61,74,71,46,80,13,68,4,26,70,98,19
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Dorpshuis De Noord,0398::SB14,1704 BE,2100,1115,5,2,0,0,0,975,147,0,0,0,0,0,0,1122,147,238,68,17,458,14,48,13,14,44,35,19
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau Centrum 31,0398::SB15,1701 ED,958,557,0,0,0,0,0,527,30,0,0,0,0,0,0,557,76,41,71,51,77,22,41,10,21,73,53,21
,Heerhugowaard,GR2014_Heerhugowaard,Gemeenteraad Heerhugowaard 2014,0398,Heerhugowaard,2014-03-19,Stembureau De Vonder,0398::SB16,1701 BA,1427,623,2,3,0,0,0,584,44,0,0,0,0,0,0,628,68,71,87,38,89,24,44,11,19,92,64,16
