contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),CDA,Algemeen Belang Oldebroek (A.B.O.),Partij van de Arbeid (P.v.d.A.),VVD
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau Gemeentehuis,0269::SB1,8096 CP,1911,1214,1,1,0,0,0,1081,135,0,0,0,0,0,0,1216,366,329,203,168,81,67
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau De Hullen,0269::SB2,8096 AX,1561,929,2,3,0,0,0,810,124,0,0,0,0,0,0,934,287,301,148,107,46,40
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau De Heerdt,0269::SB3,8097 SE,1685,1231,1,1,0,0,0,1052,181,0,0,0,0,0,0,1233,368,503,198,98,28,36
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau De Schaapskooi,0269::SB4,8096 CG,1051,678,0,1,0,0,0,604,75,0,0,0,0,0,0,679,237,199,102,60,27,53
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau Grinthuus,0269::SB5,8095 PX,1178,654,1,1,0,0,0,576,80,0,0,0,0,0,0,656,149,184,81,174,39,27
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau Pauluskerk,0269::SB6,8091 CK,1561,921,1,1,0,0,0,822,101,0,0,0,0,0,0,923,272,73,135,287,87,67
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau Kruiskerk,0269::SB7,8091 GA,1417,770,3,1,0,0,0,689,85,0,0,0,0,0,0,774,216,75,145,212,99,23
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau De Klepperbelt,0269::SB8,8091 JG,1493,851,3,0,0,0,0,741,113,0,0,0,0,0,0,854,197,81,111,307,94,61
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau De Uilenhorst,0269::SB9,8091 WD,1403,640,0,1,0,0,0,578,63,0,0,0,0,0,0,641,189,49,83,209,73,37
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau Vredeskerk,0269::SB10,8091 GR,1389,1006,2,2,0,0,0,911,99,0,0,0,0,0,0,1010,302,65,119,375,127,18
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau Dorpshuis Wezep,0269::SB11,8091 CT,1801,1095,6,1,0,0,0,981,121,0,0,0,0,0,0,1102,338,73,224,298,104,58
,Oldebroek,GR2014_Oldebroek,Gemeenteraad Oldebroek 2014,0269,Oldebroek,2014-03-19,Stembureau De Bouwakker,0269::SB12,8094 AM,1139,656,4,1,0,0,0,591,70,0,0,0,0,0,0,661,178,49,90,200,100,39
