contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelang,Staatkundig Gereformeerde Partij (SGP),ChristenUnie,CDA,Partij van de Arbeid (P.v.d.A.),VVD
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau V.E.G.  ""De Dorpsherberg""",0302::SB1,,1683,1247,6,2,0,0,0,1129,126,0,0,0,0,0,0,1255,317,188,186,223,90,243
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau Zorgcentrum ""De Bunterhoek""",0302::SB2,,1540,1000,2,5,1,0,0,900,108,0,0,0,1,0,0,1008,197,281,185,150,56,131
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,Stembureau Ds. A. van Stuijvenbergschool,0302::SB3,,1541,1189,0,1,0,0,0,1067,123,0,0,0,0,0,0,1190,312,356,201,128,44,148
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau De Chr. basisschool ""Da Costa""",0302::SB4,,1482,1094,2,6,1,0,0,1016,87,0,0,0,1,0,0,1103,362,184,223,122,64,139
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau De Chr. basisschool ""De Bron""",0302::SB5,,1752,1242,2,1,0,0,0,1131,114,0,0,0,0,0,0,1245,379,209,345,145,40,124
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau De Chr. basisschool ""De Morgenster""",0302::SB6,,1485,936,5,1,0,0,0,854,88,0,0,0,0,0,0,942,287,177,229,102,58,83
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau De Chr. ZMLK-school ""De Wingerd""",0302::SB7,,1448,1035,2,4,0,0,0,942,99,0,0,0,0,0,0,1041,315,214,201,128,55,122
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau Montessorischool ""De Ontdekking""",0302::SB8,,1427,960,2,2,0,0,0,849,115,0,0,0,0,0,0,964,287,220,178,106,79,90
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau De Chr. basisschool ""Petra""",0302::SB9,,1456,976,1,2,0,0,0,874,105,0,0,0,0,0,0,979,341,177,213,95,53,97
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,Stembureau De Boaz-Jachinschool,0302::SB10,,1515,1191,1,1,0,0,0,1010,183,0,0,0,0,0,0,1193,59,824,174,82,11,41
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,Stembureau Dislocatie Da Costaschool Elspeet,0302::SB11,,1668,1349,0,2,0,0,0,1163,188,0,0,0,0,0,0,1351,77,901,176,142,10,43
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau Dorpshuis ""De Wieken""",0302::SB12,,1572,961,0,8,0,0,0,852,117,0,0,0,0,0,0,969,249,176,241,94,32,169
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau Dorpshuis ""Horsterhoek""",0302::SB13,,579,356,1,2,0,0,0,315,44,0,0,0,0,0,0,359,90,21,27,64,31,123
,Nunspeet,GR2014_Nunspeet,Gemeenteraad Nunspeet 2014,0302,Nunspeet,2014-03-19,"Stembureau Zorgcentrum ""Seewende""",0302::SB14,,1347,896,0,0,0,0,0,792,104,0,0,0,0,0,0,896,184,252,217,129,25,89
