contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Gemeentebelangen,VVD,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Lokaal Alternatief,Democraten 66 (D66),1 voor Allen,GROENLINKS
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Gemeentehuis,0177::SB1,8101 AC,2205,1500,21,8,0,0,0,1405,124,0,0,0,0,0,0,1529,381,300,289,115,163,24,143,40,45
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Woonzorgcentrum Swaenewoerd,0177::SB2,8102 BE,1377,847,11,6,0,0,0,805,57,0,0,2,0,0,0,862,236,168,161,64,90,17,66,29,16
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Brede School Raalte Dorp,0177::SB3,8102 ZC,1086,585,2,4,0,0,0,546,45,0,0,0,0,0,0,591,102,131,93,52,81,15,63,34,14
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Dorpshuis Kerkehoek,0177::SB4,8144 RD,435,249,3,0,0,1,0,230,23,0,0,0,1,0,0,253,59,36,34,19,9,72,14,1,5
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Brinkhuis-van Hoogstraten account.,0177::SB5,8102 KE,1265,765,3,0,0,0,0,710,58,0,0,0,0,0,0,768,168,154,158,70,60,7,100,20,28
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Verpleeghuis de Hartkamp,0177::SB6,8101 EN,1541,925,9,2,0,0,0,862,75,0,0,0,1,0,0,937,192,196,137,103,110,18,102,16,51
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Helpende Handen,0177::SB7,8101 PP,938,519,10,0,0,1,0,484,46,0,0,0,1,0,0,530,123,100,78,49,74,6,56,19,14
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Carmel College Salland,0177::SB8,8101 AB,1182,341,1,1,0,0,0,315,28,0,0,0,0,0,0,343,99,69,51,17,36,7,34,5,23
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau OBS de Vogelaar,0177::SB9,8103 EA,1750,1148,10,4,0,2,0,1053,111,0,0,0,2,0,0,1164,192,277,226,117,100,13,163,26,34
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Woonomgeving Schuilenburg,0177::SB10,8103 RB,1761,825,9,1,0,0,0,746,86,0,0,3,0,0,0,832,181,173,213,48,66,15,87,20,22
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau KBS Esmoreit,0177::SB11,8105 AA,1658,980,5,0,0,1,0,879,105,0,0,1,0,0,0,984,422,261,120,32,43,12,56,15,19
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Gemeenschapscentrum de Schalm,0177::SB12,8106 AD,1215,684,2,3,0,0,0,621,68,0,0,0,0,0,0,689,252,209,131,16,28,6,30,6,6
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Gemeenschapctr.  Het Timmermanshuis,0177::SB13,8112 AB,905,563,3,3,0,1,0,518,52,0,0,0,1,0,0,570,277,225,15,16,13,0,9,3,5
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Café Restaurant Bosgoed,0177::SB14,8111 AA,1397,1038,3,2,0,1,0,960,84,0,0,0,1,0,0,1044,224,653,42,25,34,3,31,6,20
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Woonzorgcentrum Stevenskamp,0177::SB15,8111 AR,1404,837,5,1,0,1,0,771,75,0,0,0,3,0,0,846,214,500,42,14,29,2,28,3,5
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Het Kulturhus Broekland,0177::SB16,8107 BZ,985,604,1,0,0,2,0,552,55,0,0,0,2,0,0,607,127,331,50,18,32,9,24,2,11
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau KBS de Rietkraag,0177::SB17,8103 BM,1820,598,5,1,0,1,0,554,51,0,0,0,1,0,0,605,99,132,96,59,66,7,100,22,17
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Verenigingsgebouw 't Trefpunt,0177::SB18,8055 PZ,452,307,4,0,0,0,0,290,21,0,0,0,0,0,0,311,111,26,28,24,13,56,23,13,13
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau De Veldhoek zalen-restaurant,0177::SB19,8141 PS,744,453,4,1,0,1,0,405,51,0,0,2,0,1,0,456,88,63,88,22,37,114,21,7,13
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Zorgcentrum Het Wooldhuis,0177::SB20,8141 RV,1414,965,5,4,0,0,0,900,74,0,0,0,0,0,0,974,174,167,105,57,55,330,54,6,17
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau European Care Hotel,0177::SB21,8141 SH,1525,1024,8,1,2,0,0,964,71,0,0,0,2,0,0,1035,196,153,82,61,50,420,35,7,20
,Raalte,GR2014_Raalte,Gemeenteraad Raalte 2014,0177,Raalte,2014-03-19,Stembureau Daltonschool 'De Dolfijn,0177::SB22,8141 BP,1662,1131,2,2,0,0,0,1053,82,0,0,0,0,0,0,1135,167,152,99,64,40,509,78,9,13
