contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Democraten 66 (D66),SP (Socialistische Partij),ALA,Partij Vrij Almelo (PVA),GROENLINKS,ChristenUnie,Leefbaar Almelo,Libertarische Partij (LP),BURGERBELANGENALMELO,LKA,14,Almelooooo / Lijst Jan Hammink,Almelo Centraal
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Stadhuis,0141::SB1,7607 EK,1329,1021,4,7,0,0,0,920,112,0,0,0,0,0,0,1032,109,92,136,134,107,79,36,33,55,61,8,41,19,16,25,70
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau St. Radboudschool,0141::SB2,7607 XV,1775,754,5,3,0,0,0,688,74,0,0,0,0,0,0,762,85,76,94,89,74,57,37,13,26,37,16,63,29,2,20,36
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Verzorgingshuis De Hofkamp,0141::SB3,7607 ZC,1655,981,2,1,0,0,0,902,82,0,0,0,0,0,0,984,111,119,151,144,93,111,28,36,40,19,2,53,6,2,22,44
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Serviceflat De Swanehof,0141::SB4,7607 GC,1890,827,1,0,0,0,0,750,74,0,0,4,0,1,0,824,100,51,70,107,90,64,17,30,51,46,2,71,18,24,53,33
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Verzorgingshuis De Koppel,0141::SB5,7601 BK,1593,585,1,1,0,0,0,528,59,0,0,0,0,0,0,587,59,43,58,48,64,62,45,12,24,22,8,78,20,11,21,10
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Dienstencentrum De Riet,0141::SB6,7601 CR,1346,430,1,1,0,0,0,382,50,0,0,0,0,0,0,432,51,10,22,19,66,21,26,14,17,17,3,55,10,71,20,8
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Wijkcentrum De Schöppe,0141::SB7,7601 EJ,1896,862,1,5,0,1,0,780,89,0,0,0,1,0,0,869,102,34,81,71,93,38,59,28,33,52,2,75,10,85,71,28
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau RK Basisschool De Triangel,0141::SB8,7602 XZ,1215,683,2,2,0,2,0,689,0,0,0,0,2,0,0,689,54,69,122,79,53,60,41,14,39,17,8,55,10,2,22,38
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Clubgebouw v.v. Luctor et Emergo,0141::SB9,7602 AM,1170,562,1,0,0,0,0,509,54,0,0,0,0,0,0,563,49,43,105,65,51,47,27,11,28,26,7,41,11,5,25,21
,Almelo,GR2014_Almelo,Gemeenteraad Almelo 2014,0141,Almelo,2014-03-19,Stembureau Carint Reggeland,0141::SB10,7602 AA,1342,751,2,1,0,0,0,687,67,0,0,0,0,0,0,754,77,129,127,145,37,45,19,29,44,15,6,16,4,8,15,35
