contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),CDA,VVD,Gemeentebel Smilde-Beilen-Westerbork,GROENLINKS,Gemeentebelangen,Democraten 66 (D66),ChristenUnie,Red het Noorden
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Gemeentehuis Beilen,1731::SB1,9411 NB,1288,945,4,5,0,0,0,859,95,0,0,0,0,0,0,954,197,129,172,66,47,67,174,77,16
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Wooncentrum 't Stroomdal,1731::SB2,9411 KD,1400,840,1,3,0,0,0,781,63,0,0,0,0,0,0,844,198,177,107,56,39,54,141,59,9
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Buurtgebouw De Raat,1731::SB3,9411 GV,1510,974,6,2,0,0,0,905,77,0,0,0,0,0,0,982,282,123,107,92,54,116,118,64,18
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Zorgcentrum De Wester Es,1731::SB4,9411 LB,1697,820,4,1,0,0,0,766,59,0,0,0,0,0,0,825,181,225,113,68,24,50,114,37,8
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Vergadercentrum Valkenhof,1731::SB5,9411 LG,1814,1080,2,1,0,0,0,979,104,0,0,0,0,0,0,1083,190,206,150,71,42,110,196,102,13
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Vergaderruimte De Antenne,1731::SB6,9415 PG,808,507,0,0,0,0,0,464,43,0,0,0,0,0,0,507,86,109,81,44,31,60,55,40,1
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Dorpshuis 't Haolerhoes,1731::SB7,9414 AV,1141,761,1,1,0,0,0,696,67,0,0,0,0,0,0,763,145,82,200,34,34,57,67,131,11
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Dorpshuis De Weidehoek,1731::SB8,9418 PB,1542,886,3,2,0,0,0,797,94,0,0,0,0,0,0,891,216,88,149,25,50,254,57,38,9
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau 't aole gemientehoes,1731::SB9,9431 AD,1326,1031,1,3,0,0,0,919,116,0,0,0,0,0,0,1035,213,193,259,62,75,56,132,29,12
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Buurthuis Annie Londo,1731::SB10,9431 CW,1025,620,1,3,0,0,0,553,71,0,0,0,0,0,0,624,237,100,96,65,31,35,36,15,5
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Sportclubgeb. Perkenslag,1731::SB11,9431 HE,1309,878,2,2,0,0,0,795,87,0,0,0,0,0,0,882,257,138,123,71,62,43,149,30,5
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Woonzorgcen. 't Derkshoes,1731::SB12,9431 LE,1052,724,1,2,0,0,0,649,78,0,0,0,0,0,0,727,214,178,159,28,31,25,70,16,3
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Dorpshuis De Heugte,1731::SB13,7938 PK,776,421,4,0,0,0,0,384,41,0,0,0,0,0,0,425,128,41,49,16,30,59,19,69,10
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Dorpshuis De Tille,1731::SB14,9439 PE,1029,577,4,0,0,0,0,494,87,0,0,0,0,0,0,581,130,89,123,47,54,46,66,9,13
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Dienstencen.'t Beurtschip,1731::SB15,9422 HT,1512,822,3,6,0,0,0,759,72,0,0,0,0,0,0,831,136,151,40,215,57,43,52,107,21
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Zalencentrum Het Kompas,1731::SB16,9422 AA,1906,1142,4,5,0,0,0,1027,124,0,0,0,0,0,0,1151,163,208,97,283,65,56,90,164,16
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau MFA De Spil,1731::SB17,9421 NN,1667,791,7,3,0,0,0,746,55,0,0,0,0,0,0,801,179,125,43,186,34,36,84,81,23
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Kerkelijk Centrum Het Kruispunt,1731::SB18,9421 PH,1308,692,3,3,0,0,0,633,65,0,0,0,0,0,0,698,121,157,65,121,52,29,65,75,7
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Dorpshuis De Olde Bieb,1731::SB19,9423 PV,1355,677,0,3,0,0,0,596,84,0,0,0,0,0,0,680,109,108,92,144,22,66,49,71,16
,Midden-Drenthe,GR2014_MiddenDrenthe,Gemeenteraad Midden-Drenthe 2014,1731,Midden-Drenthe,2014-03-19,Stembureau Openbare Basisschool G.A. de Ridder,1731::SB20,9411 KV,1024,693,4,1,0,0,0,621,77,0,0,0,0,0,0,698,109,82,126,46,21,48,226,30,5
