contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Gemeentebelangen,Partij van de Arbeid (P.v.d.A),VVD,CDA,Democraten 66 (D66),ChristenUnie
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Gemeentehuis Exloo,1681::SB1,7875 AD,1384,944,8,3,0,1,0,861,93,0,0,1,0,0,0,954,360,153,205,67,135,24
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau De Paasbergen Odoorn,1681::SB2,7873 BE,1550,940,3,3,0,0,0,863,83,0,0,0,0,0,0,946,467,121,184,80,66,22
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Ons Dorpshuis Valthe,1681::SB3,7872 PL,1035,609,1,4,0,0,0,569,45,0,0,0,0,0,0,614,234,132,85,61,59,38
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,"Stembureau Dorpshuis ""Oes Hokkie""",1681::SB4,7871 PA,608,301,3,0,0,0,0,283,21,0,0,0,0,0,0,304,144,68,33,21,25,10
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Dorpshuis Odoornerveen,1681::SB5,7874 TD,471,234,5,0,0,0,0,210,29,0,0,0,0,0,0,239,84,24,69,27,23,7
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Buurthuis de Badde,1681::SB6,9573 PC,313,171,0,4,0,0,0,159,16,0,0,0,0,0,0,175,80,16,19,37,2,17
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Spa Horeca-Centrum 2e Exloërmond,1681::SB7,9571 BM,884,364,3,2,0,0,0,325,44,0,0,0,0,0,0,369,181,56,31,34,12,50
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Hunsow-hal 2e Exloërmond,1681::SB8,9571 BB,1033,516,3,5,0,0,0,469,55,0,0,0,0,0,0,524,260,81,42,44,17,72
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau De Wenakker Valthermond,1681::SB9,7876 HP,833,349,2,0,0,0,0,329,22,0,0,0,0,0,0,351,162,40,40,58,24,25
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau De Wijkplaats Valthermond,1681::SB10,7876 AV,596,243,0,0,0,0,0,226,17,0,0,0,0,0,0,243,98,46,27,45,10,17
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau MFA 't Brughuus Valthermond,1681::SB11,7876 GJ,818,302,5,1,0,0,0,278,30,0,0,0,0,0,0,308,140,54,23,34,21,30
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau 't Veurhof Valthermond,1681::SB12,7876 AD,639,288,4,3,0,1,0,257,39,0,0,0,0,0,0,296,132,43,38,34,12,29
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau VANSLAG Cultuurpodium,1681::SB13,9531 AG,1425,811,3,3,0,0,0,747,71,0,1,0,1,0,0,818,255,154,158,115,100,29
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau MFA het Hunzehuys,1681::SB14,9531 CH,1349,893,12,7,0,0,0,839,73,0,0,0,0,0,0,912,308,184,141,154,92,14
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Borgerhof Borger,1681::SB15,9531 AL,1098,698,1,6,0,1,0,651,55,0,0,0,1,0,0,706,252,159,103,113,55,16
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau H.R.Hartlief Buinen,1681::SB16,9528 PC,657,380,1,3,0,0,0,352,32,0,0,0,0,0,0,384,154,38,97,51,33,7
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Dorpshuis Mr Hekmanhoes Drouwen,1681::SB17,9533 PL,567,341,0,0,0,0,0,312,29,0,0,0,0,0,0,341,142,61,80,14,36,8
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Dorpshuis Mandielig Hoes Ees,1681::SB18,9536 PN,548,339,1,1,0,0,0,301,40,0,0,0,0,0,0,341,92,28,91,82,35,11
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau De Viersprong Buinerveen,1681::SB19,9524 PA,825,381,4,5,0,0,0,349,41,0,0,0,0,0,0,390,215,51,47,31,21,16
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Verenigingsgebouw Nieuw Buinen,1681::SB20,9521 CB,889,353,3,0,0,0,0,319,37,0,0,0,0,0,0,356,124,70,34,75,17,33
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau,1681::SB21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau MFA de Noorderbreedte,1681::SB22,9521 BC,2471,1129,6,9,0,0,0,1033,111,0,0,0,0,0,0,1144,482,237,66,167,59,118
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Dorpshuis Assekolke Drouwenermond,1681::SB23,9523 TA,422,218,0,0,0,0,0,202,16,0,0,0,0,0,0,218,92,39,19,34,20,14
,Borger-Odoorn,GR2014_BorgerOdoorn,Gemeenteraad Borger-Odoorn 2014,1681,Borger-Odoorn,2014-03-19,Stembureau Dorpshuis Drouwenerveen,1681::SB24,9525 TE,203,144,2,0,0,0,0,128,18,0,0,0,0,0,0,146,52,32,32,16,10,2
