contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Pro Hengelo,VVD,SP (Socialistische Partij),Burger Belangen,Democraten 66 (D66),GROENLINKS,ChristenUnie,Armoede Partij Nederland
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Stadhuis,0164::SB1,7551 EC,1873,1491,11,6,0,0,0,1363,145,0,0,0,0,0,0,1508,163,108,288,233,292,81,218,60,33,15
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Verpleeghuis Het Borsthuis,0164::SB2,7555 SH,1808,845,2,1,0,0,0,760,88,0,0,0,0,0,0,848,106,83,155,124,135,43,149,23,15,12
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Woonzorgcentrum Het Woolde,0164::SB3,7555 DR,1517,984,1,1,0,0,0,864,122,0,0,0,0,0,0,986,176,100,182,125,159,57,113,32,29,11
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Buurthuis 't Weidedorp,0164::SB4,7556 TM,1782,937,1,2,0,0,0,846,94,0,0,0,0,0,0,940,119,72,149,137,192,69,109,47,30,13
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Dr. A. Kuyperschool,0164::SB5,7556 ET,1760,991,5,2,0,0,0,925,73,0,0,0,0,0,0,998,121,121,217,106,182,45,121,50,24,4
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Clubhuis Achilles '12,0164::SB6,7556 GW,1841,692,1,5,0,0,0,628,70,0,0,0,0,0,0,698,83,74,121,85,156,36,100,15,10,12
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Wijkcentrum De Hengelose Es,0164::SB7,7556 LN,1503,822,7,2,0,0,0,755,76,0,0,0,0,0,0,831,93,106,162,88,193,43,81,20,16,20
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Ontmoetingsruimte Thiemsbrug,0164::SB8,7556 CH,1660,904,3,5,0,0,0,855,57,0,0,0,0,0,0,912,155,64,191,114,171,55,92,24,24,14
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Ontmoetingskerk,0164::SB9,7556 NP,1637,789,3,2,0,0,0,742,52,0,0,0,0,0,0,794,159,56,167,117,123,44,76,19,19,9
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Zorgcentrum Backenhagen,0164::SB10,7557 KE,1636,691,1,1,0,5,0,627,71,0,0,0,5,0,0,698,192,59,113,73,115,26,73,10,15,15
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Het Kindercentrum.nl,0164::SB11,7557 VZ,1463,643,0,4,0,0,0,586,61,0,0,0,0,0,0,647,95,83,108,53,142,30,95,11,20,6
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Scholengemeenschap Beyaert,0164::SB12,7557 CC,1365,801,2,3,0,0,0,721,85,0,0,0,0,0,0,806,129,66,148,152,109,31,124,24,14,4
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau VSO 't Korhoen,0164::SB13,7557 PC,1220,711,1,5,0,0,0,653,64,0,0,0,0,0,0,717,148,38,158,87,114,32,88,22,14,10
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Scholengemeenschap Beyaert,0164::SB14,7557 RH,1640,625,2,5,0,0,0,562,70,0,0,0,0,0,0,632,99,51,165,52,123,16,75,17,12,15
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Denksportcentrum Hengelo,0164::SB15,7557 EG,1581,518,2,1,0,0,0,500,21,0,0,0,0,0,0,521,72,61,119,41,115,20,53,14,11,12
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau De Zevensprong,0164::SB16,7552 MT,1082,615,6,3,0,0,0,567,57,0,0,0,0,0,0,624,124,58,140,45,122,22,51,25,23,5
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Dienstencentrum 't Swafert,0164::SB17,7552 ZB,1334,580,1,0,0,0,0,544,37,0,0,0,0,0,0,581,133,76,87,28,141,30,39,7,28,11
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Wijkcentrum De Tempel,0164::SB18,7552 JZ,1213,606,0,0,0,0,0,547,59,0,0,0,0,0,0,606,94,50,141,34,166,21,45,22,25,8
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Basisschool Drienermarke,0164::SB19,7552 HE,1814,1407,1,2,0,2,0,1267,145,0,0,0,2,0,0,1412,231,131,273,166,209,56,203,74,49,15
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Woonzorgcentrum Humanitas,0164::SB20,7552 DN,1735,986,2,5,0,0,0,893,100,0,0,0,0,0,0,993,169,110,167,134,154,51,127,38,22,14
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Praktijkonderwijs 't Genseler,0164::SB21,7552 AH,794,349,0,0,0,0,0,325,24,0,0,0,0,0,0,349,34,30,83,34,55,19,53,20,11,10
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Buurthuis Twekkelerwegkwartier,0164::SB22,7552 CC,598,243,4,3,0,0,0,232,18,0,0,0,0,0,0,250,9,52,40,10,65,14,30,11,8,4
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Nivon-Centrum Hengelo,0164::SB23,7553 LB,1370,778,3,2,0,0,0,715,68,0,0,0,0,0,0,783,88,89,150,92,150,71,83,16,21,18
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Ontmoetingsruimte Berflohoes,0164::SB24,7553 LG,1698,753,1,5,0,0,0,694,65,0,0,0,0,0,0,759,108,72,142,57,176,58,82,19,29,10
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau ROC van Twente,0164::SB25,7553 VZ,1826,797,1,0,0,0,0,735,63,0,0,0,0,0,0,798,98,67,130,81,176,63,123,36,16,7
,Hengelo,GR2014_Hengelo,Gemeenteraad Hengelo 2014,0164,Hengelo,2014-03-19,Stembureau Buurtcentrum 't Lansink,0164::SB26,7553 BS,1696,991,3,4,0,0,0,902,96,0,0,0,0,0,0,998,117,107,174,113,203,76,128,46,23,4
