contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,Leefbaar Dronten,Partij van de Arbeid (P.v.d.A.),ChristenUnie,GROENLINKS,Democraten 66 (D66),OPA-Dronten,SP (Socialistische Partij),GROEP HOP
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Gemeentehuis,0303::SB1,8251 ER,2013,1665,1,7,6,0,0,1541,138,0,0,0,0,0,0,1679,510,259,117,144,178,93,148,34,164,18
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Kantine Sportvereniging Reaal,0303::SB2,8253 BA,1780,943,4,1,0,0,0,858,90,0,0,0,0,0,0,948,215,191,59,47,143,89,131,14,48,6
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Basisschool De Dukdalf,0303::SB3,8253 EA,1977,1394,3,0,0,0,0,1221,176,0,0,0,0,0,0,1397,280,276,129,91,193,107,192,14,99,13
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Mr. Antoine M.G. Gresel Kazerne,0303::SB4,8251 KP,2048,1009,0,3,0,0,0,894,118,0,0,0,0,0,0,1012,271,173,61,60,148,51,133,20,76,16
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Woonzorgcentrum De Regenboog,0303::SB5,8254 AB,1762,926,4,5,0,1,0,866,69,0,0,0,1,0,0,935,294,99,74,91,105,50,94,23,91,5
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Ontmoetingskerk,0303::SB6,8251 LD,1849,996,6,7,0,0,0,910,99,0,0,0,0,0,0,1009,284,99,66,69,154,67,106,20,115,16
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Samenwerkingsschool De Brandaris,0303::SB7,8251 VX,1741,823,0,2,0,0,0,751,74,0,0,0,0,0,0,825,183,109,49,66,97,68,117,20,91,23
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Samenwerkingsschool Het Wilgerijs,0303::SB8,8251 TJ,1613,1201,3,4,0,1,0,1079,130,0,0,0,1,0,0,1209,294,171,105,94,137,86,169,19,109,17
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Clubhuis Golfresidentie,0303::SB9,8251 NS,1035,702,1,1,1,0,0,630,73,0,0,1,0,0,0,703,170,241,55,33,49,29,90,11,17,7
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Basisschool Flevosprong,0303::SB10,8252 GW,1618,1022,0,3,0,0,0,908,117,0,0,0,0,0,0,1025,210,187,68,75,137,66,155,21,92,11
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Basisschool Het Kompas,0303::SB11,8252 GJ,1620,989,4,2,0,0,0,907,88,0,0,0,0,0,0,995,263,165,59,73,137,45,134,14,93,6
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Dorpshuis De Steiger,0303::SB12,8255 DM,1450,741,4,11,0,1,0,696,61,0,0,0,1,0,0,757,208,92,208,30,32,20,70,12,64,5
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Kerkcentrum De Hoeksteen,0303::SB13,8255 AA,1420,855,7,2,0,0,0,790,74,0,0,0,0,0,0,864,267,129,198,59,42,22,63,17,54,4
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Basisschool De Duykeldam,0303::SB14,8255 AR,2002,931,1,3,0,0,0,824,111,0,0,0,0,0,0,935,228,105,271,55,34,40,89,10,86,13
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Het Koetshuis,0303::SB15,8256 BD,1371,899,4,5,0,0,0,805,103,0,0,0,0,0,0,908,282,160,43,46,59,138,65,19,70,17
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Bas Tennis,0303::SB16,8256 ZG,1482,542,1,0,0,0,0,502,41,0,0,0,0,0,0,543,154,85,38,24,35,98,24,12,64,8
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Kerkcentrum De Voorhof,0303::SB17,8256 BK,1867,1003,1,3,0,0,0,897,110,0,0,0,0,0,0,1007,349,167,65,46,80,140,54,16,77,9
,Dronten,GR2014_Dronten,Gemeenteraad Dronten 2014,0303,Dronten,2014-03-19,Stembureau Basisschool De Klimboom,0303::SB18,8253 EA,1868,582,0,1,0,0,0,507,76,0,0,0,0,0,0,583,128,129,43,39,66,48,89,4,30,6
