contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,ChristenUnie,Stadspartij Harderwijk Anders,Partij van de Arbeid (P.v.d.A.),Gemeentebelang Harderwijk/Hierden,Democraten 66 (D66),Groep Hop
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Stadhuis (1),0243::SB1,,1354,600,1,1,0,0,0,541,61,0,0,0,0,0,0,602,92,101,94,127,66,40,64,16
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Stadhuis (2),0243::SB2,,1914,1265,1,3,0,1,0,1118,150,0,0,1,0,0,0,1268,160,234,196,270,155,101,111,38
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Bibliotheek Noordwest Veluwe,0243::SB3,,1510,932,1,1,0,0,0,831,103,0,0,0,0,0,0,934,159,189,107,186,125,59,100,7
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Zorgcentrum ""De Aanleg""",0243::SB4,,1784,1004,2,8,0,0,0,921,93,0,0,0,0,0,0,1014,127,237,233,151,93,79,66,18
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Sociaal Centrum ""De Kiekmure""",0243::SB5,,1589,837,1,2,0,0,0,738,102,0,0,0,0,0,0,840,76,137,164,153,153,71,66,17
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Sociaal Centrum ""De Kiekmure""",0243::SB6,,1615,875,1,9,0,0,0,767,118,0,0,0,0,0,0,885,85,131,187,130,171,70,75,26
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Basisschool de Delta,0243::SB7,,1668,823,7,11,0,0,0,728,113,0,0,0,0,0,0,841,51,92,215,140,160,78,63,24
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Harmoniegebouw,0243::SB9,,1940,825,4,5,0,0,0,732,102,0,0,0,0,0,0,834,79,138,175,129,124,86,73,21
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Basisschool ""Willem-Alexander""",0243::SB10,,1685,1035,0,3,0,0,0,941,96,0,0,1,0,0,0,1037,123,219,215,202,130,64,73,9
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Gebouw van het Leger des Heils,0243::SB11,,1561,993,2,3,0,0,0,896,102,0,0,0,0,0,0,998,143,191,209,209,97,59,79,6
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Zorgcentrum ""Randmeer""",0243::SB12,,1909,1122,4,9,10,0,0,1034,113,0,2,0,12,0,0,1147,169,261,210,175,144,60,88,15
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Wijkcentrum ""De Roef""",0243::SB13,,1517,803,2,1,0,0,0,732,74,0,0,0,0,0,0,806,91,126,185,132,124,44,89,12
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Wijkcentrum ""De Roef""",0243::SB14,,1467,864,5,6,0,0,0,793,84,0,0,0,2,0,0,877,101,138,209,154,121,38,87,16
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Basisschool ""Fontanusschool""",0243::SB15,,1679,983,0,3,0,0,0,877,109,0,0,0,0,0,0,986,144,135,233,142,160,44,112,13
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Hervormde Kerk,0243::SB16,,1731,1255,3,0,0,0,0,1099,159,0,0,0,0,0,0,1258,190,219,270,83,33,401,54,5
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Humanistisch Wooncentrum ""Walstein""",0243::SB18,,1879,942,1,2,0,0,0,834,111,0,0,0,0,0,0,945,131,167,229,160,98,82,60,15
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau Basisschool ""De Bron""",0243::SB19,,1831,1266,1,4,0,0,0,1143,128,0,0,0,0,0,0,1271,172,281,310,127,107,177,76,16
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Basisschool 'Het Startblok',0243::SB20,,1513,737,1,1,0,0,0,650,90,0,0,0,1,0,0,740,167,168,149,86,69,41,54,3
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,"Stembureau MFC ""De Bogen"" (Aula)",0243::SB21,,1704,1166,2,3,0,0,0,1021,148,0,0,2,0,2,0,1169,260,222,208,131,162,67,109,7
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau ZorgDat Wijkhuis Drielanden,0243::SB22,,1456,1122,4,5,0,0,0,995,138,0,2,0,2,0,0,1133,248,213,202,139,152,53,97,18
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Basisschool 'Het Startblok',0243::SB23,,1811,638,0,2,0,0,0,564,76,0,0,0,0,0,0,640,138,135,115,85,73,33,57,2
,Harderwijk,GR2014_Harderwijk,Gemeenteraad Harderwijk 2014,0243,Harderwijk,2014-03-19,Stembureau Mobiel Stembureau,0243::SB24,,0,140,0,0,0,0,0,129,11,0,0,0,0,0,0,140,9,41,51,14,9,7,7,2
