contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),Samenwerking Venray,PP2,VVD,SP (Socialistische Partij),inVENtief,Democraten 66 (D66)
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Gemeentehuis,0984::SB1,5801 MB,1839,1259,7,2,0,0,0,1137,131,0,0,0,0,0,0,1268,260,94,154,89,186,123,130,223
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,"Stembureau Vincent van Gogh, Stationsweg",0984::SB2,5803 AC,1696,781,1,2,0,0,0,681,103,0,0,0,0,0,0,784,164,68,95,45,85,126,54,144
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Beukenrode,0984::SB3,5802 CJ,1642,942,3,3,0,0,0,829,120,0,0,0,1,0,1,949,198,60,149,116,52,151,84,132
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Schuttersveld,0984::SB4,5801 EG,1702,896,3,5,0,0,0,808,96,0,0,0,0,0,0,904,209,59,113,100,89,157,72,97
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau 't Stekske,0984::SB5,5803 BV,1927,965,5,4,0,0,0,867,107,0,0,0,0,0,0,974,117,64,123,78,114,204,124,141
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Oostrum,0984::SB6,5807 BJ,1918,908,1,3,0,0,0,827,85,0,0,0,0,0,0,912,270,67,70,78,98,134,54,137
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Oirlo,0984::SB7,5808 AV,968,551,3,2,0,0,0,485,71,0,0,0,0,0,0,556,342,10,52,16,53,41,15,22
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Castenray,0984::SB8,5811 AN,609,351,1,0,0,0,0,307,45,0,0,0,0,0,0,352,251,4,14,15,10,22,16,19
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Veulen,0984::SB9,5814 AB,377,238,0,2,0,0,0,216,24,0,0,0,0,0,0,240,65,3,97,8,29,12,18,6
,Venray,GR2014_Venray,Gemeenteraad Venray 2014,0984,Venray,2014-03-19,Stembureau Leunen,0984::SB10,5809 AD,1729,1043,4,3,0,0,0,922,128,0,0,0,0,0,0,1050,441,68,160,38,75,110,85,66
