contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Transparante Partij voor Algemeen Belang (T@B),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij van de Arbeid (P.v.d.A.),CDA,VVD
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,Stembureau Trouwzaal  Gemeentehuis,0523::SB1,3371 AS,1129,978,3,3,0,0,0,859,125,0,0,0,0,0,0,984,265,231,233,111,81,57
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau De Ducdalf, Scheldestraat 1",0523::SB2,3371 SV,1027,780,1,6,0,0,0,702,85,0,0,0,0,0,0,787,273,146,163,91,68,39
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau ""Willem de Zwijgercol."", Bellefleur",0523::SB3,3371 NA,813,442,1,0,0,0,0,375,68,0,0,0,0,0,0,443,120,100,112,36,37,37
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau School ""de Zevenster"" Tonneband 22",0523::SB4,3371 JG,913,644,2,1,0,0,0,565,82,0,0,0,0,0,0,647,176,185,112,65,63,43
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Kerk Ger.Gemeente, Buitendams 118",0523::SB5,3371 BN,940,726,0,0,0,0,0,638,90,0,0,0,2,0,0,728,183,156,299,38,31,19
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Geref. Kerk, Stationsstraat 20",0523::SB6,3371 AX,1082,1111,1,1,0,0,0,940,173,0,0,0,0,0,0,1113,227,336,265,102,103,78
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau School ""De Driemaster"" Jacobsweer",0523::SB7,3371 PN,906,509,1,0,0,0,0,454,56,0,0,0,0,0,0,510,159,121,88,56,51,34
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Verz.tehuis ""Pedaja"", ing. Wieling",0523::SB8,3371 PR,1030,620,0,1,0,0,0,541,80,0,0,0,0,0,0,621,210,131,163,51,46,19
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Ichtusschool, ing. Florenweer",0523::SB9,3371 RC,916,687,1,0,0,0,0,603,85,0,0,0,0,0,0,688,204,190,150,73,43,27
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Muziekvereniging EMS, Sluisweg 67E",0523::SB10,3371 ES,1000,453,0,0,0,0,0,380,73,0,0,0,0,0,0,453,145,101,130,27,30,20
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Kerk Hers.Herv.Gem., Nassaustraat",0523::SB11,3372 EE,935,704,1,1,0,0,0,616,90,0,0,0,0,0,0,706,258,78,222,78,51,17
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau ""De Lange Wei"", Atrium",0523::SB12,3372 XV,899,769,1,2,0,0,0,666,106,0,0,0,0,0,0,772,394,86,99,104,56,30
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Herv. Kerkcentrum, ing. P.Potterstr",0523::SB13,3372 XL,924,377,0,1,0,0,0,330,48,0,0,0,0,0,0,378,148,83,61,45,32,8
,Hardinxveld-Giessendam,GR2014_HardinxveldGiessendam,Gemeenteraad Hardinxveld-Giessendam 2014,0523,Hardinxveld-Giessendam,2014-03-19,"Stembureau Geref. Kerk, ing. W. Droststraat",0523::SB14,,925,684,1,0,0,0,0,605,80,0,0,0,0,0,0,685,379,77,104,52,42,30
