contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,F.D. Dreumel,VVD,CDA,F.D. Maasdorpen,F.D. Boven-Leeuwen,Partij Beneden Leeuwen,F.D. Wamel,SP (Socialistische Partij),Sociaal Maas en Waal
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Alphen,0668::SB1,6626 AC,1320,827,0,1,0,0,0,697,131,0,0,0,0,0,0,828,17,90,88,427,1,0,3,156,45
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Altforst,0668::SB2,6628 AC,408,266,0,0,0,0,0,235,31,0,0,0,0,0,0,266,0,72,113,19,4,2,0,32,24
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Appeltern,0668::SB3,6629 AR,656,409,1,3,0,0,0,348,65,0,0,0,0,0,0,413,2,108,139,63,4,4,1,49,39
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Beneden-Leeuwen,0668::SB4,6658 WX,1939,1032,3,3,0,0,0,906,132,0,0,0,0,0,0,1038,15,356,166,16,32,212,8,118,109
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Beneden-Leeuwen,0668::SB5,6658 AG,1515,1147,5,4,0,0,0,988,168,0,0,0,0,0,0,1156,13,317,148,9,30,295,10,169,156
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Beneden-Leeuwen,0668::SB6,6658 XK,1543,838,3,0,0,0,0,727,114,0,0,0,0,0,0,841,10,147,106,9,29,263,8,155,111
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Boven-Leeuwen,0668::SB7,6657 CB,1685,1091,3,7,0,0,0,968,133,0,0,0,0,0,0,1101,5,85,50,5,639,19,0,90,198
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Dreumel,0668::SB8,6621 KV,1238,895,3,0,0,0,0,791,107,0,0,0,0,0,0,898,697,40,19,28,0,3,1,43,64
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Dreumel,0668::SB9,6621 AN,1419,968,2,2,0,0,0,835,137,0,0,0,0,0,0,972,732,64,32,12,5,3,7,42,71
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Maasbommel,0668::SB10,6627 AG,1024,649,2,1,0,1,0,561,92,0,0,0,1,0,0,653,9,93,143,290,5,1,2,68,38
,West Maas en Waal,GR2014_WestMaasenWaal,Gemeenteraad West Maas en Waal 2014,0668,West Maas en Waal,2014-03-19,Stembureau Wamel,0668::SB11,6659 CR,1935,1231,3,5,0,0,0,1058,181,0,0,0,0,0,0,1239,7,160,101,14,9,10,631,206,93
