contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),BREDA'97,TROTS/OPA,Bredase Ondernemers Ouderen-Partij,GemeenteBelangen Breda
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Stadhuis,0758::SB1,,2138,1019,15,1,0,1,0,944,92,0,0,0,1,0,0,1036,268,88,85,236,149,109,35,11,26,12
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau RK BS St. Joseph,0758::SB2,,2608,783,9,1,0,0,0,729,64,0,0,0,0,0,0,793,172,77,62,211,118,96,16,7,11,13
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Cingel College,0758::SB3,,2689,1016,3,5,0,4,0,929,99,0,0,0,4,0,0,1028,250,121,85,227,105,140,32,18,17,21
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Zorg en Behandelcentrum Elisabeth,0758::SB4,,1885,569,4,5,0,0,0,536,42,0,0,0,0,0,0,578,95,54,70,104,71,114,10,17,19,15
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS De Singel,0758::SB5,,2149,722,7,2,0,2,0,686,47,0,0,0,2,0,0,733,126,94,52,125,77,156,34,22,17,19
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Stadskantoor,0758::SB6,,1795,1606,5,4,0,0,0,1456,159,0,0,0,0,0,0,1615,348,163,170,342,186,251,53,38,33,22
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau NHTV,0758::SB10,,1672,569,4,2,0,0,0,534,41,0,0,0,0,0,0,575,75,65,64,109,65,128,15,20,12,16
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau Vrije School Breda,0758::SB11,,2436,990,3,5,0,0,0,885,113,0,0,0,0,0,0,998,124,115,65,211,161,180,57,24,30,23
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS De Liniedoorn,0758::SB12,,2128,740,7,8,0,0,0,686,69,0,0,0,0,0,0,755,68,92,96,95,65,206,20,48,21,29
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau 't Rietveldhuis,0758::SB13,,1162,382,1,4,0,0,0,336,51,0,0,0,0,0,0,387,41,78,37,48,16,115,15,9,16,7
,Breda,GR2014_Breda,Gemeenteraad Breda 2014,0758,Breda,2014-03-19,Stembureau BS De Fontein,0758::SB14,,1754,579,6,3,0,0,0,516,72,0,0,0,0,0,0,588,34,137,93,57,25,163,18,16,25,11
