contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),VVD,Partij van de Arbeid (P.v.d.A.),CDA,GROENLINKS,Seyst.Nu,ChristenUnie/SGP,SP (Socialistische Partij),NieuwDemocratischZeist
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau het Gemeentehuis,0355::SB1,3701 HS,1070,875,5,2,0,5,0,804,83,0,0,0,0,0,0,887,173,179,62,121,103,76,53,31,77
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau gebouw de Ark,0355::SB2,3702 SB,1788,896,3,1,0,0,0,812,88,0,0,0,0,0,0,900,135,161,50,83,107,153,83,72,52
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau gebouw Zeister Mannenkoor,0355::SB3,3701 VK,1756,974,1,1,0,0,0,891,88,3,0,0,0,0,0,979,102,108,84,133,88,196,84,102,77
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Bej.centrum  De Looborch,0355::SB4,3701 BC,1635,1147,0,4,0,0,0,1018,133,0,0,0,0,0,0,1151,235,281,58,189,104,95,74,36,75
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Verzorgingshuis Valckenbosch,0355::SB5,3707 VD,1522,1088,2,4,0,0,0,928,166,0,0,0,0,0,0,1094,191,399,45,100,118,71,56,21,87
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Bej.centrum Amandelhof,0355::SB6,3708 AB,1445,1051,1,3,0,0,0,931,124,0,0,0,0,0,0,1055,176,213,65,166,104,83,126,30,88
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Bej.centrum Heerewegen,0355::SB7,3708 AH,1560,811,3,4,0,0,0,747,71,0,0,0,0,0,0,818,136,137,59,99,68,80,104,69,59
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Sjoelvereniging Soni,0355::SB8,3708 DM,1829,859,4,0,0,0,0,751,112,0,0,0,0,0,0,863,166,162,64,67,94,99,43,86,78
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau basisschool Griffensteijn,0355::SB9,3703 BP,1875,1009,2,2,0,1,0,888,126,0,0,0,1,0,0,1014,230,170,87,84,132,135,66,65,40
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau basisschool Griffensteijn,0355::SB10,3703 BP,1879,969,4,3,0,0,0,855,121,0,0,0,0,0,0,976,209,175,89,71,98,143,78,58,48
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Wijkcentrum De Koppeling,0355::SB11,3704 KS,1515,1063,3,5,2,0,0,933,136,0,0,2,0,0,0,1069,168,115,134,126,113,153,60,85,109
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Wijkcentrum De Koppeling,0355::SB12,3704 KS,1733,978,3,10,1,4,0,871,125,0,0,0,5,0,0,996,158,111,111,111,111,130,62,83,101
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau school Nije-Kroost,0355::SB13,3704 EG,1563,1058,5,3,0,0,0,941,124,0,0,1,0,0,0,1065,149,184,99,98,123,165,114,76,50
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau R.O.C. Midden Nederland,0355::SB14,3704 GN,1870,839,0,3,0,0,0,719,123,0,0,0,0,0,0,842,139,107,73,97,85,116,70,59,93
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau wijkcentrum 't Noorderpunt,0355::SB15,3706 AH,1980,972,5,0,5,0,0,922,60,0,0,0,5,0,0,982,158,136,70,91,173,110,52,102,80
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau gebouw de Ark,0355::SB16,3702 SB,1762,822,0,4,0,0,0,738,88,0,0,0,0,0,0,826,116,120,59,76,89,147,106,57,52
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Sionskerk,0355::SB17,3705 BP,1684,1250,1,0,0,0,0,1141,110,0,0,0,0,0,0,1251,309,218,65,110,155,131,103,59,100
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Wijkservicepunt Noord,0355::SB18,3705 HD,2113,1079,3,2,0,0,0,985,101,0,2,0,2,0,0,1086,154,130,95,115,131,157,91,119,87
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau school Op Dreef,0355::SB19,3706 EW,1611,402,5,2,0,0,0,369,40,0,0,0,0,0,0,409,56,18,64,32,63,26,18,74,51
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau wijkcentrum 't Noorderpunt,0355::SB20,3706 AH,1683,814,5,5,0,1,0,770,55,0,0,0,1,0,0,825,147,122,76,69,129,85,47,81,58
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau gebouw De Kameleon,0355::SB21,3705 PE,1554,689,1,1,0,0,0,621,70,0,0,0,0,0,0,691,66,65,68,76,57,95,85,117,60
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau de Montessorischool,0355::SB22,3705 XL,1624,882,3,1,0,0,0,792,95,0,1,0,1,0,0,887,147,137,69,77,131,150,51,73,47
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Woonzorgcentrum Vredenoord,0355::SB23,3712 AA,1373,598,2,2,0,0,0,539,63,0,0,0,0,0,0,602,95,107,40,62,66,55,44,45,84
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Verpleeghuis De Wijngaard,0355::SB24,3735 MR,1577,1023,2,2,0,0,0,858,169,0,0,0,0,0,0,1027,166,440,29,99,39,53,77,22,98
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Kinderdagverblijf Kind  & Co,0355::SB25,3734 CS,1680,1053,1,1,0,2,0,913,144,0,0,0,0,0,0,1057,195,349,57,115,76,62,40,36,123
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Brede School De Schilden,0355::SB26,3734 VH,1977,1028,7,2,0,2,0,929,110,0,0,0,2,0,0,1039,134,319,88,70,97,85,22,93,120
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau Roomskatholieke Kerk,0355::SB27,3711 AE,1209,732,2,0,0,0,0,680,54,0,0,0,0,0,0,734,108,151,125,82,61,71,20,37,77
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau gebouw Het Lichtpunt,0355::SB28,3707 BM,1450,1045,2,3,0,2,0,926,126,0,0,0,0,0,0,1052,178,280,64,129,90,121,74,44,65
,Zeist,GR2014_Zeist,Gemeenteraad Zeist 2014,0355,Zeist,2014-03-19,Stembureau het Gemeentehuis,0355::SB29,3701 HS,1070,760,0,1,0,0,0,686,75,0,0,0,0,0,0,761,140,204,42,93,86,75,48,27,45
