contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),GROENLINKS,Gemeentebelangen,Partij Renkumse Dorpen John Bartels,Renkum Zelfstandig en Sociaal
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Gemeentehuis,0274::SB1,6861 GG,1780,1666,5,3,0,2,0,1499,173,0,0,2,0,0,0,1672,258,162,154,469,221,217,43,142
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Openbare Basisschool De Marlijn,0274::SB2,6862 XH,1949,1210,4,5,3,0,0,1100,116,0,0,3,0,0,0,1216,230,116,107,360,167,151,18,61
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Verpleeghuis De Molenberg,0274::SB3,6862 EZ,1836,1170,5,2,0,1,0,1073,105,0,0,0,1,0,0,1178,174,143,139,303,151,134,23,103
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Verzorgingshuis Overdal,0274::SB4,6861 ZW,1667,983,2,1,0,0,0,898,88,0,0,0,0,0,0,986,158,113,128,192,163,134,28,67
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Parkflat De Valkenburcht,0274::SB5,6861 AJ,1748,860,1,5,0,0,0,789,79,0,2,0,2,0,0,868,243,86,98,207,72,57,23,74
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Ontmoetingskerk,0274::SB6,6865 WC,1572,838,1,2,0,0,0,785,56,0,0,0,0,0,0,841,101,96,97,157,78,162,89,58
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Dorpshuis Poort van Doorwerth,0274::SB7,6865 GB,1690,1236,2,7,1,2,0,1149,97,0,0,0,1,0,0,1246,249,96,128,244,107,234,76,102
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Sporthal Doorwerth,0274::SB8,6865 CZ,1431,691,4,1,0,0,0,642,54,0,0,0,0,0,0,696,164,37,84,191,52,112,23,28
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Het Schild,0274::SB9,6874 AD,1454,821,3,1,0,2,0,756,71,0,0,0,2,0,0,827,158,93,110,184,80,76,90,30
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Serviceflat De Koningshof,0274::SB10,6866 CM,1772,1092,4,4,0,0,0,1009,91,0,0,0,0,0,0,1100,201,74,194,216,127,136,84,60
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Buurtcentrum De Hucht,0274::SB11,6866 EB,2131,1020,2,2,0,1,0,934,91,0,0,0,1,0,0,1025,69,140,147,184,106,201,100,73
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Cultureel Centrum De Rijnkom,0274::SB12,6871 JK,1889,1117,0,4,0,0,0,1018,103,0,0,0,0,0,0,1121,103,145,159,203,136,181,122,68
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau voormalige Ursulaschool,0274::SB13,6871 DD,2120,978,0,1,0,0,0,898,81,0,0,0,0,0,0,979,110,107,123,155,123,169,138,53
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Le Maitrehof,0274::SB14,6871 ZA,2404,1247,7,2,0,0,0,1143,113,0,0,0,0,0,0,1256,120,169,138,216,152,206,197,49
,Renkum,GR2014_Renkum,Gemeenteraad Renkum 2014,0274,Renkum,2014-03-19,Stembureau Mobiel stembureau,0274::SB15,,2,231,2,0,0,0,0,219,14,0,0,0,0,0,0,233,16,33,92,30,17,21,15,7
