contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,P.C.W. (Protestantse Comb. W'veen),VVD,CDA,PvdA/GROENLINKS,Democraten 66 (D66),Weerbaar Waddinxveen
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Gemeentehuis,0627::SB1,2741 HR,914,751,3,2,0,0,0,674,82,0,0,0,0,0,0,756,196,186,104,57,112,96
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Wijkgebouw Zonnig Zuid,0627::SB2,2741 JR,1483,682,7,8,0,1,0,620,76,0,0,0,0,0,0,696,208,106,78,75,115,100
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau 't Kruispunt,0627::SB3,2741 HS,1116,638,0,6,0,0,0,597,47,0,0,0,0,0,0,644,184,100,97,43,126,88
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau NH Kerkgebouw De Hoeksteen,0627::SB4,2742 XG,1334,724,7,2,0,1,0,644,88,0,0,0,0,0,0,732,327,79,85,71,62,100
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Zorgcentrum Souburgh,0627::SB5,2741 DW,1427,750,6,2,0,0,0,685,73,0,0,0,0,0,0,758,297,68,137,66,69,113
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Bethelkerk,0627::SB6,2741 AP,1409,763,2,3,0,0,0,685,83,0,0,0,0,0,0,768,242,81,114,98,134,94
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau De Regenboogschool,0627::SB7,2741 XL,1497,746,0,2,0,0,0,682,66,0,0,0,0,0,0,748,247,83,105,96,98,117
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Anne Frankcentrum,0627::SB8,2741 DS,1406,786,2,3,0,0,0,702,89,0,0,0,0,0,0,791,232,102,114,115,118,105
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau De Ontmoetingskerk,0627::SB9,2742 DJ,1553,971,9,2,0,1,0,875,106,0,0,0,0,0,0,981,309,150,163,92,128,129
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau De Groenswaard,0627::SB10,2742 SK,1371,815,3,2,0,1,0,731,88,0,0,0,0,0,0,819,277,113,104,115,102,104
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Dick Brunaschool,0627::SB11,2743 GC,1420,830,12,3,0,0,0,763,82,0,0,0,0,0,0,845,174,135,107,93,170,151
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Wijkgebouw Zuidhonk A,0627::SB12,2743 KD,1486,774,6,1,0,0,0,714,67,0,0,0,0,0,0,781,139,148,109,79,168,131
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau Wijkgebouw Zuidhonk B,0627::SB13,2743 KD,1428,594,3,4,0,0,0,543,58,0,0,0,0,0,0,601,95,101,90,89,122,97
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,Stembureau De Morgensterkerk,0627::SB14,2743 LW,1411,1057,6,1,0,0,0,955,109,0,0,0,0,0,0,1064,305,253,157,85,157,100
,Waddinxveen,GR2014_Waddinxveen,Gemeenteraad Waddinxveen 2014,0627,Waddinxveen,2014-03-19,"Stembureau Speeltuin ""De Overkant""",0627::SB15,2741 KP,790,377,3,1,0,0,0,329,52,0,0,0,0,0,0,381,100,66,46,39,80,46
