contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,DUS! GroenLinks en D66,Gemeentebelangen,CDA,Partij van de Arbeid (P.v.d.A.),Ons Uithoorn,Groen Uithoorn
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Gemeentehuis,0451::SB1,1423 AJ,1378,1153,6,5,0,0,0,1060,104,0,0,0,0,0,0,1164,270,218,228,126,112,125,74
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau De Springschans,0451::SB2,1423 ET,1405,764,4,4,0,0,0,681,91,0,0,0,0,0,0,772,211,143,150,70,48,95,47
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Lijn 5 N-H Train.center,0451::SB3,1423 SB,1975,942,0,0,0,0,0,847,95,0,0,0,0,0,0,942,312,172,161,95,51,98,53
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Dorpshuis de Quakel,0451::SB4,1424 BK,1622,869,4,3,0,0,0,787,89,0,0,0,0,0,0,876,178,83,283,188,36,70,31
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau R.K. Basisschool De Zon,0451::SB5,1424 AM,1516,777,3,5,0,0,0,706,79,0,0,0,0,0,0,785,141,78,319,147,20,55,17
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Buurthuis Ponderosa,0451::SB6,1421 XM,1681,664,3,5,0,0,0,613,59,0,0,0,0,0,0,672,95,91,122,99,70,109,78
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau De Regenboog,0451::SB7,1421 VS,1629,722,3,8,0,0,0,659,74,0,0,0,0,0,0,733,95,153,131,106,53,124,60
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Wijksteunpunt,0451::SB8,1422 DT,1493,906,5,2,0,0,0,831,82,0,0,0,0,0,0,913,169,171,141,154,93,126,52
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Het Hoge Heem,0451::SB9,1422 CB,1380,814,5,1,0,0,0,743,77,0,0,0,0,0,0,820,179,165,125,140,74,84,47
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Sportkant. De Scheg,0451::SB10,1422 LE,1396,670,5,5,1,0,1,623,57,0,0,0,1,0,0,681,87,152,100,54,91,146,40
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Evang. Chr.Gem.,0451::SB11,1422 JP,1500,640,4,0,0,0,0,596,49,0,1,0,1,0,0,645,134,148,66,82,64,105,41
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau KnA-gebouw (muziek ver),0451::SB12,1422 RG,1613,885,3,4,2,0,0,797,97,0,0,0,2,0,0,894,248,143,110,84,84,143,73
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Alkwin Kollege,0451::SB13,1422 MT,1663,805,6,6,0,0,0,721,96,0,0,0,0,0,0,817,240,133,118,101,63,106,44
,Uithoorn,GR2014_Uithoorn,Gemeenteraad Uithoorn 2014,0451,Uithoorn,2014-03-19,Stembureau Kantine De Brede School,0451::SB14,1422 WX,1782,717,1,4,0,0,0,626,96,0,0,0,0,0,0,722,286,119,92,65,43,87,25
