contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Veldhoven Samen Anders (VSA),VVD,Gemeente Belangen Veldhoven (G.B.V.),CDA,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),Samenwerkend Veldhoven
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Gemeentehuis,0861::SB1,5501 KA,1991,1096,6,4,0,0,0,1006,100,0,0,0,0,0,0,1106,246,137,281,153,104,116,59
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Wijkgebouw D'n Uitwijk,0861::SB2,5501 HP,1727,845,5,4,0,0,0,782,72,0,0,0,0,0,0,854,205,103,189,108,97,111,32
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Wijkvoorziening De Ligt,0861::SB3,5503 CA,2030,1277,7,5,0,0,0,1180,109,0,0,0,0,0,0,1289,258,183,315,249,82,124,66
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Kantine voetbalvereniging UNA,0861::SB4,5502 ED,2081,765,8,5,0,0,0,713,65,0,0,0,0,0,0,778,163,91,209,139,58,66,39
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Woonzorgcentrum Sele,0861::SB5,5502 NC,2048,1135,8,5,0,0,0,1007,141,0,0,0,0,0,0,1148,197,172,305,218,78,133,32
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Gebouw d'Ouw School,0861::SB6,5507 LC,1884,954,4,3,0,0,0,870,91,0,0,0,0,0,0,961,242,180,89,136,44,65,198
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Clubgebouw Sentrum '70,0861::SB7,5503 VE,2532,728,8,0,0,0,0,689,47,0,0,0,0,0,0,736,171,82,182,112,77,63,41
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau RSZK Merefelt,0861::SB8,5504 GB,1776,866,9,5,0,0,0,808,72,0,0,0,0,0,0,880,178,125,194,175,81,67,46
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Gemeenschapshuis d'n Bond,0861::SB9,5504 BN,2016,1131,5,2,0,0,0,1031,107,0,0,0,0,0,0,1138,286,269,216,147,68,94,51
,Veldhoven,GR2014_Veldhoven,Gemeenteraad Veldhoven 2014,0861,Veldhoven,2014-03-19,Stembureau Gebouw Libra 2,0861::SB10,5505 VK,2487,1039,16,2,0,0,0,970,87,0,0,0,0,0,0,1057,243,118,247,145,131,80,75
