contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Burger Partij Amersfoort (BPA),VVD,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,CDA,ChristenUnie,SP (Socialistische Partij),Amersfoort Anders,Amersfoort 2014,OPA,Belangen Gemeenschap (BGA)
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau oude stadhuis,0307::SB1,,975,985,4,1,0,0,0,918,72,0,0,0,0,0,0,990,55,100,130,237,146,57,76,124,22,21,9,8
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Ichthuskerk,0307::SB2,,1160,515,5,3,1,0,0,476,48,0,0,0,1,0,0,524,41,60,51,126,61,61,35,44,16,12,8,0
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau de Gerfkamer,0307::SB3,,1250,805,1,2,0,0,0,744,64,0,0,0,0,0,0,808,57,102,74,252,109,38,49,71,24,25,2,2
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Armen de Poth,0307::SB4,,1303,662,1,1,0,0,0,623,41,0,0,0,0,0,0,664,44,70,57,152,92,32,44,94,29,27,16,5
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau schoolgebouw de Vlindervallei,0307::SB5,,1427,893,3,1,0,0,0,771,126,0,0,0,0,0,0,897,44,63,206,143,79,51,81,93,22,20,11,80
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Adventkerk,0307::SB6,,1607,607,0,0,0,0,0,531,76,0,0,0,0,0,0,607,35,38,129,99,51,44,56,75,8,17,19,36
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau verpleeghuis St. Elisabeth,0307::SB7,,1561,735,1,7,0,0,0,662,82,1,0,0,1,0,0,744,46,52,186,111,32,52,53,105,10,24,18,46
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau schoolgebouw de Tinne,0307::SB8,,1256,605,0,7,0,0,0,532,80,0,0,0,0,0,0,612,29,49,138,77,22,51,71,77,10,13,12,56
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau de Bron I,0307::SB9,,1418,666,2,3,0,0,0,605,66,0,0,0,0,0,0,671,55,50,112,78,25,46,104,108,17,30,14,27
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau de Bron II,0307::SB10,,1298,580,2,5,0,0,0,552,35,0,0,0,0,0,0,587,33,41,107,87,34,49,66,79,13,31,15,25
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau woon- en zorgcenrum de Liendert,0307::SB11,,1462,665,3,5,0,0,0,598,75,0,0,0,0,0,0,673,47,43,119,90,32,66,66,74,20,18,34,56
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau sporthal Rustenburg,0307::SB12,,1158,549,2,5,0,0,0,492,64,0,0,0,0,0,0,556,59,42,81,73,23,32,49,99,19,28,22,22
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Burgemeester Molendijkflat,0307::SB13,,1325,891,4,1,0,0,0,816,81,0,1,0,1,0,0,897,80,109,70,117,36,114,167,95,22,45,36,0
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau sporthal Schuilenburg,0307::SB14,,923,426,2,2,0,0,0,366,64,0,0,0,0,0,0,430,12,18,125,61,17,26,44,56,7,7,9,44
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau ABC school het Scala,0307::SB15,,1316,635,2,4,0,0,0,573,68,0,0,0,0,0,0,641,30,29,161,82,38,42,72,69,10,15,15,72
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau de Schuilenburght,0307::SB16,,919,616,2,0,0,0,0,574,44,0,0,0,0,0,0,618,30,122,38,104,35,109,94,29,9,13,29,4
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau prins Willem III-flat,0307::SB17,,1538,782,0,1,1,0,0,723,61,0,0,0,1,0,0,784,50,63,90,134,82,45,75,137,21,24,30,31
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau kerkgebouw de Kandelaar,0307::SB18,,1144,644,0,1,0,0,0,583,62,0,0,0,0,0,0,645,28,59,61,144,69,47,144,40,7,28,14,3
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau woon- en zorgcentrum Nijenstede,0307::SB19,,1545,785,4,4,0,0,0,735,58,0,0,0,0,0,0,793,42,57,99,137,69,92,124,100,15,14,18,18
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau wijkcentrum het Klokhuis,0307::SB20,,1357,746,2,3,0,0,0,674,79,0,2,0,2,0,0,753,58,36,118,82,52,63,115,118,18,32,19,35
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau sportfondsenbad,0307::SB21,,1615,992,0,0,0,0,0,890,102,0,0,0,0,0,0,992,58,82,107,300,171,50,69,85,17,35,18,0
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau schoolgebouw Guido de Brès,0307::SB22,,1502,1096,5,2,0,0,0,978,125,0,0,0,0,0,0,1103,50,96,120,320,164,79,98,113,8,30,8,10
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Burg. van Randwijckhuis,0307::SB23,,1546,828,2,5,0,0,0,742,93,0,0,0,0,0,0,835,46,82,109,173,50,78,119,87,15,17,25,27
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau seniorenflat Otto Scheltus,0307::SB24,,1083,527,0,3,0,0,0,478,52,0,0,0,0,0,0,530,36,87,49,132,48,43,39,59,11,16,4,3
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Martuskerk,0307::SB25,,1595,895,2,8,0,0,0,813,92,0,0,0,0,0,0,905,53,62,95,204,124,47,110,115,20,29,28,8
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau woon- en zorgcentrum de Amerhorst,0307::SB26,,1407,888,1,2,0,0,0,791,100,0,0,0,0,0,0,891,39,66,112,174,91,87,153,86,22,26,16,16
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau Fonteinkerk,0307::SB27,,1379,856,1,1,0,0,0,774,85,0,1,0,1,0,0,859,34,121,65,223,93,94,120,54,11,32,6,3
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau sporthal Juliana van Stolberg,0307::SB28,,1451,923,2,1,0,0,0,850,76,0,0,0,0,0,0,926,37,80,92,229,103,62,70,164,28,22,27,9
,Amersfoort,GR2014_Amersfoort,Gemeenteraad Amersfoort 2014,0307,Amersfoort,2014-03-19,Stembureau St. Ansfriduskerk,0307::SB29,,1303,850,9,2,0,0,0,770,91,0,0,0,0,0,0,861,36,108,77,267,114,66,58,84,12,10,16,2
