contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,B06-L2000,Lokaal Belang Lingewaard,CDA,lingewaard.NU,VVD,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),GROENLINKS,SP (Socialistische Partij)
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Cultureel Centrum de Kinkel,1705::SB9,6681 AK,1778,1550,10,2,0,0,0,1410,152,0,0,0,0,0,0,1562,129,163,244,82,258,205,97,118,254
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Dorpshuis Angeren,1705::SB10,6687 BP,1214,878,8,1,0,0,0,788,99,0,0,0,0,0,0,887,71,175,247,113,81,72,21,25,73
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Zorgcentra Betuweland loc.Liduina,1705::SB11,6681 WP,1654,820,4,1,0,0,0,732,93,0,0,0,0,0,0,825,90,72,185,35,75,114,57,60,132
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Zorgcentra Betuweland  Sancta Maria,1705::SB12,6851 CC,2064,935,8,3,0,0,0,860,86,0,0,0,0,0,0,946,182,148,104,166,57,99,41,47,91
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau De Valom,1705::SB13,6851 DH,2289,925,1,2,0,0,0,817,111,0,0,0,0,0,0,928,148,166,100,226,91,97,28,10,59
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau De Valom 2,1705::SB14,6851 DH,1706,1259,1,2,0,0,0,1114,148,0,0,0,0,0,0,1262,196,214,130,323,149,87,46,30,84
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Voormalige raadzaal,1705::SB15,6851 BM,1766,752,4,3,0,0,0,671,88,0,0,0,0,0,0,759,165,130,44,149,55,73,38,24,74
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Basisschool De Abacus,1705::SB16,6851 LT,1906,1204,9,0,0,0,0,1070,143,0,0,0,0,0,0,1213,219,142,90,189,95,136,100,87,146
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Sociaal Cultureel Centrum,1705::SB17,6852 EE,1685,1231,2,7,0,0,0,1128,112,0,0,0,0,0,0,1240,217,138,72,168,124,157,91,79,185
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Sociaal Cultureel Centrum 2,1705::SB18,6852 EE,3110,1517,5,4,0,0,0,1364,162,0,0,0,0,0,0,1526,272,175,100,213,129,222,126,79,201
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Ontmoetingscentrum Doornenburg,1705::SB20,6686 BS,1206,711,5,1,0,0,0,629,88,0,0,0,0,0,0,717,32,368,61,33,58,29,16,32,82
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Cultureel centrum de Kinkel 2,1705::SB21,6681 AK,3046,1212,6,2,0,0,0,1088,132,0,0,0,0,0,0,1220,89,135,188,71,184,162,78,83,222
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Dorpshuis de Tichel,1705::SB23,6685 BC,2535,752,10,0,0,0,0,678,84,0,0,0,0,0,0,762,85,73,102,69,106,108,32,41,136
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Herberg de Ploeg,1705::SB24,6687 AN,1010,372,6,1,0,0,0,340,39,0,0,0,0,0,0,379,63,54,95,65,18,21,8,11,37
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Ontmoetingscentrum Doornenburg 2,1705::SB25,6686 BS,956,534,3,0,0,0,0,482,55,0,0,0,0,0,0,537,26,290,51,26,35,27,13,20,46
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau OBC Bemmel locatie Essenpas,1705::SB26,6681 CX,991,604,1,0,0,0,0,533,72,0,0,0,0,0,0,605,44,82,81,33,81,93,44,42,104
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Zorgcentra Betuweland loc.Liduina 2,1705::SB27,6681 WP,1203,718,4,1,0,0,0,630,93,0,0,0,0,0,0,723,70,75,125,57,79,102,44,36,130
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau De Leemhof,1705::SB28,6691 AV,1099,671,3,0,0,0,0,594,80,0,0,0,0,0,0,674,41,167,127,52,77,34,21,35,117
,Lingewaard,GR2014_Lingewaard,Gemeenteraad Lingewaard 2014,1705,Lingewaard,2014-03-19,Stembureau Café / Zaal De Klok,1705::SB29,6691 BK,1012,421,4,1,0,0,0,378,48,0,0,0,0,0,0,426,50,118,53,33,32,24,24,4,83
