contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,GROENLINKS,Democraten 66 (D66),SP (Socialistische Partij),RED AMSTERDAM,CDA,Partij voor de Dieren,TROTS,10,Piratenpartij,De Groenen,Ouderen Partij Amsterdam (OPA),Amsterdam Sociaal,ChristenUnie,LEEFBAAR AMSTERDAM,De Republikeinse Politieke Partij,Partij Voor Vrije Amsterdammers (PVVA),Radicale Oppositie Beweging (R.O.B.),Nieuwe Amsterdamse Toekomst (NAT),OMA Amsterdam,Multicultureel Plus Partij (M+),Basis Inkomen Partij (BIP),Visie Op Amsterdam (Lijst Ina Brouwer),Partij van de Eenheid,Partij van de Ouderen (P.v.d.O.),Libertarische Partij (LP)
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Stadhuis,0363::SB1,,747,848,2,7,0,0,0,800,61,0,0,0,4,0,0,861,158,85,102,250,124,25,12,26,2,0,15,2,5,1,3,1,0,5,3,6,3,0,1,2,2,9,6
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Stadhuis,0363::SB2,,789,744,2,3,0,0,0,696,65,0,0,0,12,0,0,761,130,71,117,197,118,12,8,27,2,0,16,2,13,1,2,2,0,2,6,7,0,1,1,2,2,3,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Universiteitsbibliotheek Amsterdam,0363::SB3,,1133,850,4,5,3,0,0,808,54,0,0,0,3,0,0,862,99,108,96,324,64,12,22,25,2,0,13,3,6,1,12,2,0,6,1,34,1,3,1,3,2,7,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Leger des Heils,0363::SB4,,1072,560,2,6,0,2,0,542,29,0,0,0,2,0,0,571,80,57,81,194,56,12,14,7,2,0,9,1,8,2,13,6,0,7,0,2,2,0,1,1,0,4,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Keyzer,0363::SB5,,1095,823,6,8,0,0,0,756,67,0,0,14,0,14,0,823,177,55,128,209,132,10,6,17,1,0,8,8,5,2,8,4,1,13,2,0,1,6,3,1,15,7,4
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau School De Witte Olifant,0363::SB6,,1094,990,8,3,0,0,0,930,66,0,0,0,0,0,0,996,176,80,184,284,129,9,16,34,2,0,14,6,5,5,3,3,1,6,5,8,0,1,2,2,3,10,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Gemeente Amsterdam,0363::SB7,,975,503,0,2,0,1,0,477,27,0,0,1,0,0,0,504,83,59,57,140,83,9,9,15,0,0,12,1,5,0,3,2,0,5,1,3,1,1,1,3,0,7,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Gymlokaal,0363::SB8,,1047,663,2,1,0,0,0,662,42,0,0,38,0,0,0,704,123,43,99,186,99,12,14,15,0,0,12,10,4,1,5,4,0,2,1,9,3,1,0,9,0,11,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Gymlokaal,0363::SB9,,1171,640,2,4,3,0,0,599,40,0,0,2,0,0,0,639,113,45,95,192,92,23,6,19,0,0,9,2,9,1,2,2,0,0,1,2,1,1,0,2,0,23,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Burghtschool,0363::SB10,,1016,534,6,3,7,0,0,483,53,0,0,7,0,0,0,536,62,121,52,199,41,9,8,12,2,0,7,1,3,1,1,2,0,4,1,2,0,0,1,3,0,2,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Burghtschool,0363::SB11,,928,556,0,5,0,0,0,516,45,0,0,0,0,0,0,561,71,107,68,213,32,11,20,16,1,0,4,1,2,0,1,3,0,0,2,1,2,0,0,0,0,1,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Theo Thijssenschool,0363::SB12,,1104,757,7,8,0,0,0,730,47,0,0,0,5,0,0,777,128,55,106,188,141,17,17,35,3,2,7,7,2,2,4,11,0,3,15,3,1,0,1,2,0,4,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Korfbalvereniging Swift,0363::SB13,,1059,618,1,6,0,1,0,580,44,0,0,1,0,0,0,624,107,69,81,208,71,14,13,10,2,2,2,5,8,0,4,1,0,1,3,2,0,1,0,2,2,8,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Korfbalvereniging Swift,0363::SB14,,1078,615,2,0,0,0,0,583,36,0,0,0,2,0,0,619,120,66,73,189,60,16,15,23,1,0,6,5,10,0,4,2,0,1,1,4,2,0,2,3,0,11,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Dependance Theo Thijssen,0363::SB15,,1160,511,0,6,0,0,0,495,23,0,1,0,1,0,0,518,88,50,68,144,71,17,4,15,2,0,9,3,4,0,3,10,1,5,2,2,1,0,4,2,0,5,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Dependance Theo Thijssen,0363::SB16,,1145,520,3,4,0,2,0,498,27,0,0,2,0,0,0,525,90,52,55,150,61,9,9,21,3,0,8,9,10,2,4,6,2,10,1,1,2,0,2,1,2,9,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau School St Aloysius,0363::SB17,,1200,772,3,5,0,0,0,729,51,0,0,0,0,0,0,780,115,97,79,215,114,25,14,30,2,4,13,7,5,4,4,10,0,8,2,5,3,0,2,2,1,8,3
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Artis Aquarium,0363::SB18,,0,269,0,0,0,0,0,258,11,0,0,0,0,0,0,269,46,17,54,74,32,4,5,12,1,0,8,0,2,0,2,2,0,2,2,3,1,0,1,0,0,1,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Openbare Bibliotheek Amsterdam,0363::SB19,,996,279,2,1,0,0,0,261,26,0,5,0,5,0,0,287,52,28,52,73,35,5,4,12,1,1,3,1,0,0,3,0,0,3,0,3,0,0,0,0,1,1,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Openbare Bibliotheek Amsterdam,0363::SB20,,0,238,1,1,0,0,0,226,14,0,0,0,0,0,0,240,40,26,36,73,23,5,3,5,0,0,3,5,5,0,1,1,0,0,1,4,0,4,0,0,0,2,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Balie,0363::SB21,,924,614,3,3,0,0,0,571,51,0,1,0,1,0,0,622,84,99,66,239,41,20,17,8,0,0,14,2,5,1,2,3,0,0,0,4,0,1,2,3,2,0,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau De Balie,0363::SB22,,982,425,1,3,0,0,0,400,31,0,2,0,2,0,0,431,67,77,39,157,30,4,8,17,1,0,8,1,2,1,1,0,0,3,0,2,2,0,0,2,0,2,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Pand,0363::SB23,,779,383,1,5,0,1,0,343,45,0,0,1,0,0,0,388,62,73,26,152,27,7,9,7,3,0,5,1,1,1,2,0,0,0,0,1,0,0,0,0,0,4,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Het Claverhuis,0363::SB24,,1119,973,7,6,0,0,0,899,89,2,0,0,2,0,0,988,175,125,105,292,118,24,20,19,2,0,15,5,7,1,4,21,1,9,6,6,0,3,2,2,0,9,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau 14e Montessorischool De Jordaan,0363::SB25,,873,688,6,7,0,0,0,650,52,0,1,0,1,0,0,702,94,109,101,221,79,10,5,23,3,0,11,4,4,1,2,7,0,3,3,0,0,1,0,4,0,1,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Kerk De Duif,0363::SB26,,1116,888,2,3,0,6,0,812,75,0,0,6,0,0,0,887,148,156,98,332,53,19,25,16,3,1,19,3,3,0,0,0,0,3,1,0,0,0,0,4,0,2,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Kerk De Duif,0363::SB27,,1106,777,0,6,1,0,0,697,85,0,0,1,0,0,0,782,110,148,71,331,31,18,24,18,0,0,5,0,5,0,5,1,0,3,0,2,0,0,1,0,0,3,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Na School,0363::SB28,,798,386,1,0,0,1,0,354,34,0,0,0,1,0,0,388,54,44,57,121,45,15,6,7,2,0,11,2,5,0,0,5,0,6,1,2,0,0,1,1,0,1,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Posthoornkerk,0363::SB29,,1155,727,8,6,14,0,0,705,50,0,0,0,14,0,0,755,116,70,90,240,105,14,12,25,1,0,11,7,5,0,4,3,0,3,2,5,3,0,0,1,0,10,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Posthoornkerk,0363::SB30,,1160,837,2,3,0,0,0,788,60,0,0,0,6,0,0,848,121,85,116,255,118,14,35,34,1,0,12,6,7,1,3,3,0,6,5,5,1,0,2,0,1,5,1
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Woonzorgcentrum Groenhof,0363::SB31,,790,282,1,2,0,0,0,266,19,0,0,0,0,0,0,285,28,31,30,85,55,3,8,10,0,0,5,5,0,3,0,3,0,2,1,2,1,0,0,0,1,9,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau School De Eilanden,0363::SB32,,892,546,2,4,2,0,0,507,43,0,0,2,0,0,0,550,93,41,78,145,84,16,8,19,4,0,14,4,7,3,1,2,0,6,2,2,1,1,1,5,4,3,2
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau School De Eilanden,0363::SB33,,952,568,1,5,0,0,0,532,46,0,0,0,4,0,0,578,81,46,97,161,100,11,7,13,1,2,10,4,7,1,6,5,0,5,1,1,1,1,2,0,2,3,0
,Amsterdam,GR2014_Amsterdam,Gemeenteraad Amsterdam 2014,0363,Amsterdam,2014-03-19,Stembureau Zorgcentrum Sint Jacob,0363::SB34,,1080,608,7,2,0,4,0,579,34,0,0,4,0,0,0,613,109,57,71,171,101,17,13,19,0,0,7,1,11,1,3,2,0,5,3,4,2,0,0,1,0,8,2
