contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,W70 Nuenen Gerwen Nederwetten Eeneind,Combinatie Nuenen c.a.,Partij van de Arbeid (P.v.d.A.),CDA,VVD,Democraten 66 (D66),Nuenens Belang,Lijst Pijs,SP (Socialistische Partij),GROENLINKS
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Het Klooster Raadzaal,0820::SB1,5671 GA,1288,890,27,4,0,0,0,851,70,0,0,0,0,0,0,921,192,41,74,88,117,85,51,57,104,81
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Zorgcentrum De Akkers,0820::SB2,5671 CW,1166,712,16,8,0,0,0,685,51,0,0,0,0,0,0,736,147,27,59,109,71,81,28,46,104,40
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau BS De Dassenburcht,0820::SB3,5671 VP,1439,934,26,2,0,0,0,814,148,0,0,0,0,0,0,962,230,26,81,108,96,123,31,59,96,84
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau BS De Nieuwe Linde,0820::SB4,5673 PE,1567,862,12,5,0,0,0,802,77,0,0,0,0,0,0,879,180,29,78,74,85,119,49,51,142,55
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Openbare Basisschool De Rietpluim,0820::SB5,5673 AP,1369,918,16,5,0,0,0,862,77,0,0,0,0,0,0,939,154,39,75,87,151,140,47,61,97,67
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Brede School De Wentelwiek,0820::SB6,5672 HZ,1284,785,10,4,0,0,0,702,97,0,0,0,0,0,0,799,141,35,78,71,99,106,30,46,126,53
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau PCN locatie Wederikdreef,0820::SB7,5672 BS,1222,665,11,3,0,0,0,620,59,0,0,0,0,0,0,679,136,25,54,60,67,81,27,51,104,60
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Wijkcentrum Scarabee,0820::SB8,5672 EA,914,522,5,3,0,0,0,484,46,0,0,0,0,0,0,530,68,18,55,50,48,83,30,50,81,39
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Gasterij Jo van Dijkhof,0820::SB9,5672 DA,1173,739,11,1,0,0,0,685,66,0,0,0,0,0,0,751,143,30,62,67,76,99,34,57,119,52
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Locatie Nuenen Zuid,0820::SB10,5672 ST,1358,777,14,2,0,0,0,715,78,0,0,0,0,0,0,793,140,36,107,76,99,107,38,27,84,63
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Dorpshuis De Koppelaar,0820::SB11,5674 NA,693,430,39,2,0,0,0,429,42,0,0,0,0,0,0,471,75,93,25,57,23,32,38,6,37,44
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Gemeenschapsh. D'n Heuvel,0820::SB12,5674 RR,1606,928,25,8,0,0,0,861,105,0,0,0,5,0,0,966,165,283,34,87,49,83,34,62,72,59
,"Nuenen, Gerwen en Nederwetten",GR2014_NuenenGerwenenNederwetten,"Gemeenteraad Nuenen, Gerwen en Nederwetten 2014",0820,"Nuenen, Gerwen en Nederwetten",2014-03-19,Stembureau Gemeenschaphuis Enode,0820::SB13,5674 TN,601,340,3,2,0,0,0,323,22,0,0,0,0,0,0,345,81,9,20,29,37,40,56,24,29,15
