contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,GROENLINKS,Gemeentebelang,CDA,Deventer Belang,SP (Socialistische Partij),ChristenUnie,Basis Inkomen Partij ( BIP),DeventerNu,Partij van de Rede - ASP,Jij Bent Deventer
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Het Stadhuis,0150::SB1,,1708,1152,0,0,0,0,0,1076,76,0,0,0,0,0,0,1152,179,259,156,129,91,44,37,119,45,6,22,7,58
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Groote-en Voorster Gasthuis,0150::SB2,,2045,1171,5,8,0,0,0,1086,98,0,0,0,0,0,0,1184,186,236,134,138,90,99,39,111,37,6,22,13,60
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Biljartcentrum De Dam,0150::SB3,,1410,1001,6,1,0,0,0,926,83,0,1,0,1,0,0,1009,180,195,142,113,82,67,23,64,41,2,9,8,75
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Buurthuis 't Hovenhuus,0150::SB4,,1787,1044,3,0,0,0,0,957,91,0,0,0,1,0,0,1048,156,160,94,165,105,73,44,128,44,13,19,4,39
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Basisschool Adwaita,0150::SB11,,1589,793,2,6,0,0,0,734,67,0,0,0,0,0,0,801,122,137,80,78,73,57,38,109,46,5,24,10,14
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Speeltuinvereniging De IJssel,0150::SB12,,1677,795,7,4,0,0,0,747,59,0,0,0,0,0,0,806,165,97,42,121,63,50,25,140,37,4,24,8,19
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Partycentrum De Horst,0150::SB13,,1905,1215,8,8,0,0,0,1134,97,0,0,0,0,0,0,1231,215,226,113,193,94,74,50,127,50,3,34,8,28
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Cees Wilkeshuisschool,0150::SB14,,2078,1058,4,1,0,0,0,960,103,0,0,0,0,0,0,1063,197,112,83,98,114,87,52,185,54,7,39,6,24
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Woon- en zorgcentrum St.Jurriën,0150::SB16,,1789,745,2,5,0,0,0,714,38,0,0,0,0,0,0,752,152,87,63,48,77,57,36,105,41,8,40,10,21
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Woon- en zorgcentrum Corel,0150::SB18,,845,361,2,0,0,0,0,340,23,0,0,0,0,0,0,363,40,44,45,28,48,41,28,48,14,4,12,4,5
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Het Enkhuis,0150::SB20,,1722,706,1,8,1,0,0,614,100,0,0,1,0,0,0,714,203,90,51,109,26,25,46,102,21,6,15,3,9
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau De Bolster,0150::SB21,,1569,713,0,0,0,0,0,645,68,0,0,0,0,0,0,713,112,113,82,116,61,55,37,74,23,9,13,5,13
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Basisschool Het Mozaiek,0150::SB23,,1749,1015,2,5,0,0,0,930,92,0,0,0,0,0,0,1022,255,162,59,164,47,49,58,127,35,7,14,11,27
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Speeltuin De Driehoek,0150::SB25,,1745,745,4,2,0,0,0,683,68,0,0,0,0,0,0,751,127,76,57,132,57,40,34,126,49,10,17,4,16
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Basisschool De Kleine Planeet,0150::SB26,,1157,434,5,3,0,0,0,393,49,0,0,0,0,0,0,442,101,55,48,43,34,16,29,56,29,6,11,1,5
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Woon- en zorgcentrum De Bloemendal,0150::SB30,,1426,745,1,3,0,0,0,698,51,0,0,0,0,0,0,749,138,72,68,45,85,90,44,131,25,4,23,4,16
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Thomas Wildey,0150::SB31,,1187,662,0,3,0,0,0,608,57,0,0,0,0,0,0,665,137,78,50,47,89,46,46,106,22,4,17,3,17
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Borgloschool Groenewold,0150::SB32,,1317,678,4,2,0,0,0,640,44,0,0,0,0,0,0,684,124,76,55,36,91,58,40,124,37,9,16,5,7
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Bejaardencentrum Ludgerus,0150::SB40,,1994,856,2,7,0,2,0,795,68,0,0,2,0,0,0,863,168,98,61,49,112,113,64,84,43,8,37,1,18
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau Woon- en zorgcentrum Humanitas,0150::SB42,,1211,570,1,8,0,0,0,531,48,0,0,0,0,0,0,579,139,37,36,49,47,63,60,68,34,9,15,6,7
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau De Kroon,0150::SB43,,1676,653,5,3,0,0,0,607,54,0,0,0,0,0,0,661,138,62,42,39,77,33,38,108,59,8,24,6,19
,Deventer,GR2014_Deventer,Gemeenteraad Deventer 2014,0150,Deventer,2014-03-19,Stembureau De Finse Hof,0150::SB45,,1726,728,3,13,0,2,0,659,83,0,0,2,0,0,0,742,167,88,32,46,56,51,66,130,27,15,28,6,16
