contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Samen voor Kaag & Braassem,CDA,VVD,Democraten 66 (D66),PRO Kaag en Braassem
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Arendshorst,1884::SB1,2371 CG,1962,1291,13,7,0,0,0,1182,130,0,1,0,1,0,0,1312,338,208,233,256,256
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Bonaventuracollege,1884::SB2,2371 VJ,1698,1037,6,8,0,0,0,954,97,0,0,0,0,0,0,1051,222,150,174,243,248
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Gogherweide,1884::SB3,2371 RG,1949,1063,2,4,1,0,0,984,84,0,0,1,0,0,0,1068,323,129,109,220,282
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau De Meerpaal,1884::SB4,2376 AR,522,306,1,0,0,0,0,288,19,0,0,0,0,0,0,307,88,40,39,89,50
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Brandweerkazerne Hertogspark,1884::SB5,2375 XE,1834,1114,2,5,0,0,0,1002,119,0,0,0,0,0,0,1121,137,196,147,115,519
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau NH-Kerk Kaag,1884::SB7,2159 LA,372,221,1,0,0,0,0,222,0,0,0,0,0,0,0,222,15,23,90,75,18
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau De Roelevaer,1884::SB8,2371 NK,1931,1128,0,4,0,0,0,1055,77,0,0,0,0,0,0,1132,306,180,144,175,323
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Huize Jacobus,1884::SB9,2377 CR,1459,702,1,2,0,0,0,648,57,0,0,0,0,0,0,705,141,173,83,115,190
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau De Meerkant,1884::SB10,2465 AG,978,641,0,0,0,0,0,573,68,0,0,0,0,0,0,641,101,107,103,106,224
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Het Spant,1884::SB11,2451 BV,1774,1075,2,5,0,0,0,968,114,0,0,0,0,0,0,1082,216,172,79,114,494
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau De Ontmoeting,1884::SB12,2451 AP,1805,1009,3,3,0,2,0,916,101,0,0,0,2,0,0,1017,197,271,116,74,351
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Gebouw Die Twee,1884::SB13,2481 AN,1396,790,7,1,0,0,0,729,69,0,0,0,0,0,0,798,282,132,78,121,177
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Gebouw Immanuel,1884::SB14,2481 AA,1277,796,3,2,0,0,0,716,85,0,0,0,0,0,0,801,234,249,107,75,131
,Kaag en Braassem,GR2014_KaagenBraassem,Gemeenteraad Kaag en Braassem 2014,1884,Kaag en Braassem,2014-03-19,Stembureau Gebouw De Drieluik,1884::SB15,2355 AG,1343,863,5,5,0,0,0,794,79,0,0,0,0,0,0,873,87,191,57,75,453
