contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,SP (Socialistische Partij),GROENLINKS,Partij van de Arbeid (P.v.d.A.),Protestant-Christelijke Groepering (PCG),Burger Belangen Nu,Democraten 66 (D66)
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Het Gemeentehuis,0352::SB1,3962 CL,1740,1500,8,3,0,0,0,1356,155,0,0,0,0,0,0,1511,263,116,322,325,97,73,104,200
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau E en E Gasthuis,0352::SB2,3961 CR,1572,706,3,1,0,0,0,646,64,0,0,0,0,0,0,710,82,102,226,78,62,37,45,74
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Basisschool De Werkschuit,0352::SB3,3962 JD,1802,1141,6,2,0,0,0,1035,114,0,0,0,0,0,0,1149,187,93,262,157,94,91,101,156
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Revius Lyceum,0352::SB4,3962 KT,2400,1235,3,3,0,0,0,1087,154,0,0,0,0,0,0,1241,264,131,250,146,82,69,108,185
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Basisschool De Wegwijzer,0352::SB5,3962 AD,2063,946,4,2,0,0,0,865,87,0,0,0,0,0,0,952,140,123,212,120,68,55,87,141
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Basisschool Het Palet,0352::SB6,3961 EE,1470,653,4,0,1,0,0,589,69,0,0,0,1,0,0,658,123,41,163,82,40,37,57,110
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Basisschool 't baken,0352::SB7,3961 JJ,1451,897,6,1,0,1,0,813,93,0,1,0,2,0,0,906,145,59,261,85,58,47,90,152
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Basisschool De Regenboog,0352::SB8,3961 LA,1522,836,0,0,1,0,0,729,106,0,0,1,0,0,0,835,159,101,236,66,43,70,68,93
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau 't Dorpshuys van Cothen,0352::SB11,3945 CB,2367,1323,3,0,0,2,0,1171,157,0,0,0,2,0,0,1328,267,262,269,78,55,187,104,101
,Wijk bij Duurstede,GR2014_WijkbijDuurstede,Gemeenteraad Wijk bij Duurstede 2014,0352,Wijk bij Duurstede,2014-03-19,Stembureau Dorpshuis Langbroek,0352::SB12,3947 PG,1612,1137,1,4,0,0,0,1003,139,0,0,0,0,0,0,1142,98,128,133,48,20,585,68,57
