contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Algemeen Belang,CDA,VVD,Democraten 66 (D66),PPGV/GroenLinks/PvdA
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Stadhuis Park Dersaborg,0994::SB1,6301 HC,1471,877,6,4,0,0,0,753,134,0,0,0,0,0,0,887,222,159,253,77,166
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau De Polfermolen,0994::SB2,6301 GM,1118,505,6,3,0,1,0,451,62,0,0,514,0,0,0,513,80,69,246,39,71
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Zorgcentrum Oosterbeemd,0994::SB3,6301 ZZ,1385,709,3,6,0,0,0,628,89,0,0,718,0,1,0,717,195,158,217,37,102
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Hotel Op de Boud,0994::SB4,6301 XX,1439,658,2,5,0,0,0,570,93,0,0,2,0,2,0,663,169,155,144,87,103
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Gemeenschapshuis De Beemde,0994::SB5,6301 WJ,1179,627,3,7,0,1,0,567,69,0,0,637,0,0,0,636,172,88,152,59,156
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Gemeenschapshuis De Blokhut,0994::SB6,6301 AT,1073,624,4,5,0,0,0,562,71,0,0,0,0,0,0,633,345,52,65,55,107
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau De Holle Eik,0994::SB7,6301 JZ,1359,713,6,2,0,0,0,638,83,0,0,0,0,0,0,721,249,152,118,61,133
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Gemeenschapshuis 't Geboew,0994::SB8,6305 AZ,1415,916,4,9,0,0,0,827,102,0,0,0,0,0,0,929,324,299,96,43,154
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Gemeenschapshuis 't Voske,0994::SB9,6325 EC,1828,1210,12,2,0,0,0,1065,159,0,0,0,0,0,0,1224,906,68,73,70,93
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Zorgcentrum Fonterhof,0994::SB10,6325 BR,1024,637,6,1,0,0,0,559,85,0,0,0,0,0,0,644,488,47,34,30,38
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau Gemeenschapshuis Cascade Vilt,0994::SB11,6325 AX,737,440,4,0,0,0,0,388,56,0,0,0,0,0,0,444,244,35,46,32,83
,Valkenburg aan de Geul,GR2014_ValkenburgaandeGeul,Gemeenteraad Valkenburg aan de Geul 2014,0994,Valkenburg aan de Geul,2014-03-19,Stembureau mobiel,0994::SB12,,150,51,0,0,0,0,0,50,1,0,0,0,0,0,0,51,12,29,2,3,5
