contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kleurrijk Langedijk,VVD,CDA,Dorpsbelang Langedijk,Hart voor Langedijk-D66,Partij van de Arbeid (P.v.d.A.),GROENLINKS,ChristenUnie
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau ""De Overbrugging""",0416::SB1,1723 XN,1300,576,2,2,0,0,0,541,39,0,0,0,0,0,0,580,87,61,81,179,47,56,46,19
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,Stembureau Kantine voetbalvereniging DTS,0416::SB2,1724 TZ,907,359,0,2,0,0,0,329,32,0,0,0,0,0,0,361,57,69,37,82,41,37,28,8
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau o.b.s.""De Wijde Veert""",0416::SB3,1723 AB,1197,964,5,2,0,0,0,900,71,0,0,0,0,0,0,971,131,121,108,252,144,115,59,34
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau bassissch. ""De Duizend Eilanden""",0416::SB4,1723 AA,1135,520,2,2,0,0,0,489,35,0,0,0,0,0,0,524,61,64,89,141,59,31,45,30
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau ""Buiten Zorg""",0416::SB5,1722 XR,1226,610,1,3,0,0,0,549,65,0,0,0,0,0,0,614,65,78,109,120,72,64,59,43
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau ""Horizon""",0416::SB6,1721 GA,1015,534,0,4,0,0,0,501,37,0,0,0,0,0,0,538,57,50,96,93,79,43,50,66
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,Stembureau Christelijke Gereformeerde kerk,0416::SB7,1721 BP,1283,854,4,3,0,0,0,785,76,0,0,0,0,0,0,861,89,212,113,105,128,49,49,109
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,Stembureau voormalig gemeentehuis,0416::SB8,1834 AD,1373,868,1,4,0,0,0,792,81,0,0,0,0,0,0,873,174,170,75,169,68,70,89,53
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau ""Molenhoeve""",0416::SB9,1834 CH,1081,444,0,2,0,0,0,404,42,0,0,0,0,0,0,446,111,92,46,57,30,27,47,34
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau hoofdl.obs""De Steltloper""",0416::SB10,1834 XJ,1114,559,4,3,0,0,0,526,40,0,0,0,0,0,0,566,116,109,42,123,46,45,48,30
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,"Stembureau ""De Bonte Koe""",0416::SB11,1832 AD,195,101,0,0,0,0,0,88,13,0,0,0,0,0,0,101,7,19,2,13,17,13,26,4
,Langedijk,GR2014_Langedijk,Gemeenteraad Langedijk 2014,0416,Langedijk,2014-03-19,Stembureau Het Behouden Huis,0416::SB12,1724 NV,1116,894,3,0,0,1,0,813,85,0,0,0,1,0,0,898,131,148,67,203,118,72,113,42
