contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,GROENLINKS-Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),ChristenUnie-SGP
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Gemeentehuis,0327::SB1,3831 NA,2092,1615,20,11,0,0,0,1508,138,0,0,0,0,0,0,1646,266,388,280,468,213
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Basisschool De Holm,0327::SB2,3831 LE,1924,1165,13,7,0,0,0,1064,121,0,0,0,0,0,0,1185,258,201,176,346,184
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Basisschool Klimrakker,0327::SB3,3831 AG,2056,1238,8,4,0,0,0,1133,117,0,0,0,0,0,0,1250,243,233,212,386,164
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Verzorgingshuis 't Hamersveld,0327::SB4,3831 JR,1818,1238,9,1,0,0,0,1120,128,0,0,0,0,0,0,1248,275,256,201,371,135
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Larikslaan2,0327::SB5,3833 AM,2196,1054,5,2,0,0,0,939,122,0,0,0,0,0,0,1061,259,172,238,263,122
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Lisidunahof,0327::SB6,3833 BS,1477,792,4,2,0,0,0,732,66,0,0,0,0,0,0,798,176,123,178,198,117
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Appartementencomplex Groenhouten,0327::SB7,3833 VW,1981,1119,11,1,0,0,0,1033,98,0,0,0,0,0,0,1131,224,214,250,287,144
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau De Schoolsteeg,0327::SB8,3833 GM,2007,1084,5,2,0,0,0,970,121,0,0,0,0,0,0,1091,244,187,176,298,179
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau MFC Antares,0327::SB9,3832 JS,3600,2283,15,12,0,0,0,2061,249,0,0,0,0,0,0,2310,565,295,494,585,344
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Sint Joseph,0327::SB10,3791 PP,1996,1316,6,7,0,0,0,1163,166,0,0,0,0,0,0,1329,144,132,863,116,61
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Mickey's Kinderdagverblijf,0327::SB11,3831 SZ,1632,794,8,0,0,0,0,724,78,0,0,0,0,0,0,802,220,131,141,171,131
,Leusden,GR2014_Leusden,Gemeenteraad Leusden 2014,0327,Leusden,2014-03-19,Stembureau Mobiel Stembureau,0327::SB12,,0,82,2,0,0,0,0,71,13,0,0,0,0,0,0,84,10,13,39,12,8
