contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),LEEFBAAR REIMERSWAAL,CDA,Partij van de Arbeid (P.v.d.A.),VVD,ChristenUnie
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau dorpshuis 'Ons Dorpshuis' Kruiningen,0703::SB1,4416 BJ,735,570,5,6,0,1,0,495,85,0,0,1,0,0,0,580,177,109,82,96,72,34
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau ver. Ger.Gem. Kruiningen,0703::SB2,4416 BJ,1092,899,1,4,0,1,0,770,135,0,0,0,1,0,0,905,436,124,66,90,118,65
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau dorpshuis 'Kaj Munk' Hansweert,0703::SB3,4417 AA,1325,862,2,4,0,0,0,754,114,0,0,0,0,0,0,868,5,324,128,273,103,29
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau dorpshuis 'Meerwaarde' Waarde,0703::SB4,4414 AK,923,757,1,1,0,0,0,644,115,0,0,0,0,0,0,759,396,66,135,42,45,73
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau kerkelijk centrum 'De Haven' Yerseke,0703::SB5,4401 EC,1288,1056,4,6,0,2,0,917,151,0,0,0,2,0,0,1068,312,152,164,83,157,188
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau dorpshuis 'Apeldoorn' Oostdijk,0703::SB6,4415 AE,357,325,0,1,0,0,0,274,52,0,0,0,0,0,0,326,231,18,44,0,4,28
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau ver. Ger.Gem. Yerseke,0703::SB7,4401 CB,1251,964,0,1,0,0,0,800,165,0,0,0,0,0,0,965,503,91,121,35,110,104
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau dorpshuis 'De Meiboom' Krabbendijke,0703::SB8,4413 GB,1072,820,0,0,0,2,0,702,120,0,0,0,2,0,0,822,401,134,118,40,48,79
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau zorgcentrum 'Ter Weel' Krabbendijke,0703::SB9,4413 CN,1072,1010,4,4,0,0,0,869,149,0,0,0,0,0,0,1018,446,102,190,73,72,127
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau dorpshuis 'Luctor et Emergo' Rilland,0703::SB10,4411 AN,1389,829,4,4,0,0,0,750,87,0,0,0,0,0,0,837,93,199,138,162,183,54
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau Seniorencomplex 'Oostkilhoek' Rilland,0703::SB11,4411 AC,968,548,0,2,0,0,0,484,66,0,0,0,0,0,0,550,87,127,108,103,82,41
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau Brandweerkazerne Yerseke,0703::SB12,4401 KW,1206,657,0,5,0,1,0,573,90,0,0,0,1,0,0,663,179,116,89,50,106,117
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau zorgcentrum 'Moerzicht' Yerseke,0703::SB13,4401 HZ,1254,942,2,1,0,1,0,797,149,0,0,0,1,0,0,946,283,104,182,59,117,197
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau gebouw bridgeclub Kruiningen,0703::SB14,4416 BT,1270,781,0,0,0,1,0,690,92,0,0,0,1,0,0,782,199,145,119,134,134,50
,Reimerswaal,GR2014_Reimerswaal,Gemeenteraad Reimerswaal 2014,0703,Reimerswaal,2014-03-19,Stembureau ver. Ger.Gem. Krabbendijke,0703::SB15,4413 BK,1020,614,0,1,0,0,0,529,86,0,0,0,0,0,0,615,303,81,112,33,30,55
