contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Roosendaalse Lijst,VVD,CDA,Partij van de Arbeid (P.v.d.A.),SP (Socialistische Partij),Nieuwe Democraten,GROENLINKS,ChristenUnie,Democraten 66 (D66),Praktisch en Pragmatisch (PeP),VRIJE LIBERALE PARTIJ (V.L.P.),Pleijdooi Voor Cultuur (PVC)
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Stadskantoor,1674::SB1,4700 KA,1240,991,1,7,0,0,0,887,112,0,0,0,0,0,0,999,200,140,143,56,93,105,39,11,76,25,95,8
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau Centrum voor de Kunsten, muziek",1674::SB2,4701 EK,1800,792,2,0,0,0,0,711,83,0,0,0,0,0,0,794,183,106,114,43,74,58,30,8,61,32,76,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Buurthuis Keijenburg,1674::SB3,4702 CG,1654,744,2,3,0,0,0,687,62,0,0,0,0,0,0,749,126,50,119,56,93,57,20,3,70,21,123,6
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Recreatiezaal Mimosa-flat,1674::SB4,4702 BR,1694,677,4,3,0,0,0,623,61,0,0,0,0,0,0,684,105,70,94,35,100,33,27,15,48,21,120,9
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Buurthuis Fatima,1674::SB5,4702 GZ,1638,789,5,4,0,0,0,724,74,0,0,0,0,0,0,798,125,67,122,94,117,58,31,10,67,12,79,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Wiekendael,1674::SB6,4702 ZB,1519,565,0,1,0,0,0,497,70,0,1,0,1,0,0,567,111,72,53,38,81,40,26,6,51,19,59,9
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Buurthuis Kalsdonk,1674::SB7,4702 NS,2191,728,1,2,0,0,0,600,131,0,0,0,0,0,0,731,113,51,162,102,80,69,10,7,32,21,70,11
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau Buurthuis,Kalsdonk",1674::SB8,4702 NS,1944,850,3,6,0,0,0,716,143,0,0,0,0,0,0,859,129,48,171,124,132,89,15,6,35,15,74,12
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau St Elisabeth ingang Wouwseweg 21,1674::SB9,4703 AK,1553,765,3,1,0,0,0,694,75,0,0,0,0,0,0,769,140,64,140,31,102,36,18,17,42,18,150,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Recreatiezaal Burg Freijterslaan,1674::SB10,4703 EX,1608,480,0,3,0,0,0,430,53,0,0,0,0,0,0,483,82,39,72,50,89,25,8,10,17,4,77,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Appel,1674::SB11,4703 JA,1505,445,4,3,0,0,0,401,51,0,0,0,0,0,0,452,74,35,83,36,72,26,15,4,27,2,67,4
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Appartementencomplex Waterland,1674::SB12,4707 DC,1648,720,1,5,0,0,0,662,64,0,0,0,0,0,0,726,135,76,156,51,91,65,7,9,39,6,78,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Huize De Brink,1674::SB13,4707 HP,1296,702,1,3,0,4,0,626,84,0,0,0,4,0,0,710,156,48,132,66,116,32,18,9,35,15,74,1
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Wildenborch ingang Genestetlaan,1674::SB14,4707 LT,1380,613,0,4,0,0,0,555,62,0,0,0,0,0,0,617,111,46,93,47,116,50,12,7,28,9,87,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Watermolen,1674::SB15,4707 JE,1482,514,2,0,0,0,0,465,51,0,0,0,0,0,0,516,112,39,50,55,114,31,22,2,32,7,43,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Gertrudis,1674::SB16,4707 ZH,1214,629,0,2,0,0,0,550,81,0,0,0,0,0,0,631,110,60,88,66,94,31,15,6,51,12,91,5
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Levensschool,1674::SB17,4707 TZ,1327,550,0,1,0,0,0,496,55,0,0,0,0,0,0,551,88,50,79,37,93,31,18,15,28,9,95,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Saffier Diamantdijk 262,1674::SB18,4706 HM,1452,589,0,4,0,0,0,515,78,0,0,0,0,0,0,593,118,67,75,57,85,35,17,3,55,9,63,5
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau De Saffier,Diamantdijk 262",1674::SB19,4706 HM,1500,545,1,2,2,0,0,478,72,0,0,0,2,0,0,550,94,67,75,47,82,44,27,6,43,4,55,1
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Wijkcentrum 't Dijksteeke,1674::SB20,4706 LB,1378,900,1,1,0,0,0,829,73,0,0,0,0,0,0,902,165,104,150,52,138,56,44,4,79,9,91,8
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Klimroos Platinadijk,1674::SB21,4706 LK,1368,660,1,1,0,0,0,577,85,0,0,0,0,0,0,662,114,104,87,32,86,39,20,8,71,15,76,8
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau De Klimroos,Platinadijk",1674::SB22,4706 LK,1921,634,1,0,0,0,0,546,89,0,0,0,0,0,0,635,135,110,73,38,73,38,22,3,60,13,62,7
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Nisipa,1674::SB23,4709 AN,1390,780,3,3,0,0,0,701,85,0,0,0,0,0,0,786,342,52,75,12,41,15,11,5,17,5,201,4
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Vondelschool,1674::SB24,4707 AG,1556,688,1,7,0,0,0,611,85,0,0,0,0,0,0,696,146,57,78,54,122,46,21,7,48,13,93,3
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Heiberg,1674::SB25,4708 EC,1903,698,2,3,0,0,0,622,81,0,0,0,0,0,0,703,186,92,62,26,104,39,14,8,50,18,97,2
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Rietgoor,1674::SB26,4708 HL,1452,757,1,2,0,1,0,677,84,0,0,0,1,0,0,761,164,102,99,54,66,33,27,7,64,16,124,1
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Bergspil,1674::SB27,4708 HK,1306,740,0,2,0,2,0,667,77,0,0,0,2,0,0,744,131,89,87,55,105,33,34,12,51,12,125,6
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Wingerd Kersenberg,1674::SB28,4708 KC,1233,597,1,2,0,0,0,550,50,0,0,0,0,0,0,600,126,121,74,34,43,31,18,4,63,18,63,2
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,"Stembureau De Wingerd,Kersenberg",1674::SB29,4708 KC,1216,585,1,1,0,0,0,515,72,0,0,0,0,0,0,587,118,113,90,35,58,33,13,0,52,10,61,2
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau De Lantaarn,1674::SB30,4706 LN,1490,812,1,0,0,0,0,715,98,0,0,0,0,0,0,813,171,144,134,36,70,35,40,7,62,25,84,4
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Het Werkplein,1674::SB31,4701 GZ,1626,563,4,2,0,0,0,506,63,0,0,0,0,0,0,569,77,77,64,58,104,35,20,9,39,27,47,6
,Roosendaal,GR2014_Roosendaal,Gemeenteraad Roosendaal 2014,1674,Roosendaal,2014-03-19,Stembureau Wijkhuis West,1674::SB32,4703 HX,1393,598,3,2,0,0,0,548,55,0,0,0,0,0,0,603,88,37,113,46,135,20,11,3,26,13,101,5
