contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Jongeren Akkoord Nederweert (J.A.N.),Partij van de Arbeid (P.v.d.A.),VVD
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Gemeentehuis,0946::SB1,6031 VR,2308,1509,14,1,0,1,0,1361,164,0,0,0,1,0,0,1525,508,583,194,224
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Zorgcentrum St. Joseph,0946::SB2,6031 BL,1535,753,3,6,0,0,0,666,96,0,0,0,0,0,0,762,257,310,80,106
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Basisschool De Kerneel,0946::SB3,6031 HR,1704,714,6,1,0,0,0,623,98,0,0,0,0,0,0,721,265,272,81,96
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Gemeenschapshuis De Pinnenhof,0946::SB4,6031 BX,1248,794,11,2,0,0,0,710,97,0,0,0,0,0,0,807,296,336,70,92
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Gemeenschapshuis Pestoeërskoel,0946::SB5,6091 PD,861,549,1,2,0,0,0,480,72,0,0,0,0,0,0,552,361,72,79,37
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Kerkelijke voorziening Budschop,0946::SB6,6031 BD,1414,813,5,3,0,0,0,739,82,0,0,0,0,0,0,821,332,310,73,98
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Gemeenschapshuis Haaze-hoof,0946::SB7,6035 AS,1241,751,0,1,0,0,0,670,82,0,0,0,0,0,0,752,486,173,54,38
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Basisschool De Schrank,0946::SB8,6035 BD,1450,769,1,2,0,0,0,681,91,0,0,0,0,0,0,772,492,156,44,77
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Thomashuis Ospeldijk,0946::SB9,6035 RB,565,317,2,1,0,0,0,288,32,0,0,0,0,0,0,320,179,49,16,73
,Nederweert,GR2014_Nederweert,Gemeenteraad Nederweert 2014,0946,Nederweert,2014-03-19,Stembureau Gemeenschapshuis Reigershorst,0946::SB10,6034 TE,1259,865,10,1,0,0,0,787,89,0,0,0,0,0,0,876,561,166,39,99
