contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,OOG,Partij van de Arbeid (P.v.d.A.),Nieuwe Liberalen Oost Gelre,Democraten 66 (D66)
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Antoniushove,1586::SB1,7131 CW,1456,909,6,3,0,0,0,858,60,0,0,0,0,0,0,918,159,295,177,70,148,60
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Schuttersgilde St. Switbertus,1586::SB2,7131 ZT,1585,1003,3,4,0,0,0,943,67,0,0,0,0,0,0,1010,152,260,231,85,186,89
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau St. Jozefschool,1586::SB3,7131 GK,1526,864,1,2,0,0,0,813,54,0,0,0,0,0,0,867,191,240,151,73,134,75
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Den Diek,1586::SB4,7131 DP,1517,927,3,5,0,0,0,869,66,0,0,0,0,0,0,935,157,244,184,87,163,92
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau De Schoppe,1586::SB5,7131 SB,1359,745,4,5,1,0,0,713,42,0,0,0,1,0,0,755,93,129,181,104,162,76
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau St. Jorisschool,1586::SB6,7132 DK,1373,656,9,3,2,0,0,617,53,0,0,0,2,0,0,670,155,143,133,57,94,74
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Gemeentehuis,1586::SB7,7131 BJ,1385,590,4,0,0,0,0,547,47,0,0,0,0,0,0,594,132,140,109,64,98,47
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Sportcomplex De Bult,1586::SB8,7134 NJ,824,527,0,0,0,0,0,475,52,0,0,0,0,0,0,527,99,288,45,15,60,20
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Dorpshuis 't Kempken,1586::SB9,7135 JD,999,629,6,2,0,0,0,598,39,0,0,0,0,0,0,637,61,320,167,11,46,24
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Parochiehuis,1586::SB10,7136 LM,1586,1026,1,3,0,0,0,962,68,0,0,0,0,0,0,1030,198,509,208,29,43,39
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Bernard Vos Clubhuus,1586::SB11,7137 MD,1128,735,3,2,0,1,0,678,63,0,0,0,1,0,0,741,104,325,125,54,90,37
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,"Stembureau Zorgcentrum ""De Molenberg""",1586::SB12,7141 AN,1423,703,3,0,0,0,0,636,70,0,0,0,0,0,0,706,138,231,208,50,22,54
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,"Stembureau Cultureel Centrum ""De Bron""",1586::SB13,7141 EK,1406,1137,6,2,0,0,0,1045,100,0,0,0,0,0,0,1145,216,281,359,103,67,111
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Willibrordusschool,1586::SB14,7141 WH,1579,766,3,2,0,0,0,708,63,0,0,0,0,0,0,771,150,215,258,57,37,49
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau O.B.S. 't Palet,1586::SB15,7141 VG,1434,701,3,6,0,1,0,659,45,0,0,6,0,0,0,704,120,140,241,90,34,76
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Stadhuis,1586::SB16,7141 BE,1588,887,6,3,0,0,0,816,80,0,0,0,0,0,0,896,204,293,231,57,36,66
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau St. Theresiaschool,1586::SB17,7263 RW,660,410,2,0,0,0,0,364,48,0,0,0,0,0,0,412,128,158,61,12,40,11
,Oost Gelre,GR2014_OostGelre,Gemeenteraad Oost Gelre 2014,1586,Oost Gelre,2014-03-19,Stembureau Basisschool St. Ludgerus,1586::SB18,7142 HA,395,290,1,1,0,0,0,256,36,0,0,0,0,0,0,292,34,215,20,9,5,7
