contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Open en Duidelijk Stede Broec,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,Gemeente Belangen Stede Broec (GBS),VVD,Onafhankelijke Partij
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau Verenigingsgebouw De Wurf,0532::SB1,1614 SH,1919,1033,0,8,0,0,0,960,81,0,0,0,0,0,0,1041,516,186,99,61,68,103
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau Dorpshuis De Stek,0532::SB2,1613 LA,1827,935,9,0,0,0,0,869,76,0,0,0,1,0,0,945,252,241,103,81,140,118
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau Gemeentehuis,0532::SB3,1611 KW,1537,1027,4,1,0,0,0,946,87,0,0,0,1,0,0,1033,256,286,141,150,100,94
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau Basisschool De Klimop,0532::SB4,1611 JH,1857,991,7,4,0,0,0,898,104,0,0,0,0,0,0,1002,286,298,100,88,150,69
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau Stichting Het Vereenigingsgebouw,0532::SB5,1611 AM,1773,897,5,2,0,0,0,831,73,0,0,0,0,0,0,904,251,264,78,81,118,105
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau 't Vierspan locatie De Wendel,0532::SB6,1611 XE,1564,598,0,1,0,0,0,534,65,0,0,0,0,0,0,599,131,189,60,72,38,108
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau St. Peuterspeelzalen Kiddy World,0532::SB7,1611 ZB,1278,650,2,2,0,0,0,613,41,0,0,0,0,0,0,654,147,191,71,85,63,93
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau SBO 't Palet Bovenkarspel,0532::SB8,1611 WS,1827,695,3,3,0,0,0,652,49,0,0,0,0,0,0,701,94,212,126,141,42,80
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau R.K. Jenaplan Basisschool De Hussel,0532::SB9,1613 AL,1663,788,6,3,0,0,0,725,72,0,0,0,0,0,0,797,111,273,151,127,51,75
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau 't Vierspan locatie De Woud,0532::SB10,1613 EV,1523,680,13,3,0,0,0,632,64,0,0,0,0,0,0,696,116,229,77,102,64,92
,Stede Broec,GR2014_StedeBroec,Gemeenteraad Stede Broec 2014,0532,Stede Broec,2014-03-19,Stembureau Mobiel stembureau,0532::SB11,,0,84,0,2,0,0,0,82,4,0,0,0,0,0,0,86,30,22,14,11,2,5
