contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,Democraten 66 (D66),Partij van de Arbeid (P.v.d.A.),Trilokaal,ChristenUnie
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau Julianakerk,1525::SB1,2171 CZ,1984,998,5,4,0,0,0,897,110,0,0,0,0,0,0,1007,184,258,149,147,212,48
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau Gemeentekantoor Teylingen,1525::SB2,2171 CS,2203,1473,7,2,0,0,0,1301,181,0,0,0,0,0,0,1482,424,372,233,165,234,45
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau Openb. Basisschool ""Het Bolwerk""",1525::SB3,2172 HD,2185,1347,0,3,0,0,0,1220,130,0,0,0,0,0,0,1350,336,343,170,143,292,63
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau RK Basisschool ""De Springplank""",1525::SB4,2172 EA,1720,919,6,2,0,0,0,856,71,0,0,0,0,0,0,927,181,191,146,147,220,34
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau Zorggroep Marente loc. Bernardus,1525::SB5,2171 AV,2116,1068,4,0,0,0,0,958,114,0,0,0,0,0,0,1072,213,227,139,170,260,59
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau P.C. Basisschool ""De Rank""",1525::SB6,2171 MA,1942,958,4,1,0,0,0,932,31,0,0,0,0,0,0,963,237,140,177,115,245,44
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau Soc. Cult. Centrum ""Het Trefpunt""",1525::SB9,2361 ET,1789,1035,12,2,0,0,0,948,101,0,0,0,0,0,0,1049,231,263,324,117,84,16
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau Sporthal ""De Geest""",1525::SB10,2361 XX,2077,1129,5,3,2,0,0,1023,112,0,0,2,0,0,0,1135,251,214,352,155,128,29
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau De Kaagsociëteit,1525::SB12,2362 AG,171,113,0,0,0,0,0,93,20,0,0,0,0,0,0,113,9,73,15,4,10,2
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau Bestuurscentrum Teylingen,1525::SB14,2215 MA,2464,1226,4,3,0,0,0,1114,119,0,0,0,0,0,0,1233,317,224,268,132,193,92
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau De Roef (bij St. Bartholomeuskerk),1525::SB15,2215 KE,1904,1013,7,4,0,0,0,928,96,0,0,0,0,0,0,1024,204,314,172,119,137,67
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau Jeugdcentrum ""De Spelewey""",1525::SB16,2215 AB,1843,926,10,2,1,0,0,849,88,0,0,1,0,0,0,937,189,232,162,128,146,69
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau Jongerencentrum @hok,1525::SB17,2215 KZ,979,446,0,7,0,0,0,402,51,0,0,0,0,0,0,453,160,126,65,25,49,21
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau RK Basisschool ""Emmaus""",1525::SB18,2215 BG,2138,1117,8,2,0,0,0,1001,126,0,0,0,0,0,0,1127,336,219,219,103,148,92
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,"Stembureau Cluster ""Hoogh Teylingen""",1525::SB19,2215 SZ,1991,988,3,2,1,0,0,870,122,0,0,1,0,0,0,992,305,166,229,112,116,60
,Teylingen,GR2014_Teylingen,Gemeenteraad Teylingen 2014,1525,Teylingen,2014-03-19,Stembureau Mobiel stembureau,1525::SB20,,0,497,2,4,0,0,0,460,43,0,0,0,0,0,0,503,95,148,114,60,49,31
