contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Lokaal Belang,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Sociaal Zevenaar,SP (Socialistische Partij),GROENLINKS
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,"Stembureau Diafaan, locatie Pelgromhof",0299::SB1,,1415,837,2,5,0,0,0,768,76,0,0,0,0,0,0,844,266,194,101,79,76,30,68,23
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau NME-gebouw,0299::SB2,,1272,622,2,1,0,0,0,557,68,0,0,0,0,0,0,625,235,95,69,55,72,23,55,18
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Basisschool De Tamboerijn,0299::SB3,,1338,697,2,0,0,0,0,633,66,0,0,0,0,0,0,699,252,83,95,60,58,34,81,34
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Rode Kruis gebouw,0299::SB4,,1520,709,2,0,0,0,0,648,63,0,0,0,0,0,0,711,269,50,76,51,81,47,113,22
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Basisschool De Carrousel,0299::SB5,,1302,579,1,5,0,0,0,539,46,0,0,0,0,0,0,585,186,59,74,30,65,55,95,15
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Kantine AV De Liemers,0299::SB6,,1592,844,0,0,0,0,0,771,73,0,0,0,0,0,0,844,257,96,108,107,129,37,83,27
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau OBS Het Kofschip,0299::SB7,,1322,787,0,0,0,2,0,705,84,0,0,0,2,0,0,789,211,143,105,80,96,51,72,29
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Rijnstate streekziekenhuis Zevenaar,0299::SB8,,1445,850,6,0,0,0,0,769,87,0,0,0,0,0,0,856,226,149,83,99,99,52,110,32
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Basisschool Lindenhage,0299::SB9,,1468,493,0,4,0,0,0,442,55,0,0,0,0,0,0,497,141,73,86,50,65,22,39,17
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Dienstencentrum De Hooge Bongert,0299::SB10,,1510,929,2,7,0,1,0,876,63,0,0,0,1,0,0,939,329,151,103,71,95,54,99,27
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Schuttersgebouw Sint Andreas,0299::SB11,,1267,658,1,1,0,0,0,569,91,0,0,0,0,0,0,660,232,115,75,75,53,24,70,14
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Lokaal Teathergroep UIT,0299::SB12,,1418,568,4,2,0,0,0,529,45,0,0,0,0,0,0,574,204,114,68,41,44,22,63,12
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Basisschool De Fonkelsteen,0299::SB13,,1444,851,6,4,0,0,0,795,66,0,0,0,0,0,0,861,277,122,92,94,107,56,81,22
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Brede School St. Martinus,0299::SB14,,1690,931,0,2,0,0,0,836,97,0,0,0,0,0,0,933,387,229,50,86,79,29,37,34
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Kulturhus De Borg Babberich,0299::SB15,,1515,869,4,0,0,1,0,806,66,0,0,1,0,0,0,872,464,175,27,38,48,27,66,24
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Centrum De Meent,0299::SB16,,1062,736,1,1,0,0,0,670,68,0,0,0,0,0,0,738,410,186,41,29,23,13,20,14
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Dorpshuis Het Gebouw,0299::SB17,,1169,559,0,1,0,0,0,509,51,0,0,0,0,0,0,560,299,75,14,51,34,53,28,5
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Hof van Giesbeek,0299::SB18,,1271,718,0,2,0,3,0,660,63,0,0,0,3,0,0,723,262,210,60,36,55,15,69,11
,Zevenaar,GR2014_Zevenaar,Gemeenteraad Zevenaar 2014,0299,Zevenaar,2014-03-19,Stembureau Clubgebouw GSV'38,0299::SB19,,979,505,2,0,0,0,0,454,53,0,0,0,0,0,0,507,236,97,39,25,21,16,61,10
