contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),Inwoners Partij Lelystad,ChristenUnie,GROENLINKS,CDA,Democraten 66 (D66),SP (Socialistische Partij),Leefbaar Lelystad,Partij voor Lelystad,Partij van der Kleij,Zuivere Politiek Lelystad (ZPL),GROEP HOP,Lijst Simon Polman,BINDEND LOKAAL LELYSTAD,OPA Plus,Lelystads Belang
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Woonzorgcentrum De Hoven,0995::SB1,8233 BK,1167,456,0,0,0,1,0,399,58,0,0,0,1,0,0,457,46,44,50,38,13,91,27,52,23,23,1,2,0,0,4,39,3
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Woonzorgcentrum De Uiterton,0995::SB2,8224 MA,1824,802,4,6,0,0,0,741,71,0,0,0,0,0,0,812,83,93,86,77,44,98,63,73,42,66,6,2,2,5,9,48,5
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School Laetare,0995::SB3,8223 ZR,1638,705,1,4,0,0,0,623,88,0,1,0,1,0,0,711,71,99,67,55,71,37,64,83,32,73,4,4,0,2,19,17,7
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Vuurtoren,0995::SB4,8223 CL,1454,502,0,1,0,0,0,449,54,0,0,0,0,0,0,503,32,80,76,29,28,34,36,57,41,40,8,0,0,5,8,21,7
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Atolplaza,0995::SB5,8224 CM,1768,829,2,12,0,2,0,709,136,0,0,0,2,0,0,845,29,100,151,38,177,46,53,76,26,55,15,0,1,5,15,27,15
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Kerkcentrum Ontmoetingskerk,0995::SB6,8224 CM,1597,654,2,2,0,0,0,604,54,0,0,0,0,0,0,658,44,95,81,60,77,58,25,66,31,31,10,0,5,3,17,39,12
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Wingerd,0995::SB7,8212 CA,1499,971,3,1,0,0,0,875,100,0,0,0,0,0,0,975,143,123,67,130,78,124,100,55,27,65,1,3,0,6,12,32,5
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School Arcus,0995::SB8,8224 KR,1236,576,1,2,0,2,0,508,69,0,0,2,0,0,0,577,58,74,67,50,48,54,66,40,21,53,0,0,2,5,5,28,5
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Buurtvereniging Het Palet,0995::SB9,8212 CA,1744,981,7,0,0,0,0,891,97,0,0,0,0,0,0,988,107,118,126,92,72,57,75,65,47,110,6,2,0,12,26,56,10
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Woonzorgcentrum Laarhof,0995::SB10,8225 CB,1610,517,1,2,0,0,0,477,43,0,0,0,0,0,0,520,44,48,112,43,33,29,30,64,29,46,2,3,4,4,4,17,5
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Driemaster,0995::SB11,8225 AG,1794,678,3,3,0,0,0,615,69,0,0,0,0,0,0,684,68,99,88,56,35,42,53,81,25,64,4,2,1,8,23,23,6
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School Het Spectrum,0995::SB12,8225 MA,1512,731,3,1,0,0,0,665,70,0,0,0,0,0,0,735,73,81,83,60,48,46,53,72,31,78,4,1,0,47,4,40,10
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Buurtcentrum De Brink,0995::SB13,8225 SX,1488,770,7,5,0,0,0,703,79,0,0,0,0,0,0,782,61,78,148,59,37,43,60,79,46,78,11,3,2,8,14,35,8
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Poolster,0995::SB14,8226 BA,1776,403,2,2,0,0,0,369,38,0,0,0,0,0,0,407,24,43,50,38,53,16,19,49,22,46,10,2,0,3,7,17,4
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School Driestromenland,0995::SB15,8226 KA,2157,1008,5,7,0,0,0,910,110,0,0,0,0,0,0,1020,85,117,89,83,131,50,71,113,47,79,33,14,1,22,19,34,20
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Apollo Hotel Lelystad,0995::SB16,8224 BZ,1291,481,1,1,0,0,0,438,45,0,0,0,0,0,0,483,52,74,55,28,32,26,39,58,21,41,5,0,0,4,25,12,9
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Kerkcentrum Het Anker,0995::SB17,8231 BH,1588,970,2,1,0,0,0,889,84,0,0,0,0,0,0,973,115,130,93,99,59,95,95,68,44,83,2,0,0,12,23,37,15
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Boeier,0995::SB18,8242 VS,1355,999,7,0,0,0,0,893,113,0,0,0,0,0,0,1006,197,141,114,45,70,75,113,40,53,73,6,0,0,7,31,28,6
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Buurtcentrum De Dukdalf,0995::SB19,8242 EK,2213,840,3,6,0,0,0,774,75,0,0,0,0,0,0,849,78,96,129,64,43,61,43,115,42,77,17,1,5,2,17,34,16
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Albatros,0995::SB20,8242 AL,2147,931,3,0,0,0,0,817,117,0,0,0,0,0,0,934,217,91,110,27,28,78,93,60,79,64,15,0,0,15,15,30,9
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Dans- en Partycentrum Overeem,0995::SB21,8242 BA,1878,862,2,1,0,0,0,797,68,0,0,0,0,0,0,865,76,75,142,28,66,36,53,104,29,126,9,1,5,8,40,45,19
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Kindcentrum Warande,0995::SB22,8245 AA,1073,504,0,0,0,0,0,433,71,0,0,0,0,0,0,504,122,53,47,35,37,38,53,17,32,35,8,0,1,5,4,9,8
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Woonzorgcentrum Hanzeborg,0995::SB23,8232 DC,2237,1102,6,6,0,0,0,984,132,0,2,0,2,0,0,1116,89,157,172,67,47,67,81,150,51,87,9,0,3,18,31,52,21
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Kerkcentrum 't Lichtschip,0995::SB24,8243 BW,1709,897,1,2,0,0,0,822,78,0,0,0,0,0,0,900,106,78,112,74,61,52,62,99,51,115,7,1,3,7,13,39,17
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Toermalijn,0995::SB25,8243 LR,1664,601,2,8,0,0,0,559,52,0,0,0,0,0,0,611,55,74,71,57,29,33,43,79,45,52,14,0,3,3,13,17,13
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Kerkcentrum Petruskerk,0995::SB26,8243 KA,1538,705,2,1,0,0,0,638,70,0,0,0,0,0,0,708,81,63,96,51,47,55,41,69,47,69,4,3,3,14,9,39,14
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Tjalk,0995::SB27,8232 LT,1579,664,0,3,0,0,0,603,64,0,0,0,0,0,0,667,81,74,73,75,36,40,61,65,39,73,0,0,3,7,9,25,3
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau School De Triangel,0995::SB28,8243 KW,1665,725,0,2,0,0,0,642,85,0,0,0,0,0,0,727,88,68,81,49,32,60,59,85,36,77,4,0,4,11,14,42,15
,Lelystad,GR2014_Lelystad,Gemeenteraad Lelystad 2014,0995,Lelystad,2014-03-19,Stembureau Buurtcentrum De Windhoek,0995::SB29,8244 BJ,1345,900,6,5,0,0,0,836,75,0,0,0,0,0,0,911,131,86,96,42,56,39,88,122,59,50,9,3,6,14,24,55,20
