contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,ChristenUnie,GROENLINKS,SWOLLWACHT,Democraten 66 (D66),SP (Socialistische Partij),Piratenpartij,OPA,LIJST WILLEM LUCHT (L.W.L.)
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Stadhuis,0193::SB1,8011 PK,1562,1201,2,3,0,0,0,1129,77,0,0,0,0,0,0,1206,172,270,67,106,121,59,269,88,25,21,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Het Lumeijn,0193::SB2,8019 AL,1777,1061,2,0,0,0,0,974,89,0,0,0,0,0,0,1063,104,230,97,187,93,35,219,66,12,13,5
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum De Nieuwe Haven,0193::SB3,8011 AS,1361,465,8,2,0,0,0,447,28,0,0,0,0,0,0,475,57,45,48,68,46,24,72,67,14,22,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau GGD IJsselland,0193::SB4,8011 CV,1627,838,2,2,2,0,0,772,68,0,0,2,0,0,0,840,132,106,39,136,99,31,186,81,18,8,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Wijkcentrum De Enk,0193::SB5,8012 VA,1788,1288,4,3,7,0,0,1219,69,0,0,7,0,0,0,1288,238,114,30,189,235,57,216,150,41,14,4
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Het Mozaïek locatie De Mozadance,0193::SB6,8012 DJ,1207,676,5,1,0,0,0,615,67,0,0,0,0,0,0,682,87,49,29,111,85,46,117,108,15,23,6
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Woonzorgcentrum De Molenhof,0193::SB7,8012 EJ,1345,781,4,1,0,0,0,739,47,0,0,0,0,0,0,786,154,54,61,126,94,45,98,94,28,24,3
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School Het Veldboeket,0193::SB8,8013 TV,1718,859,1,2,0,0,0,810,52,0,0,0,0,0,0,862,155,48,50,143,90,79,97,147,20,28,2
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau School De Vlieger,0193::SB9,8043 RL,1110,497,0,0,0,0,0,450,47,0,0,0,0,0,0,497,55,131,25,70,33,39,100,27,9,7,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Zalencentrum De Oosterkerk,0193::SB10,8021 AG,1511,829,2,2,0,0,0,781,52,0,0,0,0,0,0,833,120,103,73,128,69,55,148,103,11,18,1
,Zwolle,GR2014_Zwolle,Gemeenteraad Zwolle 2014,0193,Zwolle,2014-03-19,Stembureau Historisch Centrum Overijssel,0193::SB11,8021 WX,1590,865,1,1,0,0,0,790,77,0,0,0,0,0,0,867,161,70,50,101,97,93,93,147,23,26,4
