contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Kernachtig Wijchen,CDA,Partij van de Arbeid (P.v.d.A.),Lokale Dorpspartijen,VVD,Democraten 66 (D66),Sociaal Wijchen
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau KunstPostWijchen,0296::SB1,6602 BB,1720,1085,4,5,0,1,0,1010,85,0,0,1,0,0,0,1095,312,277,110,37,174,124,51
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Meander,0296::SB2,6601 AR,1698,731,1,2,0,0,0,608,126,0,0,0,0,0,0,734,251,151,103,59,47,69,51
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Jeugdhuis Woezik,0296::SB3,6604 CC,1887,1113,1,4,0,0,0,992,126,0,0,0,0,0,0,1118,389,171,128,40,170,160,55
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Paschalishonk,0296::SB4,6604 CM,1798,856,1,1,0,0,0,791,67,0,0,0,0,0,0,858,285,101,94,32,130,159,55
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau La Verna,0296::SB5,6603 AM,2176,1142,6,3,0,0,0,981,172,0,0,0,2,0,0,1153,405,360,79,44,89,86,79
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Dorpshuis 'De Waaijershof',0296::SB6,6606 KC,334,274,1,1,0,0,0,254,22,0,0,0,0,0,0,276,114,74,13,9,52,4,8
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Wijkgebouw Wijchen Oost,0296::SB7,6603 AE,1788,889,1,8,0,0,0,805,93,0,0,0,0,0,0,898,378,103,104,47,84,83,90
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Brede school Noorderlicht,0296::SB8,6601 DL,1861,1083,3,0,0,0,0,970,115,0,0,1,0,1,0,1085,405,121,148,108,76,100,125
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Wijkgebouw Wijchen Zuid,0296::SB9,6605 HN,1860,1034,3,3,0,0,0,940,100,0,0,0,0,0,0,1040,311,100,135,110,126,140,112
,Wijchen,GR2014_Wijchen,Gemeenteraad Wijchen 2014,0296,Wijchen,2014-03-19,Stembureau Wijkcentrum 't Achterom,0296::SB10,6601 XW,1706,758,4,2,0,0,0,697,67,0,0,0,0,0,0,764,289,75,114,60,53,70,97
