contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GemeenteBelangen Veendam,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Veuruutkiek (VUK),ChristenUnie,SP (Socialistische Partij),GROENLINKS,Democraten 66 (D66)
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Gemeentehuis,0047::SB1,9641 AW,1211,889,6,3,0,0,0,783,115,0,0,0,0,0,0,898,243,171,82,68,73,41,119,22,70
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Cultuurcentrum van Beresteyn,0047::SB2,9641 AD,1472,980,3,1,0,0,0,896,88,0,0,0,0,0,0,984,233,177,64,85,66,57,158,72,68
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau BWI-gebouw,0047::SB3,9641 LL,1140,429,2,0,0,0,0,378,53,0,0,0,0,0,0,431,122,81,21,40,31,24,68,18,24
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Huize St Franciscus,0047::SB4,9641 LW,1260,630,3,4,0,0,0,594,43,0,0,0,0,0,0,637,143,116,76,50,53,31,95,25,41
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Woonzorgcentrum A.G. Wildervanck,0047::SB5,9642 LN,1373,702,0,3,0,0,0,640,65,0,0,0,0,0,0,705,168,147,69,47,59,10,126,31,45
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Verpleeghuis Meander,0047::SB6,9642 AP,800,400,6,2,0,0,0,381,27,0,0,0,0,0,0,408,119,65,36,33,24,19,77,9,18
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Zorglokatie Meander: De Breehorn,0047::SB7,9642 LK,1179,555,4,1,0,0,0,498,62,0,0,0,0,0,0,560,118,112,25,55,46,46,102,22,29
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Wijkcentrum Dukdalf,0047::SB8,9642 MA,1736,1072,5,4,0,0,0,992,89,0,0,0,0,0,0,1081,319,218,71,78,66,42,181,23,74
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau O.B.S. de Viermaster,0047::SB9,9642 KX,1213,630,4,4,0,0,0,596,42,0,0,0,0,0,0,638,194,101,38,50,40,29,118,16,44
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Woon en zorgcentrum Westerhave,0047::SB10,9648 BE,1562,861,1,2,0,0,0,781,83,0,0,0,0,0,0,864,240,121,109,70,87,22,123,14,75
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Bijleveldcentrum,0047::SB11,9648 CM,1270,687,0,3,0,0,0,628,62,0,0,0,0,0,0,690,220,80,43,64,106,26,103,17,28
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau O.B.S. de Sleutel,0047::SB12,9648 KK,1393,593,7,1,0,1,0,529,73,0,0,0,1,0,0,602,147,64,26,59,117,21,123,11,25
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Dorpshuis de Molenwiek,0047::SB13,9644 VL,1320,668,3,2,0,0,0,605,68,0,0,0,0,0,0,673,218,82,48,62,90,19,101,22,26
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Woonzorgcomplex De Meridiaan,0047::SB14,9645 HC,2305,1052,12,4,0,0,0,944,124,0,0,0,0,0,0,1068,208,183,42,95,121,43,224,81,55
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau Buurtcentrum Middenweg,0047::SB15,9645 BC,1021,372,8,1,0,0,0,346,35,0,0,0,0,0,0,381,68,95,19,23,41,23,78,18,7
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau O.S.G. Winkler Prins,0047::SB16,9646 AA,1538,912,5,4,0,0,0,820,101,0,0,0,0,0,0,921,291,182,82,87,37,38,94,22,79
,Veendam,GR2014_Veendam,Gemeenteraad Veendam 2014,0047,Veendam,2014-03-19,Stembureau O.D.B.S. De Butte,0047::SB17,9631 TM,352,234,2,1,0,0,0,219,18,0,0,0,0,0,0,237,46,28,31,15,21,11,52,13,17
