contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,Partij van de Arbeid (P.v.d.A.),VVD,Democraten 66 (D66),Gemeente Belangen,SP (Socialistische Partij),Burger Partij Hof,ChristenUnie,GROENLINKS
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Gemeentehuis Hof van Twente,1735::SB1,7471 DK,1262,1175,6,4,0,0,0,1098,87,0,0,0,0,0,0,1185,248,225,188,205,94,109,19,36,51
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Zorgcentrum de Stoevelaar,1735::SB2,7471 AB,1218,670,1,1,0,0,0,628,44,0,0,0,0,0,0,672,109,178,102,97,50,57,16,40,21
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau o.b.s. De Whee, locatie de Wiekslag",1735::SB3,7471 EL,1281,720,0,4,0,0,0,657,67,0,0,0,0,0,0,724,114,178,52,89,97,106,29,35,20
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau SG De Waerdenborch,1735::SB4,7471 EP,1332,453,1,1,0,0,0,415,40,0,0,0,0,0,0,455,103,111,41,56,56,52,11,14,9
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Zalencentr. De Bebsel,1735::SB5,7471 CH,1280,635,1,1,0,0,0,590,47,0,0,0,0,0,0,637,203,110,63,77,69,70,15,14,14
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Villa 70, 't Gijminkhuis",1735::SB6,7471 KP,1157,627,0,2,0,0,0,568,61,0,0,0,0,0,0,629,136,180,50,48,54,115,9,23,12
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Kantine sporthal de Mossendam,1735::SB7,7471 SE,1339,688,4,0,0,2,0,642,52,0,0,0,2,0,0,694,213,77,119,109,61,62,12,16,19
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau WOZOCO/woon- zorgcentrum,1735::SB8,7478 XN,1089,824,2,4,0,0,0,757,73,0,0,0,0,0,0,830,86,147,77,134,237,108,6,9,20
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,Stembureau Het Muldershoes bij molen 'De Hoop',1735::SB9,7475 AL,1435,928,1,2,0,0,0,835,96,0,0,0,0,0,0,931,112,130,207,91,229,51,55,27,26
,Hof van Twente,GR2014_HofvanTwente,Gemeenteraad Hof van Twente 2014,1735,Hof van Twente,2014-03-19,"Stembureau Gebouw "" 'n Veern hof""",1735::SB10,7475 BW,1202,705,0,0,0,0,0,644,62,0,1,0,1,0,0,706,99,89,166,71,185,23,44,13,15
