contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Staatkundig Gereformeerde Partij (SGP),CDA,ChristenUnie,Partij van de Arbeid (P.v.d.A.),VVD,Gemeentebelang Rijssen-Holten,Democraten 66 (D66),Lokaal Liberaal Rijssen-Holten
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Gemeentehuis Rijssen,1742::SB1,7460 AE,1926,1726,1,4,0,0,0,1493,238,0,0,0,0,0,0,1731,613,262,358,202,67,93,37,94
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau De Schutse,1742::SB2,7461 BC,1904,1437,0,3,0,0,0,1268,172,0,0,0,0,0,0,1440,469,263,368,98,72,60,24,83
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Het Parkgebouw,1742::SB3,7461 BT,1902,1136,2,0,0,0,0,1023,115,0,0,0,0,0,0,1138,232,252,249,154,63,73,32,81
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Gebouw schietvereniging,1742::SB4,7461 VP,1833,1397,1,2,0,0,0,1241,159,0,0,0,0,0,0,1400,409,237,332,136,66,87,24,106
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,"Stembureau Hervormde gemeente, gebouw Sion",1742::SB5,7462 BN,1592,1144,1,2,0,0,0,1040,107,0,0,0,0,0,0,1147,358,195,256,167,34,50,29,55
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau De Wellehof,1742::SB6,7462 GE,2048,1450,2,1,0,0,0,1244,209,0,0,0,0,0,0,1453,782,136,291,92,33,41,18,57
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Cursusruimte EHBO,1742::SB7,7462 HJ,1748,1124,0,0,0,0,0,1003,121,0,0,0,0,0,0,1124,496,146,227,90,29,52,19,65
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Obs de Salto,1742::SB8,7462 JA,2008,1324,0,1,0,0,0,1168,157,0,0,0,0,0,0,1325,450,231,276,113,49,90,43,72
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau basisschool De Ronde Maat,1742::SB9,,1710,1206,1,2,0,0,0,1028,181,0,0,0,0,0,0,1209,496,203,238,75,30,59,37,68
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Jacobus Fruijtierschool,1742::SB10,7463 CA,1753,1699,4,0,0,0,0,1427,276,0,0,0,0,0,0,1703,655,291,407,63,70,72,34,107
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Kulturhus Holten,1742::SB11,7451 BL,1642,1446,2,1,0,0,0,1325,124,0,0,0,0,0,0,1449,13,340,49,142,264,520,110,8
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Woon- en Zorgcentrum Diessenplas,1742::SB12,7451 DG,1486,1007,1,2,1,0,0,934,75,0,0,1,0,0,0,1009,18,256,23,106,212,305,75,12
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Kulturhus Dijkerhoek,1742::SB13,7451 LS,862,669,0,1,0,0,0,607,63,0,0,0,0,0,0,670,5,162,5,15,199,245,36,2
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Lokaal OSB Holterenk,1742::SB14,7451 AW,1419,1014,1,3,0,0,0,949,69,0,0,0,0,0,0,1018,10,206,33,116,170,389,65,25
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Lokaal OSB Haarschool,1742::SB15,7451 EB,1809,1189,3,2,0,0,0,1074,120,0,0,0,0,0,0,1194,8,195,29,170,212,427,121,27
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau De Tabernakel,1742::SB16,7463 CL,2364,1337,7,2,0,0,0,1152,194,0,0,0,0,0,0,1346,474,260,339,60,62,49,23,70
,Rijssen-Holten,GR2014_RijssenHolten,Gemeenteraad Rijssen-Holten 2014,1742,Rijssen-Holten,2014-03-19,Stembureau Mobiel stembureau,1742::SB17,,0,294,0,3,0,0,0,266,31,0,0,0,0,0,0,297,100,56,68,25,16,9,8,12
