contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,VVD,"Politieke Partij ""LEEFBAAR NUTH""",GROENLINKS,Partij van de Arbeid (P.v.d.A.),Groot-Nuth,TROTS,Burger Belangen Nuth
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 01 - Trefcentrum,0951::SB1,6361 CA,1270,818,7,7,0,0,0,749,83,0,0,0,0,0,0,832,65,115,118,102,86,64,22,246
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 02 - Basisschool de Bolster,0951::SB2,6361 XG,1473,858,3,2,0,0,0,777,86,0,0,0,0,0,0,863,67,140,114,135,56,62,27,257
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 04 - Zorgcentrum Op den Toren,0951::SB3,6361 EB,994,427,4,1,0,0,0,384,48,0,0,0,0,0,0,432,50,51,79,55,30,30,15,117
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 05 - Kantine tennisclub Nuth,0951::SB4,6361 EV,867,517,0,2,0,0,0,449,70,0,0,0,0,0,0,519,58,71,66,72,24,40,28,158
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 06 - Basisschool St. Servatius,0951::SB5,6361 JE,854,464,6,7,0,0,0,412,65,0,0,0,0,0,0,477,58,144,22,23,18,55,26,118
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 07 - Gemeenschapshuis Wijnandsrade,0951::SB6,6363 BV,1420,985,6,2,0,0,0,861,132,0,0,0,0,0,0,993,174,69,54,129,55,223,17,264
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 08 - Gemeenschapshuis Schimmert,0951::SB7,6333 BJ,1274,786,4,7,0,0,0,670,127,0,0,0,0,0,0,797,246,65,206,40,34,23,65,107
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 10 - Zaal 't Weverke,0951::SB8,6333 BG,1388,923,5,2,0,0,0,817,113,0,0,0,0,0,0,930,297,89,204,73,39,29,74,118
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 11 - Zorgcentrum Panhuys,0951::SB9,6336 AH,1612,912,2,5,0,0,0,808,111,0,0,0,0,0,0,919,148,51,104,64,134,45,228,138
,Nuth,GR2014_Nuth,Gemeenteraad Nuth 2014,0951,Nuth,2014-03-19,Stembureau 13 -Kantine Voetbalvere. Hulsberg,0951::SB10,6336 VT,1753,1023,15,3,0,0,0,918,123,0,0,0,0,0,0,1041,125,116,137,52,116,33,252,192
