contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,PrO (GroenLinks-PvdA-D66),Algemeen Belang,VVD,CDA,Partij Gemeente Belangen
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Het Raadhuis,0824::SB1,,1303,705,4,4,0,0,0,643,70,0,0,0,0,0,0,713,180,186,137,83,119
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Zorgcentrum De Vloet,0824::SB2,,1145,728,3,4,0,0,0,657,78,0,0,0,0,0,0,735,165,172,135,140,116
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Atelier De Krekul,0824::SB3,,1361,644,0,2,0,0,0,583,63,0,0,0,0,0,0,646,153,223,76,57,135
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Basisschool De Tovervogel,0824::SB4,,1174,652,0,4,0,0,0,573,83,0,0,0,0,0,0,656,127,165,203,76,81
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau De  Levenskerk/ De Luifel,0824::SB5,,1108,861,1,0,0,0,0,774,88,0,0,0,0,0,0,862,255,153,191,116,146
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Brede school De Bunders,0824::SB6,,1080,866,6,1,0,0,0,782,91,0,0,0,0,0,0,873,179,194,288,96,109
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Ontmoetingscentrum De Coppele 1,0824::SB7,,993,595,4,1,0,0,0,537,63,0,0,0,0,0,0,600,213,127,36,70,149
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau 2College Durendael,0824::SB8,,1354,569,2,3,0,0,0,515,59,0,0,0,0,0,0,574,144,123,124,89,89
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Basisschool De Molenhoek,0824::SB9,,1249,521,1,1,0,0,0,472,51,0,0,0,0,0,0,523,161,120,80,54,106
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Wijkcentrum Pannenschuur,0824::SB10,,1196,626,3,4,0,0,0,575,58,0,0,0,0,0,0,633,202,116,73,45,190
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Kerkhovense Molen,0824::SB11,,994,544,2,0,0,0,0,503,43,0,0,0,0,0,0,546,154,129,86,64,111
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Openb.Basisschool Darwin,0824::SB12,,1180,505,0,1,0,0,0,463,43,0,0,0,0,0,0,506,168,94,52,53,138
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Onmoetingscentrum De Coppele 2,0824::SB13,,1420,488,3,3,0,0,0,456,38,0,0,0,0,0,0,494,157,142,31,66,92
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Cult. centr. Den Boogaard 1,0824::SB14,,1256,744,1,3,0,0,0,660,88,0,0,0,0,0,0,748,97,242,99,106,200
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Park Stanislaus,0824::SB15,,1803,927,0,2,0,0,0,813,116,0,0,0,0,0,0,929,155,326,139,90,217
,Oisterwijk,GR2014_Oisterwijk,Gemeenteraad Oisterwijk 2014,0824,Oisterwijk,2014-03-19,Stembureau Cult. centr. Den Boogaard 2,0824::SB16,,1779,1054,6,4,0,0,0,949,115,0,0,0,0,0,0,1064,142,384,110,152,266
