contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,GROENLINKS,Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),VVD,CDA,SP (Socialistische Partij),ChristenUnie,Basis Inkomen Partij (BIP),ONSUTRECHT,OPA Utrecht (Ouderen Politiek Actief),Student & Starter,Stadsbelang Utrecht,Partij Vrij Utrecht (PVU),Nederland Duurzaam,Libertarische Partij (LP),Ouderen Partij Utrecht (OPU),Partij voor de Dieren
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Stadhuis, Korte Minrebroederstr. 2",0344::SB1,3512 GG,3441,2955,11,1,0,0,0,2761,206,0,0,0,0,0,0,2967,570,192,1103,377,115,180,93,6,5,5,156,56,16,10,9,8,54
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Jacobikerk, St.-Jacobsstraat 171",0344::SB3,3511 BP,1636,1043,5,3,0,0,0,993,57,0,0,1,0,0,0,1050,178,83,296,114,62,112,47,5,2,8,44,35,8,2,2,10,35
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Kargadoor, Oudegracht 36",0344::SB4,3511 AP,1523,1120,2,5,0,0,0,1041,82,0,0,4,0,0,0,1123,265,92,337,127,36,101,36,4,6,4,54,25,5,4,3,1,20
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,Stembureau Utrechtse School Wittevrouwenkade 4,0344::SB5,3512 CR,1297,1087,1,1,0,0,0,1027,62,0,0,0,0,0,0,1089,238,91,340,120,36,78,29,1,1,3,81,23,3,1,2,8,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Pieterskerkhof 10",0344::SB6,3512 JR,1755,1145,5,2,0,0,0,1056,96,0,0,0,0,0,0,1152,232,99,346,147,54,85,49,4,2,2,65,23,7,1,2,0,27
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Gymzaal, Nicolaasdwarsstraat 3",0344::SB7,3512 XG,1797,1235,3,3,0,0,0,1115,127,0,0,0,1,0,0,1242,241,111,407,157,58,107,24,1,2,6,44,25,4,6,3,7,32
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Barth.Gasthuis, Lange Smeestraat 40",0344::SB8,3511 PZ,1573,1431,2,1,0,0,0,1332,102,0,0,0,0,0,0,1434,315,148,424,148,42,162,35,6,2,3,49,24,9,4,2,13,45
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau School, Laan van Puntenburg 2 A",0344::SB9,3511 ER,1197,638,2,0,0,0,0,592,50,0,0,0,2,0,0,642,111,57,222,101,33,34,8,4,1,2,21,14,2,3,3,2,20
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Dienst Burgerz, A.v.Schendelstr 500",0344::SB10,3511 MH,1163,897,2,5,0,1,0,838,68,0,0,0,2,0,1,906,143,102,312,132,35,57,26,1,5,3,22,16,6,6,4,1,26
,Utrecht,GR2014_Utrecht,Gemeenteraad Utrecht 2014,0344,Utrecht,2014-03-19,"Stembureau Swingbo, Muntkade 11",0344::SB11,3531 AK,975,472,5,2,0,0,0,439,41,0,1,0,1,0,0,480,104,51,125,41,30,39,6,1,14,0,15,20,5,0,1,6,14
