contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA,FNP,VVD,Partij van de Arbeid (P.v.d.A.),ChristenUnie
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau Gemeentehuis Kollum,0079::SB1,9291 KB,1538,835,10,8,0,0,0,769,84,0,0,0,0,0,0,853,201,198,214,151,71
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,"Stembureau ""Meckama State"" Kollum",0079::SB2,9291 AM,1544,858,6,1,0,0,0,787,78,0,0,0,0,0,0,865,232,205,166,148,107
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,"Stembureau ""Pro Rege"" Kollum",0079::SB3,9291 EM,1362,830,2,1,0,0,0,769,64,0,0,0,0,0,0,833,197,199,188,126,120
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau Dorpshuis 't Trefpunt Kollumerpomp,0079::SB4,9293 LL,380,240,4,2,0,0,0,227,19,0,0,0,0,0,0,246,51,46,107,19,17
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau Dorpshuis Toutenburg Burum,0079::SB5,9851 AR,617,342,1,1,0,0,0,308,36,0,0,0,0,0,0,344,90,21,154,36,41
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau Dorpshuis De Schans Munnekezijl,0079::SB6,9853 PH,384,213,2,0,0,0,0,191,24,0,0,0,0,0,0,215,35,10,91,50,27
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau M.F.C. Hústerwâld Oudwoude,0079::SB7,9294 KP,716,382,6,1,0,0,0,335,54,0,0,0,0,0,0,389,87,112,93,61,29
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau M.F.C. De Tredder Westergeest,0079::SB8,9295 KC,716,385,0,2,0,0,0,348,39,0,0,0,0,0,0,387,64,136,79,69,37
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,"Stembureau ""Eendracht"" K'Zwaag",0079::SB9,9298 RG,1113,613,1,4,0,0,0,547,71,0,0,0,0,0,0,618,158,189,66,52,148
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau Dorpshuis K'zwaag,0079::SB10,9298 JP,1084,546,5,2,0,0,0,480,73,0,0,0,0,0,0,553,119,195,68,63,101
,Kollumerland en Nieuwkruisland,GR2014_KollumerlandenNieuwkruisland,Gemeenteraad Kollumerland en Nieuwkruisland 2014,0079,Kollumerland en Nieuwkruisland,2014-03-19,Stembureau Dorpshuis De Bosk Zwagerbosch,0079::SB11,9299 HT,544,220,0,0,0,0,0,193,27,0,0,0,0,0,0,220,28,106,13,40,33
