contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,ChristenUnie,CDA,CAP,VVD,Spakenburgse Vrijheidspartij (SVP),Staatkundig Gereformeerde Partij (SGP)
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,"Stembureau Basisschool ""De Ark""",0313::SB1,3751 VK,1580,823,4,4,0,0,0,710,121,0,0,0,0,0,0,831,273,191,86,115,62,96
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau Immanuel kerk,0313::SB2,3752 PE,1391,969,5,0,0,0,0,880,94,0,0,0,0,0,0,974,438,158,108,101,78,86
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau Het Talent,0313::SB3,3752 XK,1309,672,1,0,0,0,0,590,83,0,0,0,0,0,0,673,253,144,60,90,54,71
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau Gemeentehuis,0313::SB4,3752 CL,1463,1001,2,4,0,0,0,863,144,0,0,0,0,0,0,1007,322,212,157,149,53,108
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau 't  Kruisrak,0313::SB5,3752 KV,1414,815,3,1,0,0,0,719,101,0,0,0,1,0,0,820,268,142,83,121,104,97
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau Mr Gr. van Prinstererschool,0313::SB6,3752 GW,1305,904,2,2,0,0,0,789,119,0,0,0,0,0,0,908,315,206,75,128,58,122
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau Noorderkerk,0313::SB7,3751 AR,1629,961,1,6,0,0,0,843,125,0,0,0,0,0,0,968,368,169,137,105,67,115
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,"Stembureau Zorg en wooncentrum ""De Haven""",0313::SB8,3752 GM,1676,1079,0,5,0,0,0,927,157,0,0,0,0,0,0,1084,454,221,99,77,70,158
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau De Westerkerk,0313::SB9,3752 GP,1419,851,2,2,0,0,0,747,108,0,0,0,0,0,0,855,313,173,100,82,59,124
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau School met de Bijbel,0313::SB10,3754 NA,628,470,0,1,0,0,0,424,47,0,0,0,0,0,0,471,165,132,34,45,18,76
,Bunschoten,GR2014_Bunschoten,Gemeenteraad Bunschoten 2014,0313,Bunschoten,2014-03-19,Stembureau Brandweerkazerne,0313::SB11,3751 DH,1579,1003,0,3,0,0,0,860,146,0,0,0,0,0,0,1006,373,218,108,102,75,127
