contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,SGP-ChristenUnie,CDA,VVD,P.v.d.A./GroenLinks,Dorpsbelangen en Toerisme Veere (DTV),Democraten 66 (D66),OPA Veere
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw Het Akkoord, Veere",0717::SB1,,1294,811,1,3,0,0,0,717,98,0,0,0,0,0,0,815,122,167,154,156,108,86,18
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw De Spil, Gapinge",0717::SB2, ,405,282,1,0,0,0,0,255,28,0,0,0,0,0,0,283,45,78,36,61,24,28,10
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw, Vrouwenpolder",0717::SB3,,869,563,0,2,0,0,0,508,57,0,0,0,0,0,0,565,144,87,134,78,47,53,20
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw De Zandput, Serooskerke",0717::SB4,,1356,919,2,4,0,0,0,850,75,0,0,0,0,0,0,925,189,297,101,150,98,63,21
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw Amicitia, Aagtekerke",0717::SB5,,1083,890,2,0,0,0,0,767,125,0,0,0,0,0,0,892,551,104,66,63,67,18,21
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Dorpshuis Nimmerdor, Grijpskerke",0717::SB6,,1125,777,1,0,0,0,0,707,71,0,0,0,0,0,0,778,129,185,100,83,203,60,17
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw Ons Huis, Meliskerke",0717::SB7,,996,831,0,1,0,0,0,697,135,0,0,0,0,0,0,832,584,106,41,33,46,10,11
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Sportcentrum De Couburg, Koudekerke",0717::SB8,,1446,984,3,2,0,0,0,881,108,0,0,0,0,0,0,989,66,166,168,257,131,104,92
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau WoZoCo De Brouwerij, Koudekerke",0717::SB9,,1404,698,0,7,0,0,0,635,70,0,0,0,0,0,0,705,66,152,118,184,80,60,38
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Dorpscentrum, Biggekerke",0717::SB10,,727,510,2,1,0,0,0,462,51,0,0,0,0,0,0,513,68,163,85,75,73,35,11
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw Middendorp, Zoutelande",0717::SB11,,1234,799,1,3,0,0,0,699,104,0,0,0,0,0,0,803,105,188,234,84,113,48,27
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Gemeentehuis, Domburg",0717::SB12,,1298,861,3,4,0,0,0,773,95,0,0,0,0,0,0,868,81,86,180,295,110,76,33
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Protestants Kerkcentrum, Oostkapelle",0717::SB13,,1056,745,0,3,0,0,0,677,71,0,0,0,0,0,0,748,224,135,116,98,77,77,18
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Sporthal De Halve Maan, Oostkapelle",0717::SB14,,949,659,1,4,1,0,0,592,73,0,0,0,1,0,0,665,161,124,121,97,67,68,21
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Sportzaal De Bellink, Westkapelle",0717::SB15,,1030,713,1,0,0,0,0,642,72,0,0,0,0,0,0,714,127,88,80,143,201,42,32
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,"Stembureau Verenigingsgebouw Westkapelle Herrijst, Westkapelle",0717::SB16,,1145,767,6,1,0,0,0,677,97,0,0,0,0,0,0,774,144,95,103,153,214,40,18
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,Stembureau Mobiel Stembureau 1,0717::SB17,,0,110,0,3,0,0,0,108,5,0,0,0,0,0,0,113,17,46,11,15,12,5,4
,Veere,GR2014_Veere,Gemeenteraad Veere 2014,0717,Veere,2014-03-19,Stembureau Mobiel Stembureau 2,0717::SB18,,0,74,0,1,0,0,0,73,2,0,0,0,0,0,0,75,14,35,4,4,6,7,4
