contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),GROENLINKS,Partij van de Arbeid (P.v.d.A.),VVD,CDA,Stadspartij Wageningen,ChristenUnie,SP (Socialistische Partij),Nederland Samen
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Gemeentehuis, Markt 22",0289::SB1,6701 CZ,2057,1724,11,6,0,0,0,1648,95,0,2,0,2,0,0,1743,410,367,169,153,146,259,111,109,0
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Verzorgingshuis De Nudehof, Thorbeckestraat 1",0289::SB2,6702 BR,2042,1022,1,6,0,0,0,973,56,0,0,0,0,0,0,1029,172,127,101,80,101,223,102,109,7
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Verzorgingshuis Rumah Kita, Plein 15 augustus 1",0289::SB3,6708 AL,1806,736,1,0,0,0,0,671,66,0,0,0,0,0,0,737,108,132,73,66,71,143,52,84,7
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau De Woningstichting, Olympiaplein 26",0289::SB4,6707 EN,1654,948,3,8,0,0,0,878,81,0,0,0,0,0,0,959,169,127,128,27,93,239,41,121,3
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Gereformeerde Kerk Vrijgemaakt, Kastanjeweg 2",0289::SB5,6706 BE,1497,882,1,2,0,0,0,807,78,0,0,0,0,0,0,885,135,155,130,75,77,151,48,108,3
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Johan Frisoschool, Kemphaanweide 5",0289::SB6,6708 PS,1680,961,0,0,0,0,0,891,70,0,0,0,0,0,0,961,154,213,97,62,100,155,74,103,3
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Wijkcentrum Pomhorst, Pomona 562",0289::SB7,6708 CV,1651,880,2,6,0,0,0,798,90,0,0,0,0,0,0,888,139,126,108,73,90,177,55,107,5
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau OBS De Tarthorst, Tarthorst 4",0289::SB8,6708 JA,1098,769,4,1,0,0,0,713,61,0,0,0,0,0,0,774,128,142,80,38,73,163,32,111,2
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Speeltuinvereniging Tuindorp, Floralaan 20 B",0289::SB9,6707 HR,1315,577,1,3,0,0,0,541,40,0,0,0,0,0,0,581,81,76,86,20,50,138,35,88,3
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau H.J. Piekschool, Roghorst 94",0289::SB10,6708 KP,1300,709,1,5,0,0,0,649,66,0,0,0,0,0,0,715,155,124,71,58,55,118,47,81,0
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau De Margrietschool, Zeemanstraat 1",0289::SB11,6706 KA,1636,819,5,5,0,1,0,771,59,0,0,0,1,0,0,830,198,142,87,68,77,119,72,51,5
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Basisschool Montessori, Jagerkamp 121",0289::SB12,6706 EK,1532,980,1,5,0,0,1,910,75,0,0,0,0,0,0,986,154,205,111,81,119,173,70,67,0
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Serviceflat Belmonte, Gen. Foulkesweg 119",0289::SB13,6703 DD,1060,822,1,1,0,0,0,747,77,0,0,0,0,0,0,824,196,96,81,153,103,126,27,40,0
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Zorgcentrum Rustenburg, Veerstraat 40",0289::SB14,6701 DW,1818,1066,2,2,0,2,0,975,93,0,0,2,0,0,0,1068,205,207,100,115,104,226,27,78,4
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Hotel Nol in 't Bosch, Hartenseweg 60",0289::SB15,6704 PA,1226,706,0,0,0,0,0,618,88,0,0,0,0,0,0,706,167,57,49,220,97,69,34,13,0
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau OBS De Nijenoord, Hooilandplein 47",0289::SB16,6708 RT,2033,1643,1,0,0,0,0,1484,160,0,0,0,0,0,0,1644,321,292,194,155,170,318,73,113,7
,Wageningen,GR2014_Wageningen,Gemeenteraad Wageningen 2014,0289,Wageningen,2014-03-19,"Stembureau Voetbalvereniging WAVV, Peppelsteeg 4",0289::SB17,6708 DE,1205,497,2,4,0,0,0,439,64,0,0,0,0,0,0,503,96,63,62,29,46,142,23,34,2
