contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Dorpsbelangen,VVD,CDA,Partij van de Arbeid (P.v.d.A.),Staatkundig Gereformeerde Partij (SGP),Democraten 66 (D66),Leefbaar Geldermalsen
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau De Schakel,0236::SB1,4151 EG,456,287,0,0,0,0,0,249,38,0,0,0,0,0,0,287,99,38,39,11,35,30,35
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Lingehof,0236::SB2,4153 CE,1207,833,1,1,0,0,0,750,85,0,0,0,0,0,0,835,354,77,145,63,24,104,66
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Brandweerkazerne,0236::SB3,4153 AS,1562,713,1,1,0,0,0,634,81,0,0,0,0,0,0,715,300,100,130,39,40,63,41
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Albertine,0236::SB4,4156 AJ,552,445,1,1,0,0,0,389,58,0,0,0,0,0,0,447,218,38,47,48,39,37,18
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Ons Eigen Gebouw,0236::SB5,4197 HD,822,530,0,1,0,0,0,474,58,0,0,0,1,0,1,532,83,64,64,48,107,51,113
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau 't Duifhuis,0236::SB6,4158 CK,885,657,3,7,0,0,0,599,68,0,0,0,0,0,0,667,228,122,32,58,90,66,61
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Kerkesteijn,0236::SB7,4158 CD,736,416,1,1,0,0,0,388,30,0,0,0,0,0,0,418,137,72,27,34,66,56,24
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau De nieuwe ontmoetingsruimte,0236::SB8,4157 GN,450,237,0,1,0,0,0,220,18,0,0,0,0,0,0,238,99,36,18,12,39,13,20
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Gemeentehuis,0236::SB9,4191 KH,891,979,7,2,0,0,0,883,104,0,0,1,0,1,0,987,143,155,95,99,246,130,111
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Ravestein,0236::SB10,4191 TS,1356,623,8,1,2,0,0,548,86,0,0,0,0,0,0,634,78,104,65,59,154,43,120
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau De sleutel,0236::SB11,4191 XT,1199,485,1,1,0,0,0,433,54,0,0,0,0,0,0,487,96,58,37,66,91,42,95
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Den Dries,0236::SB12,4191 ZR,1193,710,4,1,0,0,0,615,100,0,0,0,0,0,0,715,99,117,43,78,232,56,85
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau De Morgenster,0236::SB13,4191 DN,1340,757,1,0,0,0,0,650,108,0,0,0,0,0,0,758,123,102,78,100,167,81,106
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Rode Kruis,0236::SB14,4191 GM,1298,802,1,1,0,0,0,713,91,0,0,0,0,0,0,804,168,80,66,97,178,79,134
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Gebouw bij Gereformeerde Kerk,0236::SB15,4191 EK,923,572,3,0,0,0,0,519,56,0,0,0,0,0,0,575,100,53,64,60,159,49,87
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Dorpshuis,0236::SB16,4196 AC,1652,1048,5,5,0,0,112,946,0,0,0,0,0,0,0,1058,211,147,82,85,253,146,124
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Buurthuis,0236::SB17,4155 BG,240,152,0,2,0,0,0,146,8,0,0,0,0,0,0,154,67,20,17,9,4,16,19
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Mr Aafjesschool,0236::SB18,4194 RR,1593,1031,2,2,0,0,0,900,135,0,0,0,0,0,0,1035,236,204,96,100,197,94,104
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau Dorpshuis,0236::SB19,4194 TH,669,436,2,0,0,0,0,380,58,0,0,0,0,0,0,438,104,59,28,28,140,26,51
,Geldermalsen,GR2014_Geldermalsen,Gemeenteraad Geldermalsen 2014,0236,Geldermalsen,2014-03-19,Stembureau De Betuwepoort,0236::SB20,4152 EH,541,339,0,3,0,0,0,311,31,0,0,0,0,0,0,342,210,22,18,23,31,19,16
