contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Balans,INbox / Boxtels Belang,Combinatie'95,Partij van de Arbeid (P.v.d.A.)/GROENLINKS,CDA,SP (Socialistische Partij),Democraten 66 (D66),VVD
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Gemeentehuis Boxtel,0757::SB1,5281 AT,1386,1276,11,3,0,0,0,1154,136,0,0,0,0,0,0,1290,212,189,193,141,145,167,123,106
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Woon-zorgcentrum Molenweide,0757::SB2,5281 AB,1958,1025,1,4,0,0,0,933,97,0,0,0,0,0,0,1030,143,149,104,107,188,116,114,104
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Stembureau Stationsplein,0757::SB3,5281 GH,1661,745,6,2,0,0,0,698,55,0,0,0,0,0,0,753,111,93,95,100,63,166,76,41
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Ursulagebouw,0757::SB4,5281 HV,1094,569,1,0,0,0,0,518,52,0,0,0,0,0,0,570,89,118,58,83,67,77,52,25
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Woon-zorgcentrum Simeonshof,0757::SB5,5282 PA,1606,743,3,6,0,0,0,689,63,0,0,0,0,0,0,752,108,105,94,74,86,174,75,27
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Gemeenschapshuis De Walnoot,0757::SB6,5282 GC,1734,852,6,5,0,0,0,862,1,0,0,0,0,0,0,863,86,152,92,92,144,173,68,45
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Gemeenschapshuis De Rots,0757::SB7,5283 CA,2145,1008,3,5,0,0,0,925,91,0,0,0,0,0,0,1016,110,136,112,134,130,245,88,53
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Basisschool De Vorsenpoel,0757::SB8,5283 CV,1864,810,9,2,0,0,0,731,90,0,0,0,0,0,0,821,83,104,91,92,104,152,108,76
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Brede School De Wilgenbroek,0757::SB9,5283 EE,1770,775,7,4,0,0,0,687,99,0,0,0,0,0,0,786,84,68,95,114,82,179,102,51
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Basisschool De Beemden,0757::SB10,5283 KG,1875,1071,1,0,0,0,0,944,128,0,0,0,0,0,0,1072,150,134,143,111,88,233,154,58
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Gemeenschapshuis De Orion,0757::SB11,5281 LG,939,586,1,0,0,0,0,533,54,0,0,0,0,0,0,587,107,27,156,19,73,43,99,62
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Eethuis 't Tweespan,0757::SB12,5281 LR,712,458,0,2,0,0,0,392,68,0,0,0,0,0,0,460,233,35,31,19,58,14,46,22
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Dienstencentrum Kloosterhof,0757::SB13,5298 BW,1886,1205,6,2,0,0,0,1041,172,0,0,0,0,0,0,1213,213,29,637,67,107,66,47,39
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Jeugdhuis Pius X,0757::SB14,5298 VN,1833,936,1,1,0,0,0,833,105,0,0,0,0,0,0,938,202,24,434,49,103,49,27,48
,Boxtel,GR2014_Boxtel,Gemeenteraad Boxtel 2014,0757,Boxtel,2014-03-19,Stembureau Zorggroep Elde / Zorghuis Sefkat,0757::SB15,5282 WV,1466,546,4,1,0,0,0,480,71,0,0,0,0,0,0,551,93,63,43,59,82,88,67,51
