contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Roerstreek Lokaal!,CDA,VVD,Democraten Roerdalen,Ons Roerdalen,Partij van de Arbeid (P.v.d.A.)
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau C.C. De Beuk,1669::SB1,6061 EG,1757,1045,9,3,0,0,0,934,123,0,0,0,0,0,0,1057,456,274,57,71,63,124
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Hotel-Restaurant Roerdalen,1669::SB2,6061 AG,1628,740,8,4,0,0,0,667,85,0,0,0,0,0,0,752,315,198,32,68,52,75
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Woonzorgcentrum Bergh,1669::SB3,6077 BK,1336,883,4,3,0,1,0,798,93,0,0,0,1,0,0,891,449,169,95,72,54,44
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau MFC de Roerparel,1669::SB4,6077 CG,1437,739,3,5,0,0,0,665,82,0,0,0,0,0,0,747,328,150,85,97,47,32
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,"Stembureau Seniorenhof  ""De Vaert""",1669::SB5,6065 CX,1268,764,5,3,0,0,0,673,99,0,0,0,0,0,0,772,147,306,64,106,110,31
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Zaal onder de Kerk,1669::SB6,6065 AS,1250,761,1,2,0,1,0,688,77,0,0,0,1,0,0,765,152,226,55,158,138,32
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Andreasheem,1669::SB7,6074 BB,1616,847,4,3,0,0,0,754,100,0,0,0,0,0,0,854,237,166,98,73,216,57
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Apollohal,1669::SB8,6074 EH,1379,788,4,4,0,0,0,713,83,0,0,0,0,0,0,796,233,118,119,82,167,69
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Brede School De Berensprong,1669::SB9,6075 CW,1780,868,9,4,0,0,0,791,90,0,0,0,0,0,0,881,180,173,64,169,230,52
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Woonzorgcentrum Bosscherhof,1669::SB10,6075 HE,1778,1010,6,8,0,0,0,905,119,0,0,0,0,0,0,1024,208,242,84,148,280,48
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Zaal Roerzicht,1669::SB11,6063 AL,1146,529,1,6,0,0,0,461,75,0,0,0,0,0,0,536,51,275,39,80,61,23
,Roerdalen,GR2014_Roerdalen,Gemeenteraad Roerdalen 2014,1669,Roerdalen,2014-03-19,Stembureau Basisschool St. Martinus,1669::SB12,6063 BW,855,460,5,2,0,0,0,414,53,0,0,0,0,0,0,467,60,212,23,78,66,21
